make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
mercury mountaineer,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,800
Volvo v70,2001,None,good,5 cylinders,fwd,gas,white,355000,None,clean,automatic,wagon,1000
Mazda 626,1998,None,excellent,4 cylinders,fwd,gas,red,173000,full-size,clean,manual,None,1800
volkswagen beetle,2001,None,good,4 cylinders,fwd,gas,blue,113555,compact,clean,automatic,coupe,2000
dodge ram 1500 4x4,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
gmc,2011,None,excellent,8 cylinders,4wd,gas,black,140442,full-size,clean,automatic,truck,1
ford escort,2002,None,like new,4 cylinders,fwd,gas,custom,124,compact,missing,automatic,sedan,400
chevrolet 1500 silverado,2004,None,like new,6 cylinders,None,gas,None,121000,None,clean,automatic,None,4000
ford f-150,2005,None,good,None,4wd,gas,None,302000,None,clean,automatic,truck,4500
plymouth satellite,1974,None,good,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,3000
gmc terrain sle-1,2011,None,good,4 cylinders,4wd,gas,black,101000,None,lien,automatic,None,9250
ford explorer,1998,None,salvage,None,None,gas,None,255922,None,clean,automatic,None,500
Chevrolet Malibu,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2999
vw jetta tdi,2006,None,excellent,4 cylinders,fwd,diesel,silver,260000,mid-size,clean,manual,sedan,4250
Pontiac Vibe,2009,None,excellent,4 cylinders,fwd,gas,grey,120184,None,clean,automatic,hatchback,5300
Chevrolet k20,1979,None,None,None,4wd,gas,None,None,None,clean,automatic,None,1000
toyota camry,1998,4T1BG28K2WU18687,None,None,None,gas,None,None,None,clean,automatic,None,1600
vw jetta tdi,2005,None,excellent,4 cylinders,fwd,diesel,black,None,mid-size,rebuilt,automatic,sedan,4250
jeep grand cherokee limited,2001,None,good,8 cylinders,4wd,gas,black,161000,full-size,clean,automatic,SUV,3000
chevy uplander ls,2006,None,excellent,6 cylinders,fwd,gas,None,103680,full-size,clean,automatic,van,2700
dodge ram 1500,1998,None,None,8 cylinders,None,gas,None,150,None,clean,automatic,None,1800
gto,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,9800
chevrolet silverado,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
