make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Toyota Sienna,2012,None,excellent,None,None,gas,None,None,None,clean,automatic,None,21450
pontiac g6,2006,000000000000000,excellent,4 cylinders,fwd,gas,red,15000,compact,clean,automatic,coupe,4000
Chevy c30,1980,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
chevy silverado 1500,1997,None,None,None,None,gas,None,None,None,clean,manual,None,1
Chrysler,1960,None,None,None,None,gas,None,None,None,clean,automatic,None,1
suzuki sidekick,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Chev Silverado,2013,None,None,None,None,gas,None,116000,None,clean,automatic,None,19500
chevrolet impala,2007,None,good,6 cylinders,rwd,gas,brown,None,full-size,clean,automatic,sedan,3500
dodge grand caravan,1900,None,None,None,None,gas,None,None,None,clean,automatic,None,700
gmc 1500 sierra,1998,None,good,6 cylinders,4wd,gas,blue,None,full-size,clean,automatic,pickup,2800
ford f250,2008,None,excellent,10 cylinders,4wd,gas,red,107000,full-size,clean,automatic,truck,20000
gmc 1500 sierra,2013,None,like new,8 cylinders,4wd,gas,red,47800,full-size,clean,automatic,pickup,27000
Ford Mustang Convertible,2012,None,like new,None,None,gas,None,6000,None,clean,manual,None,40000
ford f150 4x4,1995,None,good,8 cylinders,4wd,gas,red,115600,full-size,clean,automatic,pickup,4500
Subaru Baja,2003,None,good,None,None,gas,None,163000,None,clean,manual,None,8900
Ford f250 super duty,2000,None,excellent,None,None,gas,red,223000,full-size,clean,automatic,truck,5500
ford,1967,None,None,None,None,gas,None,None,None,clean,automatic,None,2295
dodge,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,6000
Chevrolet Silverado 1500,2007,None,None,None,None,gas,None,160000,None,lien,automatic,None,13000
ford transit connect,2012,xxxxxxxxxxxxx,excellent,4 cylinders,fwd,gas,red,99239,compact,lien,automatic,van,8995
Chevy,1957,None,good,None,rwd,gas,None,None,full-size,clean,automatic,None,2950
Ford Ranger XLT,2000,None,excellent,6 cylinders,4wd,gas,green,None,None,rebuilt,automatic,None,3500
Ford Expedition Limited,2014,None,excellent,8 cylinders,4wd,gas,white,66000,full-size,clean,automatic,None,29900
chevy 2500hd,2005,None,None,None,None,diesel,None,None,None,clean,automatic,None,18500
gmc sonoma,1997,None,None,4 cylinders,rwd,gas,green,39000,None,clean,automatic,None,2500
pontiac g5,2008,None,good,None,fwd,gas,silver,104000,None,salvage,automatic,None,3800
Chevrolet 2500HD LS 4x4,2002,None,good,8 cylinders,4wd,diesel,blue,249000,None,clean,automatic,None,9995
