make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
honda accord 4-door sedan,2013,None,excellent,4 cylinders,fwd,gas,silver,53000,mid-size,clean,automatic,sedan,14000
Chrysler Town And Country,2003,None,None,None,None,gas,None,160000,None,clean,automatic,None,2700
honda accord,2007,None,excellent,6 cylinders,fwd,gas,grey,None,None,clean,automatic,None,5600
Honda CRV EX 4WD,1998,None,good,4 cylinders,4wd,gas,silver,221000,None,clean,automatic,None,2400
Ford Excursion,2005,None,None,10 cylinders,None,gas,None,None,None,clean,automatic,None,7500
ford f250 super duty,2006,None,good,8 cylinders,4wd,diesel,white,237000,full-size,clean,automatic,truck,7500
isuzu npr,1991,jalb4b1h9m7000815,good,4 cylinders,rwd,diesel,white,137000,full-size,clean,automatic,None,4500
chevy trailblazer,2005,None,None,None,None,gas,None,195000,None,clean,automatic,None,2200
Studebaker champion,1950,None,None,None,None,gas,None,None,None,clean,automatic,None,17500
chevy trailblazer LS,2006,None,excellent,6 cylinders,rwd,gas,grey,None,mid-size,clean,automatic,SUV,3500
chevy impala,2010,None,excellent,6 cylinders,fwd,gas,blue,123000,None,clean,automatic,None,3800
jeep liberty,2002,None,good,None,fwd,gas,blue,200000,None,clean,automatic,None,3500
chevrolet impala,2000,None,None,None,None,gas,None,200000,None,clean,automatic,None,2000
Plymouth Scamp,1974,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
mercury grand marquis,1999,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,2500
toyota camry,2001,None,good,4 cylinders,fwd,gas,silver,191500,None,clean,automatic,sedan,1600
any,2018,None,None,None,None,other,None,None,None,clean,other,None,1
ford edge sel,2008,None,like new,6 cylinders,rwd,gas,silver,53000,full-size,clean,automatic,None,15000
mercury grand marquis,1997,None,good,8 cylinders,rwd,gas,white,160000,full-size,clean,automatic,sedan,1500
ford edge sel,2008,None,like new,6 cylinders,rwd,gas,silver,53000,full-size,clean,automatic,None,15000
ford f250,2004,None,None,None,None,other,None,None,None,clean,other,None,20
ford f250,2004,None,None,None,None,other,None,None,None,clean,other,None,20
ford f250,2004,None,None,None,None,other,None,None,None,clean,other,None,30
Chevrolet Suburban 1500,2004,None,good,8 cylinders,4wd,gas,None,160850,None,rebuilt,automatic,None,4600
Volkswagen Jetta TDI,2001,None,good,4 cylinders,fwd,diesel,black,None,None,rebuilt,manual,None,6000
Hudson Hornet,1954,None,None,None,None,gas,None,None,None,clean,automatic,None,16000
Willy's Jeep pickup,1950,None,None,None,None,gas,None,None,None,clean,manual,None,4200
Cadillac Escalade EXT,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
Ford Coupe (Morris Minor),1957,None,None,None,None,gas,None,None,None,clean,automatic,None,2300
Chevy HHR,2008,3GNDA13D68S625050,None,4 cylinders,None,gas,white,134000,None,clean,automatic,SUV,4500
Chevy Silverado,1999,None,excellent,8 cylinders,4wd,gas,silver,182000,full-size,clean,automatic,truck,7800
ford f-150,2004,None,excellent,8 cylinders,4wd,other,white,None,full-size,clean,automatic,pickup,6700
chrysler pt cruiser,2001,3C8FY4BB91T515879,excellent,4 cylinders,fwd,gas,blue,72920,mid-size,clean,automatic,None,3995
mustang cobra,1993,None,good,None,None,gas,None,None,None,clean,manual,None,12500
Pontiac GTO,1968,None,excellent,8 cylinders,None,gas,red,98420,None,clean,automatic,None,22500
BMW M5,2007,None,excellent,10 cylinders,rwd,gas,silver,87,mid-size,clean,automatic,sedan,19500
ford f450,2000,None,None,None,None,diesel,None,None,None,clean,automatic,None,5000
Mitsubishi Lancer,2008,None,None,None,None,gas,None,None,None,clean,other,None,4800
chevy trailblazer,2005,None,None,None,None,gas,None,195000,None,clean,automatic,None,2200
Chevrolet Corvette Convertible,2001,None,like new,8 cylinders,rwd,gas,yellow,52317,full-size,clean,manual,convertible,22000
Kia Sorento,2005,None,None,None,None,gas,None,130,None,clean,automatic,None,2700
Dodge intrepid,2003,None,None,None,None,gas,None,120000,None,clean,automatic,None,2300
honda,1993,None,fair,4 cylinders,fwd,gas,black,60000,None,clean,manual,None,1
automatic stick shift,1969,None,None,None,None,gas,None,None,None,clean,other,None,500
mercedes-benz e430,1999,None,excellent,8 cylinders,rwd,gas,black,91000,full-size,rebuilt,automatic,sedan,4900
jeep compass,2014,None,excellent,4 cylinders,4wd,gas,grey,43000,mid-size,rebuilt,automatic,SUV,10500
honda insight,2010,None,excellent,4 cylinders,fwd,gas,silver,95000,None,rebuilt,automatic,hatchback,5900
buick century,1996,None,excellent,6 cylinders,fwd,gas,green,55000,mid-size,clean,automatic,None,2900
