make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
cadillac coupe de ville,1975,N/A,good,8 cylinders,rwd,gas,brown,90000,full-size,clean,automatic,coupe,4500
toyota corolla,2006,None,None,4 cylinders,None,gas,None,293000,None,clean,manual,sedan,2000
ford f-250,2003,None,fair,10 cylinders,4wd,gas,brown,161000,full-size,clean,automatic,pickup,7000
chevy el camino,1976,None,fair,8 cylinders,rwd,gas,blue,None,full-size,clean,automatic,pickup,2200
Hyundai Sonata Limited,2012,5npec4acc085,excellent,4 cylinders,fwd,gas,black,106000,mid-size,clean,automatic,sedan,7900
Ford ranger,2003,None,good,None,rwd,gas,white,None,compact,clean,automatic,truck,2500
Chevy,2000,None,None,6 cylinders,None,gas,None,None,None,clean,automatic,None,500
Ford f100,1968,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Ram 3500 tradesman,2017,None,like new,6 cylinders,4wd,diesel,black,68000,None,lien,automatic,pickup,49000
ford focus,2002,None,None,None,None,gas,None,156000,None,clean,automatic,None,2000
Nissan Mirano SL,2009,None,good,None,None,gas,None,None,None,clean,automatic,None,5900
Trans Am GTA,1985,None,None,None,None,gas,None,None,None,clean,automatic,None,3
toyota camry coupe,1996,None,None,6 cylinders,None,gas,red,None,None,clean,automatic,coupe,1250
pontiac g6,2007,None,good,6 cylinders,fwd,gas,black,107000,None,clean,automatic,convertible,6000
trailer,1991,None,None,None,None,other,None,None,None,clean,other,None,1200
Chevy Silverado 2500hd,2005,None,excellent,8 cylinders,4wd,diesel,None,105000,full-size,clean,automatic,None,22000
chevy cruze,2012,None,None,4 cylinders,fwd,gas,red,116000,None,clean,automatic,sedan,6000
Chevy camaro,2002,None,None,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,1
firebird,1968,None,None,None,None,gas,None,None,None,clean,automatic,None,7450
chevrolet silverado 1500 4wd,2006,None,good,8 cylinders,4wd,gas,white,196000,full-size,clean,automatic,truck,7500
dodge dart sxt 4dr sedan,2015,None,good,4 cylinders,fwd,gas,black,17000,mid-size,rebuilt,automatic,sedan,7500
chevy express,2004,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,4500
volkswagen jetta tdi,2006,None,None,4 cylinders,fwd,diesel,None,None,None,clean,manual,None,4500
buick park avenue,2002,None,good,None,None,gas,white,138550,None,clean,automatic,None,1
dodge ram,1994,None,fair,8 cylinders,rwd,gas,grey,124700,full-size,clean,automatic,pickup,1900
dodge ram 3500,1997,None,good,10 cylinders,4wd,gas,red,None,full-size,clean,automatic,truck,2800
ford ranger,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,700
mitsubishi eclipse,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
chevrolet silverado,2005,None,fair,8 cylinders,4wd,gas,black,214500,full-size,clean,automatic,pickup,4000
Chevrolet Corvette,1985,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
ford 3/4 ton,2001,None,None,None,None,gas,None,148000,None,clean,manual,pickup,2000
honda civic,1994,None,good,None,fwd,gas,None,200000,None,clean,automatic,None,1500
ford econoline,2001,None,good,None,None,gas,None,None,None,clean,automatic,None,3000
alero oldsmobile,2003,None,None,4 cylinders,fwd,gas,None,160000,None,clean,automatic,None,2700
Chevy Malibu,2013,None,None,4 cylinders,None,gas,white,52000,None,clean,automatic,None,14000
Lexus sc400,1992,None,excellent,8 cylinders,rwd,gas,None,70100,None,clean,automatic,None,3200
Lexus LS 460 L,2011,None,excellent,8 cylinders,4wd,gas,blue,58300,full-size,clean,automatic,sedan,28500
bmw 328i,2011,None,good,None,None,gas,grey,116948,None,clean,automatic,None,12000
pontiac gran prix,2000,None,None,None,rwd,gas,None,140230,None,clean,automatic,sedan,800
chevrolet corvette,1979,1Z8789S431918,good,8 cylinders,rwd,gas,red,76533,full-size,clean,automatic,coupe,14000
Chevrolet Van,1995,None,good,8 cylinders,rwd,gas,white,68000,full-size,clean,automatic,van,2500
camry,2009,None,like new,4 cylinders,fwd,gas,None,None,full-size,clean,automatic,None,1529
Ford ranger,2004,None,good,4 cylinders,rwd,gas,black,None,None,clean,manual,pickup,1800
ford f150 4wd,2016,None,None,None,None,gas,None,None,None,clean,automatic,None,24500
Ford F250,2003,None,None,None,None,diesel,None,220000,None,clean,automatic,None,7500
chevrolet,2000,None,excellent,None,4wd,gas,None,None,None,clean,automatic,truck,1000
lincoln ls,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,807
pontiac grand prix gt,2001,None,fair,6 cylinders,fwd,gas,red,190000,None,clean,automatic,None,1000
chevrolet s-10,1999,None,good,None,None,gas,None,157000,None,clean,manual,None,2600
Chevy k1500,1996,Na,good,8 cylinders,4wd,gas,red,211957,full-size,clean,automatic,truck,3500
Ford Thunderbird,1966,None,None,8 cylinders,rwd,gas,black,None,None,clean,automatic,coupe,3900
FORD F-350 FLATBED,1993,None,good,None,None,diesel,white,215000,None,clean,automatic,None,6000
Hyundai,2008,None,excellent,4 cylinders,fwd,gas,black,80700,mid-size,clean,automatic,SUV,5500
ford Taurus ses,2001,None,fair,6 cylinders,fwd,gas,white,200,mid-size,clean,automatic,sedan,1
Chevrolet 2500HD,2015,None,excellent,8 cylinders,4wd,diesel,None,71100,None,clean,automatic,pickup,43000
Mercury Mariner,2008,None,good,6 cylinders,fwd,gas,red,115000,mid-size,clean,automatic,SUV,6250
Chevrolet Silverado 1500 Crew,2014,3GCPCREC6EG139193,good,8 cylinders,None,gas,white,58800,full-size,clean,automatic,pickup,25000
ford econoline,1991,None,good,8 cylinders,rwd,gas,white,None,full-size,clean,automatic,van,1500
chevy corvette coupe,1991,None,new,8 cylinders,rwd,gas,red,100000,full-size,clean,automatic,None,14000
JEEP GRAND CHEROKEE LAREDO 4X4,2004,None,good,6 cylinders,4wd,gas,None,None,None,clean,automatic,SUV,3975
pontiac grand prixpri gt,2004,None,like new,6 cylinders,fwd,gas,red,118000,full-size,clean,automatic,None,4500
saab 9-2x aero,2005,JF4GG22665H055089,excellent,4 cylinders,4wd,gas,black,102614,compact,clean,automatic,wagon,5750
Chevy SILVERADE W/T,2005,1GCEC14X15Z179372,excellent,6 cylinders,rwd,gas,red,110212,full-size,clean,automatic,pickup,5400
Hyundai ELANTRA,2008,KMHDU46DX8U445045,excellent,4 cylinders,fwd,gas,None,171415,compact,clean,automatic,sedan,3400
chevy vega,1972,None,None,None,None,other,None,None,None,clean,other,None,1200
Chevrolet Suburban,2013,None,excellent,8 cylinders,4wd,gas,black,115000,None,clean,automatic,SUV,24900
chevy equinox,2006,None,good,None,fwd,gas,None,None,None,clean,automatic,None,3800
Chevy Impala,1966,None,excellent,8 cylinders,rwd,gas,None,None,None,clean,manual,None,18500
gmc 1500 sierra,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,6800
Chevy Traverse,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,10800
Chevrolet Cruze,2011,None,like new,4 cylinders,fwd,gas,white,None,full-size,clean,automatic,sedan,1659
honda cr-v crv cr v,1997,None,good,4 cylinders,4wd,gas,black,266000,compact,clean,automatic,SUV,1800
subaru forester 2.5i limited,2015,None,good,4 cylinders,None,gas,None,None,None,clean,automatic,SUV,18000
1999 Honda Accord Ex.l,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,500
chevrolet express,2007,1GCFG15X071234449,like new,6 cylinders,rwd,gas,white,169533,full-size,clean,automatic,van,4900
FORD CHURCH VAN,2000,None,excellent,8 cylinders,rwd,gas,red,88023,full-size,clean,automatic,van,6999
Mitsubishi 3000GT,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
Chevrolet 3100,1949,None,None,6 cylinders,None,gas,None,None,None,clean,manual,pickup,19000
CHEVY S10 BLAZER,1994,None,None,None,None,gas,None,None,None,clean,automatic,None,1750
chevy,1941,None,None,None,None,gas,None,None,None,clean,manual,None,4900
GMC,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,6900
Mini,2012,None,excellent,4 cylinders,fwd,gas,grey,35460,compact,clean,manual,hatchback,10900
chevrolet 1500 silverado,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,10500
chevrolet s-10,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,600
chevy elcamino,1981,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
