make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
chrysler,2005,None,fair,6 cylinders,None,gas,grey,196000,None,rebuilt,automatic,None,1000
harley davidson,1989,None,None,None,None,gas,None,None,None,clean,manual,None,4000
nissan frontier crew cab,2004,None,None,None,None,gas,None,None,full-size,clean,automatic,None,1532
Z,2004,None,None,None,None,gas,None,None,None,clean,manual,None,7
ford f350 diesels powerstroke,2008,None,None,None,None,diesel,None,None,None,clean,automatic,None,4200
Chevrolet C2500,1992,None,good,8 cylinders,rwd,gas,None,92300,None,clean,automatic,truck,4200
bmw x5,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2200
buick century,2003,None,None,None,None,gas,None,138000,None,clean,automatic,None,2300
Jeep Cherokee,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
chevy Silverado,2004,None,good,6 cylinders,4wd,gas,white,153000,None,clean,automatic,None,3500
Lexus is300,2005,None,good,6 cylinders,None,gas,silver,None,None,clean,automatic,None,5400
buick century,1993,None,None,None,None,gas,None,None,None,clean,automatic,None,550
pontiac tempest,1969,None,excellent,8 cylinders,rwd,gas,blue,None,mid-size,clean,automatic,sedan,17500
volkswagen beetle,2003,None,good,4 cylinders,fwd,gas,silver,170000,compact,clean,automatic,sedan,2100
nissan titan,2005,None,None,None,None,gas,None,150000,None,clean,automatic,None,10000
Mitsubishi Galant,2007,None,good,4 cylinders,fwd,gas,silver,17000,compact,clean,automatic,sedan,2800
chevrolet s-10,2002,None,good,6 cylinders,4wd,gas,black,210000,mid-size,clean,automatic,truck,3200
chevrolet suburban 1500,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
Ford Truck,1946,None,good,8 cylinders,rwd,gas,custom,None,mid-size,clean,automatic,truck,4000
GMC 2500,1987,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
chevrolet corvette,1993,None,excellent,8 cylinders,rwd,gas,black,85000,mid-size,clean,automatic,coupe,9000
chevy silverado,2000,None,excellent,8 cylinders,rwd,gas,custom,None,full-size,clean,automatic,truck,12500
Model A Truck/ Roadster,1929,None,good,8 cylinders,rwd,gas,black,None,compact,clean,automatic,truck,15000
Pontiac,1968,None,excellent,8 cylinders,rwd,gas,black,None,full-size,clean,manual,None,13800
chevy silverado,2000,None,excellent,8 cylinders,4wd,gas,black,200000,full-size,clean,manual,pickup,6750
Ford,2003,None,None,None,4wd,gas,None,169,None,lien,automatic,None,11200
mazda tribute,2004,None,None,None,None,gas,None,179000,None,clean,manual,None,4500
chevy tahoe lt,2007,None,good,8 cylinders,4wd,gas,None,198000,None,clean,automatic,None,8200
GMC Jimmy SLS,1997,None,good,6 cylinders,4wd,gas,brown,None,None,clean,automatic,SUV,985
ford f-150,2002,None,good,6 cylinders,None,gas,silver,253000,full-size,clean,manual,None,3850
ford expedition,2003,None,excellent,None,None,gas,None,None,None,clean,automatic,None,3300
buick lacrosse,2008,None,excellent,6 cylinders,None,gas,None,None,None,clean,automatic,None,3300
toyota prius hybrid,2007,None,None,None,None,gas,None,None,None,clean,manual,None,4600
Chevy blazer,1993,None,None,None,None,gas,None,None,None,clean,automatic,None,500
Cevrolet Silverado 3500,2011,None,excellent,8 cylinders,4wd,diesel,white,214000,full-size,lien,automatic,None,20000
bmw 325i,1990,None,None,None,None,gas,None,None,None,clean,manual,None,2100
ford f150,2001,None,like new,8 cylinders,rwd,gas,custom,180000,full-size,clean,automatic,truck,6000
gmc envoy,2007,None,excellent,8 cylinders,None,gas,silver,140000,None,clean,automatic,None,6900
chevy c30,1969,None,good,6 cylinders,rwd,gas,orange,None,full-size,clean,manual,truck,2000
FORD F150,1999,None,good,8 cylinders,None,gas,None,144000,None,clean,automatic,None,2500
P0RSCHE,2000,None,excellent,6 cylinders,None,gas,silver,81000,None,clean,other,None,10500
Dodge,1999,None,None,None,None,gas,None,198500,None,clean,automatic,None,1800
ford ranger,1999,N/A,fair,None,fwd,gas,black,None,full-size,clean,automatic,truck,1000
Ford Ranger,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2200
Dodge,2018,None,None,None,None,other,None,None,None,clean,other,None,200
chevrolet silverado 1500,2007,None,None,None,None,gas,None,157000,None,clean,automatic,None,7500
Chrysler 300,2000,None,good,6 cylinders,fwd,gas,silver,177394,full-size,clean,automatic,sedan,2600
Subaru Tribeca,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
cadillac deville,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
GMC,1997,None,None,None,None,gas,None,None,None,clean,automatic,pickup,1000
dodge ram 1500,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
bmw 330xi,2004,None,good,None,None,gas,None,162000,None,clean,automatic,None,3100
Dodge Challenger,2016,None,None,None,None,gas,None,None,None,clean,automatic,coupe,21000
oldsmobile 98,1987,None,None,None,None,gas,None,144,None,clean,automatic,None,1100
ford f350 dump,1974,None,good,6 cylinders,None,gas,green,None,full-size,clean,manual,truck,1200
honda accord,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
lexus es 300,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,4900
suzuki forenza,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,3900
ford escape,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
Dodgw Caliber,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
mazda 6,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
ford f-150,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
dodge durango,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
