make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Ford F150,1994,None,None,None,None,gas,green,146,None,clean,automatic,pickup,4500
ford escape limited,2006,None,None,None,None,gas,None,None,None,clean,automatic,SUV,4000
toyota camry le,2001,None,excellent,4 cylinders,fwd,gas,grey,114500,mid-size,clean,automatic,sedan,3800
chevy silverado 3500,1991,None,good,8 cylinders,rwd,gas,None,None,full-size,clean,automatic,None,2600
Nissan,2004,None,None,None,None,gas,None,None,None,clean,manual,None,7000
chevy silverado 2500hd,2013,None,None,None,None,diesel,None,144000,None,clean,automatic,None,35000
Ford Freestar,2004,2FMZA51634BA93746,excellent,6 cylinders,fwd,gas,green,153500,None,clean,automatic,van,1450
Chevy Silverado,2007,None,good,8 cylinders,None,gas,grey,207000,None,rebuilt,automatic,truck,9000
chevy malibu lt,2012,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,5600
mitsubishi lancer,2012,None,None,None,None,gas,None,None,None,rebuilt,manual,None,6500
dodge Nitro,2011,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,8800
smart car,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,7000
jaguar s-type R,2004,Xxxxx,excellent,8 cylinders,rwd,gas,silver,127000,mid-size,clean,automatic,sedan,5000
infinity M35X,2007,JNKAY01F17M451939,good,6 cylinders,4wd,gas,black,199825,full-size,clean,automatic,sedan,6500
Ford,2013,None,None,4 cylinders,fwd,gas,None,145,None,clean,automatic,None,123456
Chevy,2005,None,None,8 cylinders,4wd,gas,None,154456,None,clean,automatic,None,7300
toyota tacoma,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,17000
ford f-150,2011,None,None,8 cylinders,None,gas,black,None,None,clean,automatic,None,18
chrysler sebring,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Silverado 2500HD,2011,None,None,None,4wd,diesel,None,138000,None,clean,automatic,truck,30000
Toyota Tacoma,2003,None,excellent,None,None,gas,None,None,None,clean,automatic,None,1500
dodge avenger,2010,None,good,None,None,gas,None,93000,None,clean,automatic,None,5500
lexus rx 300,1999,None,fair,6 cylinders,fwd,gas,blue,201000,mid-size,clean,automatic,SUV,1500
Chevy K20,1987,None,good,8 cylinders,4wd,gas,white,176000,full-size,clean,automatic,truck,2900
dodge ram 2500 laramie,1998,None,excellent,6 cylinders,4wd,diesel,grey,None,full-size,clean,manual,None,14000
BMW 750i,2006,None,fair,8 cylinders,rwd,gas,white,99700,None,clean,automatic,None,3900
Chevy Blazer,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
chevy impala,2004,None,fair,None,None,gas,None,None,None,clean,automatic,None,800
Honda Civic LX,2002,None,excellent,4 cylinders,fwd,gas,custom,208000,sub-compact,clean,automatic,coupe,1300
ford f150,1979,None,None,None,None,gas,None,None,None,clean,automatic,None,850
"IH, International L, R, S",1956,None,None,None,None,gas,None,None,None,clean,manual,pickup,1
grand am,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
accord,2005,None,excellent,None,4wd,gas,black,None,None,clean,automatic,None,1522
ford police interceptor,2013,None,excellent,6 cylinders,fwd,gas,white,119000,full-size,clean,automatic,None,8300
pontiac gran prix,2002,None,good,None,None,gas,None,120,None,clean,automatic,None,1500
crysler sebring,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Buick century,1993,None,None,None,None,gas,blue,None,None,clean,automatic,None,850
chevy silverado 2500hd,2006,1GCHK29U35E231158,good,8 cylinders,4wd,gas,white,None,full-size,clean,automatic,truck,7500
Land Rover Range Rover,2012,None,excellent,6 cylinders,4wd,gas,black,94500,None,lien,automatic,None,21700
vw passat 2.0t,2006,None,fair,None,None,gas,silver,244000,None,clean,automatic,None,2800
chevy suburban 1500,2003,None,excellent,8 cylinders,4wd,gas,black,138000,full-size,clean,automatic,SUV,5600
toyota camry le,2011,None,excellent,4 cylinders,fwd,gas,blue,117000,mid-size,clean,automatic,sedan,8500
bmw 330i,2003,None,None,None,None,gas,None,163000,None,clean,automatic,None,3200
mercedes-benz 420,1987,None,good,8 cylinders,rwd,gas,grey,105000,full-size,clean,automatic,sedan,2999
bmw 525i,2003,None,None,None,None,gas,None,141000,None,clean,automatic,None,2700
Ford Escape,2013,None,excellent,4 cylinders,fwd,gas,black,93000,None,clean,automatic,SUV,11300
mazda rx 8,2007,None,like new,4 cylinders,rwd,gas,grey,130000,compact,clean,automatic,None,4500
