make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Supra,1986,None,None,None,None,gas,None,None,None,clean,manual,None,4500
Toyota Camry XLE,2005,None,fair,6 cylinders,fwd,gas,blue,182000,full-size,clean,automatic,sedan,3500
Ford f150,1992,None,good,8 cylinders,rwd,gas,silver,None,full-size,clean,automatic,truck,7900
ford f250,1996,None,good,8 cylinders,4wd,gas,None,None,None,clean,automatic,None,2800
toyota solara,2004,None,excellent,6 cylinders,fwd,gas,blue,83000,None,clean,automatic,coupe,7000
ford f-150,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,4800
chevy silverado 2500hd,2005,None,excellent,8 cylinders,4wd,diesel,None,331000,full-size,clean,automatic,None,10000
Chevy S10,1994,None,good,6 cylinders,rwd,gas,blue,126400,None,clean,automatic,pickup,2900
chevrolet 1500 avalanche,2004,None,excellent,None,None,gas,None,150000,None,clean,automatic,None,11500
lincoln town car,1998,None,fair,8 cylinders,rwd,gas,silver,None,full-size,clean,automatic,sedan,1500
chevy c10,1976,1245789,good,8 cylinders,rwd,gas,grey,000000,full-size,clean,automatic,pickup,9800
ford f-150,2006,None,good,8 cylinders,4wd,gas,silver,139000,full-size,clean,automatic,truck,7800
ford,2002,None,None,None,None,diesel,None,None,None,clean,manual,None,50000
kia sorento awd,2006,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,3900
Jeep Wrangler,1997,None,excellent,4 cylinders,4wd,gas,None,None,None,clean,automatic,None,6800
Chevrolette Corvette Convertible,2006,None,excellent,None,None,gas,red,66000,None,rebuilt,automatic,None,21000
CHEVY 3100,1955,None,None,None,None,gas,None,None,None,clean,automatic,None,32500
Chevrolet Camaro,2000,None,good,8 cylinders,rwd,gas,red,67000,compact,clean,automatic,coupe,11000
CHEVY 3100,1956,None,None,None,None,gas,None,None,None,clean,automatic,None,27000
dodge ram 2500 cummins,2006,None,None,None,None,diesel,None,None,None,clean,automatic,None,23000
mercury sable wagon,1993,None,None,None,None,gas,None,None,None,clean,automatic,None,350
Chevy,1999,None,good,None,rwd,gas,white,40270,None,clean,automatic,van,14000
ford f-150,2011,None,like new,8 cylinders,4wd,gas,white,127000,full-size,clean,automatic,pickup,27000
Chevrolet Biscayne,1966,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,6000
Ford freestar,2007,None,excellent,None,None,gas,None,137000,None,clean,automatic,None,3200
Dodge ram 3500,1993,None,good,6 cylinders,rwd,diesel,red,214000,full-size,clean,manual,truck,3000
Chevrolet,2000,None,excellent,8 cylinders,4wd,gas,None,None,None,clean,automatic,None,6500
dodge challenger,2013,2C3CDYAG6DH615525,excellent,6 cylinders,rwd,gas,black,18028,None,clean,automatic,coupe,19995
chevy camaro,2001,2G1FP32K712146149,good,6 cylinders,rwd,gas,red,119224,None,clean,automatic,None,6950
chevrolet camaro,2010,2G1FB1EV6A9114101,good,6 cylinders,rwd,gas,red,99923,None,clean,automatic,None,13995
ford crown victoria,1994,2FALP74W4RX138127,good,8 cylinders,rwd,gas,white,74663,None,clean,automatic,None,3950
Ford F150,1997,None,good,6 cylinders,rwd,gas,brown,None,full-size,clean,automatic,pickup,2500
ford taurus se,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2800
4700 International,1998,None,good,None,None,diesel,red,None,None,clean,manual,None,24000
chrysler pt cruiser,2008,None,good,4 cylinders,None,gas,None,133000,None,clean,automatic,None,3300
Chevrolet Blazer,2003,None,good,6 cylinders,4wd,gas,silver,160000,mid-size,clean,automatic,SUV,2200
nissan 370z,2009,None,excellent,None,None,gas,blue,None,full-size,clean,manual,coupe,15500
chevy impala ls,2005,None,excellent,6 cylinders,fwd,gas,white,132414,full-size,clean,automatic,sedan,3500
chevy silverado,2016,1GCVKREC3GZ224490,like new,8 cylinders,4wd,gas,black,11400,full-size,lien,automatic,truck,37500
toyota pick up,1993,None,fair,4 cylinders,rwd,gas,white,228000,mid-size,clean,manual,pickup,1500
ford windstar,2003,None,good,None,None,gas,None,162000,None,clean,automatic,None,1000
cadillac escalade esv awd,2011,1GYS4HEF8BR190048,excellent,8 cylinders,4wd,gas,black,123200,full-size,clean,automatic,SUV,23000
Ford focus,2005,None,excellent,None,None,gas,None,136000,None,clean,automatic,None,3200
ford f150 fx4,2017,None,like new,None,4wd,gas,None,None,None,clean,automatic,None,1700
dodge ram 2500,1996,None,good,None,None,gas,None,268000,None,clean,automatic,None,2500
