make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
chevrolet camaro,1969,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
Dodge Ram 3500,2006,None,excellent,6 cylinders,4wd,diesel,silver,202000,full-size,clean,automatic,truck,26575
Nissan Sentra,2015,None,like new,4 cylinders,fwd,gas,silver,6300,mid-size,rebuilt,automatic,sedan,8500
toyota tacoma,2002,None,good,6 cylinders,4wd,gas,red,None,None,clean,automatic,None,1500
hyundai sonata limited,2012,None,good,4 cylinders,fwd,gas,grey,119000,full-size,clean,automatic,sedan,7995
Ford,1963,None,None,None,None,gas,None,None,None,clean,manual,None,6000
chrysler pt cruiser,2002,None,None,None,None,gas,None,None,None,clean,manual,None,1800
GMC Savana 1500,2000,None,excellent,8 cylinders,rwd,gas,green,None,full-size,clean,automatic,van,3900
Volvo S40,2000,None,good,4 cylinders,fwd,gas,silver,None,compact,clean,automatic,sedan,2400
Chevrolet Kodiak,1995,None,None,None,None,diesel,None,230000,None,clean,manual,None,1
GMC Sierra 2500HD,2013,None,excellent,8 cylinders,4wd,diesel,white,None,full-size,clean,automatic,pickup,24900
chevy tahoe lt,2009,None,fair,8 cylinders,rwd,hybrid,black,146000,full-size,clean,automatic,SUV,10500
chevrolet malibu lt,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,8300
chevy cobalt,2008,None,good,None,None,gas,red,154000,None,clean,automatic,None,2900
1989 Toyota truck 4x4,1989,None,fair,6 cylinders,fwd,gas,black,None,compact,clean,manual,truck,800
GMC Sierra 2500HD,2009,None,good,8 cylinders,4wd,diesel,white,None,full-size,clean,automatic,pickup,16900
Ford F350,2001,None,excellent,8 cylinders,rwd,diesel,white,None,full-size,clean,automatic,pickup,7900
Toyota Sequoia,2005,None,good,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,SUV,4800
Ford Explorer,1999,None,fair,6 cylinders,rwd,gas,white,None,mid-size,clean,automatic,SUV,1995
Cadillac Deville,2003,None,excellent,8 cylinders,fwd,gas,brown,None,full-size,clean,automatic,sedan,4900
Ford F350,2004,None,good,8 cylinders,rwd,diesel,blue,None,full-size,clean,automatic,pickup,6900
Nissan Titan,2007,None,good,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,pickup,4900
Nissan Xterra,2001,None,good,6 cylinders,rwd,gas,white,None,mid-size,clean,automatic,SUV,3900
Chevy Malibu Maxx,2006,None,good,6 cylinders,fwd,gas,blue,None,mid-size,clean,automatic,sedan,3500
Toyota Tacoma Prerunner,2000,None,good,6 cylinders,rwd,gas,silver,None,compact,clean,automatic,pickup,3900
Nissan Quest,2004,None,good,6 cylinders,fwd,gas,silver,None,mid-size,clean,automatic,mini-van,1800
Dodge Ram 2500,2006,None,excellent,6 cylinders,rwd,diesel,silver,None,full-size,clean,automatic,pickup,9900
gmc 1500 sierra,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,11500
ford f-250,2006,None,good,8 cylinders,4wd,diesel,red,149800,full-size,lien,automatic,pickup,18000
Ford Ranger,1992,None,None,None,None,gas,None,None,None,clean,manual,None,800
toyota 4runner,2010,None,good,6 cylinders,4wd,gas,silver,36500,mid-size,clean,automatic,SUV,25000
Dodge,2008,None,excellent,None,None,gas,silver,173600,None,clean,automatic,van,4000
cadillac deville,2004,None,good,None,None,gas,brown,108000,None,clean,automatic,None,2500
Toyota Tacoma,2005,None,None,None,None,gas,None,229000,None,clean,automatic,None,9500
Kia Borrego,2009,None,like new,8 cylinders,rwd,gas,silver,72000,None,clean,automatic,None,14000
