make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
tacoma,2002,None,like new,6 cylinders,None,gas,None,None,full-size,clean,automatic,None,1600
ford f-150,2007,None,good,8 cylinders,rwd,gas,white,None,None,clean,automatic,None,8000
lincoln mark 2,1956,None,good,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,other,15000
gmc 1500 yukon,1999,None,like new,8 cylinders,rwd,gas,white,None,None,clean,automatic,SUV,3800
Chevrollete traverse,2010,None,excellent,6 cylinders,fwd,gas,white,118102,None,clean,automatic,SUV,6995
acura TL,2009,None,excellent,6 cylinders,fwd,gas,white,None,full-size,clean,automatic,sedan,3400
Chrysler Concorde LXi,2000,2C3HD36J3YH129256,excellent,6 cylinders,fwd,gas,silver,115513,mid-size,clean,automatic,sedan,3600
Jeep Liberty Sport,2004,1J4GK48K74W286688,good,6 cylinders,fwd,gas,white,157909,mid-size,clean,automatic,SUV,3995
chrysler pt cruiser,2002,None,fair,4 cylinders,fwd,gas,red,164519,mid-size,clean,automatic,None,1000
gmc envoy,2004,1GKDS13S142138238,good,6 cylinders,rwd,gas,silver,179453,mid-size,clean,automatic,SUV,2000
Honda accord,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,500
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1593
Toyota FJ Cruiser,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1570
everything up to date,2005,None,excellent,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,SUV,1500
Camry,2009,None,None,4 cylinders,fwd,gas,black,None,None,clean,automatic,None,1525
jeep cj7,1985,None,excellent,6 cylinders,fwd,gas,orange,None,None,clean,manual,None,13000
Wrangler,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,16554
Nissan Maxima,2002,None,excellent,None,None,gas,None,None,None,clean,automatic,None,1000
Acura MDX 3.5L,2005,None,excellent,None,None,gas,None,None,None,clean,automatic,None,1600
Toyota Tacoma,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1555
Ford,1966,None,None,6 cylinders,rwd,gas,blue,None,mid-size,clean,manual,pickup,3500
Ford F-150,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2566
PORSCHE BOXSTER,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,12517
Dodge Ram 1500,2007,None,excellent,8 cylinders,fwd,gas,red,115000,None,clean,automatic,truck,6690
Chevrollete Silverado 1500,2007,None,excellent,8 cylinders,fwd,gas,white,169000,None,clean,automatic,truck,3990
tahoe ltz,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,4400
gmc envoy,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,4495
dodge dakota sport,1997,IB7FL26P2VS280811,good,4 cylinders,rwd,gas,green,205222,mid-size,clean,manual,pickup,1395
chevrolet spark,2013,KL8CB6S95DC537322,excellent,4 cylinders,fwd,gas,blue,22511,compact,clean,automatic,hatchback,7900
ford f250,1996,None,None,None,None,diesel,None,None,None,clean,manual,None,1500
chevrolet,1998,None,good,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,truck,1000
FORD,1929,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,24500
ford f-150,1996,None,excellent,8 cylinders,rwd,gas,white,155000,mid-size,clean,automatic,pickup,5500
chevy impala ltz,2014,None,None,None,None,gas,None,None,None,salvage,automatic,sedan,5999
Freightliner,2005,None,None,None,None,diesel,None,None,None,clean,manual,None,45000
dodge ram 2500 laramie,1998,None,excellent,6 cylinders,4wd,diesel,grey,None,full-size,clean,manual,None,14000
Wrangler,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,16775
Dodge Nitro Detonator,2011,None,like new,6 cylinders,fwd,gas,white,85000,mid-size,clean,automatic,SUV,12300
hyuandi sonota,2006,None,None,None,None,gas,None,123000,None,clean,automatic,None,2995
hyuandi sonota,2009,None,None,None,None,gas,None,129000,None,clean,automatic,None,3295
nissan maxima,2007,None,None,None,None,gas,None,84000,None,rebuilt,automatic,None,5500
ford five hundred,2006,None,None,None,None,gas,None,186000,None,clean,automatic,None,3500
chevrolet corvette,2006,None,excellent,8 cylinders,rwd,gas,red,70100,full-size,lien,automatic,coupe,18500
CHEVROLET,2007,None,None,None,None,diesel,None,180263,None,clean,automatic,None,12500
DODGE,2009,None,None,None,None,gas,None,177534,None,clean,automatic,None,7500
dodge ram 3500`,2006,None,excellent,None,4wd,diesel,white,284296,full-size,clean,automatic,pickup,21500
ford f250 super duty,2004,None,excellent,None,4wd,diesel,grey,238354,full-size,clean,automatic,pickup,9999
ford f250 super duty,2012,None,excellent,None,4wd,diesel,white,196567,full-size,clean,automatic,pickup,23500
toyota camry,2004,None,excellent,None,rwd,gas,black,211001,full-size,clean,automatic,coupe,4200
dodge ram 3500,2006,None,excellent,None,4wd,diesel,white,284296,full-size,clean,automatic,truck,21500
toyota camry le 4dr sedan,2004,None,excellent,None,rwd,diesel,black,211127,full-size,clean,automatic,sedan,4200
mercury grand marquis,2003,None,like new,8 cylinders,None,gas,white,255000,full-size,salvage,automatic,sedan,2500
acura clean,1996,None,None,None,None,gas,None,None,compact,clean,manual,None,513
