make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
gmc sierra 3500,2016,None,like new,8 cylinders,rwd,diesel,red,11000,full-size,clean,automatic,truck,55900
jeep wrangler unlimited 4wd,2009,None,excellent,6 cylinders,4wd,gas,orange,150000,full-size,clean,automatic,offroad,14900
nissan nv200s,2014,None,like new,4 cylinders,fwd,gas,white,46000,mid-size,clean,automatic,mini-van,10900
dodge ram 2500 SLT,2016,None,excellent,8 cylinders,rwd,gas,silver,75000,full-size,clean,automatic,truck,24900
chevrolet 2500 silverado,2007,None,excellent,8 cylinders,rwd,diesel,silver,92000,full-size,clean,automatic,pickup,17900
honda accord 2-door coupe,2000,None,good,6 cylinders,fwd,gas,black,175000,None,clean,automatic,None,35000
Toyota Flatbed,1985,None,excellent,4 cylinders,rwd,gas,blue,150000,compact,clean,manual,truck,2900
pontiac trans am,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1
buick century,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,2400
BMW 530i,2001,None,like new,6 cylinders,None,gas,None,69000,None,clean,automatic,sedan,10000
1989 Toyota 4x4 truck,1989,None,fair,6 cylinders,fwd,gas,black,None,compact,clean,manual,pickup,800
ford f-150 lariat,2004,None,None,8 cylinders,fwd,gas,None,None,full-size,clean,automatic,None,2000
Jeep Liberty sport,2002,None,good,4 cylinders,rwd,gas,blue,149000,mid-size,clean,manual,SUV,3700
ford expedition,1999,None,like new,8 cylinders,rwd,gas,white,None,full-size,clean,automatic,None,4800
ford ranger 4x4,2002,None,good,6 cylinders,4wd,gas,yellow,176000,sub-compact,clean,automatic,truck,5000
Ford F-150,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2545
chevrolet camaro,2001,None,good,6 cylinders,rwd,gas,None,150000,None,clean,automatic,None,3000
nissan murano,2009,None,excellent,6 cylinders,fwd,gas,black,153000,mid-size,clean,automatic,SUV,7500
ford crown victoria,1992,None,good,None,None,gas,blue,47000,None,clean,automatic,sedan,2500
