make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
chevrolet 1500 silverado,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
dodge ram 3500,2000,None,None,None,None,diesel,None,None,None,clean,manual,None,3500
GMC Sierra,2017,None,new,None,None,other,None,None,None,parts only,other,None,1
lincoln ls v8,2001,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,sedan,3000
Dodge Magnum R/T,2005,None,excellent,8 cylinders,None,gas,None,None,None,clean,automatic,None,2200
Chrysler Concorde LXi,2000,2C3HD36J3YH129256,excellent,6 cylinders,fwd,gas,silver,115513,mid-size,clean,automatic,sedan,3600
Jeep Liberty Sport,2004,1J4GK48K74W286688,good,6 cylinders,fwd,gas,white,157909,mid-size,clean,automatic,SUV,3995
Honda Accord,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1565
Chevy,1974,1z37ts411371,excellent,8 cylinders,rwd,gas,custom,59000,compact,clean,manual,other,25000
chevrolet 2500 silverado,2005,None,fair,8 cylinders,4wd,gas,white,187000,full-size,clean,automatic,truck,2500
Toyota Tacoma,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1571
dodge dakota sport,2004,None,good,8 cylinders,rwd,gas,black,177000,mid-size,clean,automatic,pickup,3000
Ford,2006,None,good,8 cylinders,None,gas,silver,182000,full-size,clean,automatic,pickup,4500
Chevy Tracker,2004,None,excellent,6 cylinders,rwd,gas,silver,None,None,clean,automatic,None,5200
Honda Accord,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1515
Toyota Tacoma,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1599
Jeep Wrangler,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,16732
Nissan Altima,2011,None,None,None,None,gas,None,172,None,clean,automatic,None,4950
Toyota 4runner limited,2013,None,excellent,None,rwd,gas,white,47800,None,clean,automatic,SUV,28200
ford f-250,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,5650
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1594
PORSCHE BOXSTER,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,12510
chevrolet corvette,2006,None,excellent,8 cylinders,rwd,gas,red,70100,full-size,lien,automatic,coupe,18500
chevrolet silverado,1999,None,excellent,8 cylinders,4wd,gas,None,None,full-size,clean,automatic,None,1200
chevrolet,1998,None,None,None,None,gas,None,85000,None,clean,automatic,None,3000
nissan maxima,2007,None,None,None,None,gas,None,84000,None,clean,automatic,None,5500
toyota camry,2007,None,None,None,None,gas,None,85000,None,rebuilt,automatic,None,6400
toyota tacoma,2011,None,excellent,6 cylinders,None,gas,black,130000,None,clean,automatic,truck,19995
chevrolet 1500 silverado,2004,None,excellent,None,None,gas,None,None,full-size,clean,automatic,None,2058
ford f250,2015,None,excellent,None,None,gas,None,None,None,clean,automatic,None,17622
Chevy Silverado,1987,None,excellent,None,None,gas,silver,None,None,clean,automatic,None,1000
dodge ram 2500,2004,None,fair,8 cylinders,rwd,gas,brown,None,None,clean,automatic,None,2900
Volvo XC90,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1508
Ford F-250 pick up lariat,2011,None,like new,8 cylinders,4wd,diesel,None,None,compact,clean,automatic,pickup,13525
toyota tundra,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,7800
Honda Accord,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1546
HONDA,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,2
Toyota FJ Cruiser,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1541
Honda Accord,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1592
maxima,2004,None,like new,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,1400
Toyota FJ Cruiser,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1558
Volkswagen Jetta,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1597
honda accord,2002,None,good,6 cylinders,None,gas,None,100,None,clean,automatic,None,2500
mathews creed,2018,None,excellent,other,rwd,other,custom,None,None,clean,other,other,1800
Ford E150 Clubwagon,1993,None,fair,8 cylinders,rwd,gas,brown,170000,full-size,clean,automatic,van,1200
maxima,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1
Honda Accord,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1577
Honda Civic,2001,None,None,None,None,gas,None,190000,None,clean,automatic,None,1800
Pontiac Catalina,1973,None,None,None,None,gas,None,44000,None,clean,automatic,None,10500
hona civic,2003,None,fair,None,None,hybrid,None,116000,None,clean,automatic,None,4000
Jeep Wrangler,2006,None,None,None,None,gas,yellow,140000,None,clean,manual,None,14200
Chevy blazer,2000,None,good,6 cylinders,None,gas,blue,127000,compact,clean,automatic,SUV,1800
silverado,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1528
Honda Accord,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1538
Chevy Tahoe LT,2005,None,excellent,8 cylinders,4wd,gas,red,None,full-size,clean,automatic,SUV,1999
Toyota FJ Cruiser,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1551
Toyota FJ Cruiser,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1582
Honda Accord,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1567
CHEVROLET,2005,None,excellent,None,None,gas,None,None,None,clean,automatic,None,1075
Jeep Grand Cherokee,2006,None,like new,4 cylinders,None,gas,red,None,None,clean,automatic,None,2000
Volkswagen Jetta,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1549
Dynamic Stability,2014,None,None,None,None,other,None,None,None,clean,automatic,None,18540
ford crown victoria,2007,N/a,good,8 cylinders,None,gas,silver,None,full-size,clean,automatic,sedan,2500
Volkswagen Jetta,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1552
dodge caravan,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
honda accord,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
ford escape xlt,2010,None,excellent,6 cylinders,4wd,gas,silver,128768,mid-size,clean,automatic,SUV,7900
cadillac cts,2007,None,excellent,6 cylinders,fwd,gas,grey,66733,mid-size,clean,automatic,sedan,9977
jeep wrangler 4x4 sport,2013,None,excellent,6 cylinders,4wd,gas,brown,65000,mid-size,clean,automatic,offroad,19999
honda,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,1501
chevrolet malibu,2005,None,None,None,None,gas,None,132000,None,salvage,automatic,None,700
Nissan Pathfinder,2008,None,good,None,None,gas,black,133000,full-size,clean,automatic,hatchback,1100
Toyota Tacoma,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1530
Honda Accord,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1589
Chevrolet Silverado,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2084
Ford Model A,1929,None,good,8 cylinders,rwd,gas,green,000000000,None,clean,automatic,other,16500
chevy tahoe,2004,None,None,None,None,gas,None,None,None,parts only,automatic,None,800
Jeep Wrangler,1999,None,None,None,None,gas,None,146257,None,clean,automatic,None,50
Toyota FJ Cruiser,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1580
Nissan Altima,2004,None,good,4 cylinders,fwd,gas,silver,118000,sub-compact,rebuilt,automatic,coupe,5000
