make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
honda civic,2000,None,None,None,None,gas,None,None,None,clean,manual,None,995
Kia sorrento,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1700
dodge ram 1500 4x4,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
GMC Sierra,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,14000
Volkswagen Jetta,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1521
4Runner,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
ford mustang gt,2000,None,good,8 cylinders,rwd,gas,white,147000,None,clean,automatic,convertible,3400
Ford F150 XLT,1998,None,excellent,8 cylinders,4wd,gas,white,None,full-size,clean,automatic,truck,1000
any and all,2017,None,excellent,None,None,other,None,None,None,clean,other,None,50
chrysler concorde lxi,2000,2C3HD36J3YH129256,excellent,6 cylinders,fwd,gas,silver,115337,mid-size,clean,automatic,sedan,3600
Jeep Liberty Sport,2004,1J4GK48K74W286688,good,6 cylinders,fwd,gas,white,157909,compact,clean,automatic,SUV,3995
Infiniti m37,2012,None,excellent,6 cylinders,None,gas,custom,114000,None,clean,automatic,sedan,12500
pontiac g6,2006,None,None,None,None,gas,None,160000,None,clean,automatic,None,3800
mercedes-benz e320,2001,None,None,None,None,gas,None,108000,None,rebuilt,automatic,None,3800
Ford F-150,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2544
Chevrolet Equinox,2010,None,excellent,4 cylinders,4wd,gas,black,None,mid-size,clean,automatic,SUV,2300
dodge caliber,2007,1B3HB28B57D243273,excellent,4 cylinders,fwd,gas,custom,152000,sub-compact,clean,automatic,wagon,4200
FORD F-250 4X4,2012,None,good,8 cylinders,4wd,diesel,silver,147000,full-size,clean,automatic,pickup,19000
nissan altima,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,3900
Ford 500,2006,None,good,None,None,gas,None,214000,None,clean,automatic,None,2700
dub zveets,2010,None,None,None,None,other,None,None,None,clean,other,None,3000
nissan maxima,2004,None,good,None,None,gas,None,159000,None,clean,automatic,None,4200
ford explorer,2002,None,good,None,None,gas,None,172000,None,clean,automatic,None,2600
nissan altima 2.5 s,2007,None,excellent,None,None,gas,None,1751000,None,clean,automatic,None,4700
Cbevy c10,1970,None,good,8 cylinders,None,gas,None,None,None,clean,automatic,None,18500
jeep cj7,1985,None,None,None,None,gas,None,None,None,clean,manual,None,13000
suzuki vitara 4-door,2004,None,good,6 cylinders,fwd,gas,silver,160000,mid-size,clean,automatic,SUV,2000
pontiac montana,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
honda accord,2000,None,None,None,None,gas,None,None,None,clean,manual,None,1800
sebring auto,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,701
FORD F-150 FX2,2007,None,excellent,8 cylinders,rwd,gas,white,147000,full-size,clean,automatic,None,2500
JEEP COMMANDER,2010,None,excellent,6 cylinders,4wd,gas,white,125000,full-size,clean,automatic,None,1500
chrysler 200 4dr sdn limited,2011,None,excellent,6 cylinders,fwd,gas,black,125000,mid-size,clean,automatic,sedan,1500
nissan maxima 3.5 sv,2010,None,excellent,6 cylinders,fwd,gas,black,119000,full-size,clean,automatic,None,1500
