make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
chevrolet impala ltz,2008,None,good,None,None,gas,None,None,None,clean,automatic,sedan,1500
BMW X3,2005,None,good,6 cylinders,4wd,gas,green,120000,full-size,clean,automatic,SUV,5000
GMC,2008,None,None,None,None,diesel,white,None,None,clean,automatic,truck,23000
4runner toyota,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
Chrysler Concorde LXi,2000,2c3HD36J3YH129256,excellent,6 cylinders,fwd,gas,silver,115337,mid-size,clean,automatic,sedan,3600
Jeep Liberty Sport,2004,1J4GK48K74W286688,good,6 cylinders,fwd,gas,white,157909,compact,clean,automatic,SUV,3995
DODGE SHELBY DAKOTA,1989,1B7FL96Y8KS130067,good,8 cylinders,rwd,gas,red,50000,mid-size,clean,automatic,pickup,3000
BUICK ENCLAVE,2012,None,None,None,None,gas,None,115474,None,clean,automatic,None,11900
Toyota FJ Cruiser,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1580
Ford F-150,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2511
dodege ram 3500,2000,None,None,None,None,diesel,None,None,None,clean,manual,None,3500
ford f-250 super duty,2006,None,good,8 cylinders,4wd,diesel,white,309000,None,clean,automatic,None,6500
toyota rav4,2012,None,excellent,4 cylinders,fwd,gas,white,None,full-size,clean,automatic,SUV,14500
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1545
dodge stratus 4-door,1998,None,salvage,6 cylinders,None,gas,brown,None,None,clean,automatic,None,350
Dodge d100,1986,None,good,8 cylinders,rwd,gas,None,None,full-size,clean,automatic,pickup,1000
Ford Mustang,2005,None,excellent,None,None,gas,grey,None,mid-size,clean,automatic,coupe,5600
toyota camry solara convertible,2007,None,fair,6 cylinders,fwd,gas,silver,141244,mid-size,clean,automatic,convertible,5700
chevy elcamino,1980,None,None,8 cylinders,rwd,gas,white,None,None,clean,automatic,None,22500
Jeep Grand Cherokee Loaded,2006,None,like new,8 cylinders,None,gas,None,68400,None,clean,automatic,SUV,7995
Chevrolet Malibu,1999,1G1ND52T4XY127675,salvage,4 cylinders,fwd,gas,white,135265,compact,clean,automatic,sedan,350
chevrolet camaro,2011,2G1FK1EJ4B9104410,excellent,8 cylinders,rwd,gas,black,88000,None,clean,automatic,coupe,16500
