make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
nissan altima 2.5 sl,2003,None,excellent,None,None,gas,white,192000,None,clean,automatic,None,3200
DODGE 1500 QUADCAB LARAMIE PKG,2004,None,excellent,8 cylinders,rwd,gas,black,206542,full-size,clean,automatic,pickup,8300
Ford F350,2000,None,good,8 cylinders,rwd,diesel,white,230000,full-size,clean,automatic,pickup,9500
Ford F350,2000,None,good,8 cylinders,rwd,diesel,white,228000,full-size,clean,automatic,pickup,9500
Ford F150,2013,None,good,8 cylinders,rwd,gas,black,132000,full-size,clean,automatic,pickup,12450
Nissan Murano,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,2048
volkswagon jetta tdi,2015,None,None,None,None,diesel,None,None,None,clean,automatic,None,15800
Toyota Tacoma,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2045
tacoma,2002,None,good,6 cylinders,4wd,gas,red,None,full-size,clean,automatic,pickup,1500
Chevy Monte Carlo,1970,None,good,8 cylinders,rwd,gas,None,78716,None,clean,automatic,None,3600
Chevy,1965,None,None,None,None,gas,None,08996,None,clean,manual,None,4500
toyota tacoma 4x4,2001,None,None,None,None,gas,None,None,None,clean,manual,None,6300
Volvo XC90,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1590
chevrolet 1500 silverado,2014,None,good,8 cylinders,4wd,gas,grey,76000,full-size,clean,automatic,truck,37000
kia soul,2015,KNDJN2A28F7771274,excellent,4 cylinders,fwd,gas,silver,15300,compact,clean,manual,wagon,11500
dodge ram 1500 4x4,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2750
Vehicle of your Choice,2018,None,None,None,None,gas,None,None,None,clean,automatic,None,1
pontiac grand prix,2003,None,None,6 cylinders,None,gas,None,None,None,clean,automatic,None,800
chevy equinox,2008,971938-2,good,6 cylinders,4wd,gas,custom,154000,mid-size,clean,automatic,SUV,3300
Nissan Pathfinder,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,2098
trailer,2018,None,None,None,None,other,None,None,None,clean,other,None,2250
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1559
Toyota Tacoma,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2073
ford ranger,1995,None,None,None,None,gas,None,104371,None,clean,manual,None,1699
Toyota T100 Pickup,1994,None,None,None,None,gas,None,165000,None,clean,manual,None,3500
volkswagen passat,2002,None,good,4 cylinders,fwd,gas,blue,182000,None,clean,manual,None,1200
Toyota Highlander Sport 4wd,2009,None,good,6 cylinders,4wd,gas,brown,72723,mid-size,clean,automatic,SUV,12500
Corvette Z06,2002,None,like new,8 cylinders,rwd,gas,yellow,37000,None,clean,manual,coupe,23000
Jeep Grand Cherokee Laredo 4x4,2005,1J4HR48N85C519376,good,6 cylinders,4wd,gas,red,237548,full-size,clean,automatic,offroad,1950
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1537
Nissan Pickup Truck,1985,1N6ND01S8FC348224,excellent,4 cylinders,rwd,gas,orange,47000,compact,clean,manual,pickup,4500
toyota camry,2012,None,good,None,None,gas,grey,102000,None,clean,automatic,None,10000
Nissan Murano,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,2027
Jeep Wrangler,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2586
volvo,2006,None,like new,None,None,gas,None,None,None,clean,automatic,None,1505
Volkswagen Jetta,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1583
