make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Acura,2012,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,10000
BMW,2013,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,13000
mercury mariner,2006,4m2cu857106kj0598,excellent,6 cylinders,4wd,gas,black,135000,full-size,clean,automatic,SUV,3995
jeep grand cherokee laredo,2008,1J8G548K58C244994,good,6 cylinders,rwd,gas,white,123000,full-size,clean,automatic,SUV,6195
tacoma,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Silverado 1500,2014,None,excellent,None,rwd,gas,None,None,None,clean,automatic,truck,11200
Fod Thunderbird,2002,None,excellent,8 cylinders,rwd,gas,blue,109381,full-size,clean,automatic,convertible,9500
Oldsmobile Aurora 4.0,1997,None,fair,8 cylinders,fwd,gas,red,169972,full-size,salvage,automatic,sedan,850
Buick LeSabre,1975,None,None,None,None,gas,None,None,None,clean,automatic,None,6800
ford E 150,1999,1FDRE14L3XHB87373,good,8 cylinders,None,gas,silver,85000,None,clean,automatic,van,8000
pontiac grand prix,2005,None,good,6 cylinders,fwd,gas,blue,216500,mid-size,clean,automatic,sedan,1800
honda crv,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
cadillac srx,2011,None,good,6 cylinders,4wd,gas,white,104300,full-size,clean,automatic,SUV,13750
Dodge ram 1500 sport,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,3
Dodge Ram,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
HONDA Accord EX,2004,None,excellent,4 cylinders,None,gas,None,None,None,clean,automatic,None,4500
FORD Taurus SEL,2007,None,excellent,6 cylinders,None,gas,None,130116,None,clean,automatic,None,3500
CHRYSLER Sebring Touring,2007,None,excellent,6 cylinders,None,gas,None,None,None,clean,automatic,None,3990
honda pilot,2007,None,None,None,None,gas,None,160000,None,clean,automatic,None,7900
chevy silverado 1500,2007,None,excellent,8 cylinders,None,gas,white,None,None,clean,automatic,None,8300
freightliner,2017,None,good,other,None,diesel,green,700000,None,clean,manual,other,19995
freightliner,2017,None,good,other,None,diesel,green,700000,None,clean,manual,other,19995
Fastback,1969,None,None,None,None,gas,None,None,full-size,clean,manual,coupe,15000
Fastback,1969,None,excellent,None,None,gas,None,None,None,clean,manual,coupe,15004
toyota tacoma,2008,None,excellent,6 cylinders,4wd,gas,black,104293,None,clean,automatic,truck,3250
Buick LeSabre,1995,None,None,None,None,gas,brown,121515,None,clean,automatic,sedan,450
Chevy,1987,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
dodge ram 1500,1998,None,new,8 cylinders,None,gas,None,None,full-size,clean,automatic,truck,1011
chevy tahoe lt,2008,None,None,8 cylinders,None,gas,None,198000,None,clean,automatic,None,8999
chevy volt,2013,None,like new,None,None,gas,None,90000,None,clean,automatic,None,9999
toyota camry se,2014,None,None,None,None,gas,None,86000,None,clean,automatic,None,11999
chevy suburban,2014,None,None,None,None,gas,None,137000,None,clean,automatic,None,14999
chevy tahoe lt,2008,None,None,8 cylinders,None,gas,None,198000,None,clean,automatic,None,8999
acura tsx,2009,None,None,4 cylinders,None,gas,None,94000,None,clean,automatic,None,8500
Hardtop,2000,None,None,None,None,diesel,None,None,None,lien,automatic,None,22500
toyota tacoma prerunner,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,6000
Honda Accord,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1597
2008 Chevrolet,2008,None,good,8 cylinders,4wd,gas,None,246000,full-size,clean,automatic,pickup,9000
QX70 Automatic,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,17899
dodge ram 1500,2008,None,good,8 cylinders,rwd,gas,white,70000,full-size,clean,automatic,pickup,12000
chevrolet impala,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2700
ford mustang,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
dodge neon sxt,2005,None,good,4 cylinders,fwd,gas,grey,197000,compact,clean,automatic,sedan,1800
chevrolet silverado 2500hd lt,2004,None,excellent,8 cylinders,rwd,diesel,grey,158000,None,clean,automatic,truck,12500
Chevy Silverado,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,7550
chevy c10,1987,None,fair,8 cylinders,rwd,gas,black,None,None,clean,automatic,None,3500
Ford Fusion,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2850
Chevy HHR,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,3350
gmc yukon xl denali,2003,None,like new,None,None,gas,None,None,None,clean,automatic,None,5999
dodge caravan,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1750
Chevy Cobalt,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
Toyota Rav4,2002,None,None,4 cylinders,None,gas,white,None,None,clean,automatic,SUV,1300
Ford ranger extended cab,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1600
ford ranger,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1600
jvehx,2014,None,None,None,None,gas,None,None,None,clean,manual,None,25
chevy impala,2003,None,excellent,6 cylinders,fwd,gas,None,133000,None,clean,automatic,None,4500
Toyota Corolla S,2010,None,good,4 cylinders,None,gas,silver,88000,None,clean,automatic,None,8250
Nissan Armada Platinum,2010,None,None,None,None,gas,black,50000,None,clean,automatic,None,24500
Hyundai Santa Fe Limited,2008,None,good,6 cylinders,None,gas,black,113000,None,clean,automatic,None,7850
Buick Park Ave,1999,None,good,None,None,gas,silver,96000,None,clean,automatic,None,3995
fiat 500,2017,None,None,None,None,gas,None,None,None,clean,automatic,None,18500
Ford F-150,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2584
Pontiac G5,2008,None,excellent,4 cylinders,None,gas,white,197000,None,clean,manual,None,2500
