make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Chevy Malibu,2003,None,None,6 cylinders,fwd,gas,white,None,full-size,clean,automatic,sedan,1300
Ford F-150,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2524
Saturn Ion,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
Volkswagen Jetta,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1528
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1574
Mitsubishi Eclipse,2000,None,salvage,4 cylinders,fwd,gas,silver,156680,sub-compact,salvage,automatic,coupe,500
Vehicle of your choice,2017,None,new,None,None,gas,None,None,None,clean,automatic,None,1
Nissan Pickup Truck,1985,None,excellent,4 cylinders,rwd,gas,orange,47000,compact,clean,manual,pickup,4500
Nissan Pickup Truck,1985,None,excellent,4 cylinders,rwd,gas,orange,47000,compact,clean,manual,pickup,4500
dodge ram 2500,2007,None,None,None,4wd,diesel,None,None,None,clean,automatic,None,16000
Honda Accord,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1513
Nissan Pathfinder,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,2098
Honda Accord,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1502
Wrangler sahara,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,16554
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1518
chevrolet,1998,None,like new,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,truck,1000
isuzu amigo,1999,None,None,None,None,gas,None,None,None,clean,manual,None,2150
Honda Accord,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1554
Honda Accord,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1579
Dodge Ram,2001,None,excellent,None,4wd,diesel,None,None,None,clean,automatic,truck,1563
Cadillac Escalade,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Volvo XC90,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1505
Toyota FJ Cruiser,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1553
