make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
vw jetta 1.8t,2004,None,None,None,None,gas,None,110000,None,clean,automatic,None,1900
chevy silverado 1500,1989,None,None,None,None,gas,None,263000,None,clean,manual,None,1500
hyundai santa fe,2003,None,None,None,None,gas,None,136000,None,clean,automatic,None,2000
toyota camry hybrid,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
jeep wrangler x,2003,None,excellent,6 cylinders,4wd,gas,None,100000,None,clean,manual,None,9000
Toyota Camry XLE Hybrid,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
hummer h2 suv,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,9500
honda cr-v,2002,None,excellent,4 cylinders,None,gas,blue,None,None,clean,automatic,SUV,3850
Chevrolet Captiva,2014,None,good,4 cylinders,fwd,gas,silver,53468,compact,rebuilt,automatic,SUV,6500
bmw 325i,2006,None,good,6 cylinders,rwd,gas,blue,None,mid-size,clean,automatic,sedan,4500
honda accord 2-door coupe,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
honda accord 2-door coupe,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
chrysler pt cruiser,2002,None,None,None,None,gas,None,None,None,clean,manual,None,1800
toyota camry hybrid,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
chevrolet trailblazer ls,2002,None,good,6 cylinders,rwd,gas,black,122000,full-size,clean,automatic,SUV,4000
Toyota Camry,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
chevrolet suburban,1999,None,None,None,None,gas,None,160000,None,clean,automatic,None,2500
honda civic ex-l,2013,None,excellent,4 cylinders,None,gas,None,None,full-size,clean,automatic,None,2758
Lincoln Navigator,2005,None,good,8 cylinders,rwd,gas,None,130100,full-size,clean,automatic,SUV,5600
Mercury Milan,2006,None,good,4 cylinders,fwd,gas,grey,156000,full-size,clean,automatic,sedan,3900
chevrolet silverado,2008,None,None,None,None,gas,None,175000,None,clean,automatic,None,6900
cadillac srx awd,2008,None,excellent,6 cylinders,4wd,gas,None,129048,None,clean,automatic,None,2500
nissan armada,2004,None,excellent,8 cylinders,None,gas,None,204903,None,clean,automatic,None,2000
Mercury Mariner AWD,2006,None,good,6 cylinders,4wd,gas,red,136000,mid-size,clean,automatic,SUV,4990
Volvo,1994,None,None,None,None,diesel,None,None,None,clean,other,None,8500
honda civic,2005,None,excellent,4 cylinders,fwd,gas,grey,220000,None,clean,automatic,sedan,4200
honda cr-v,2002,None,excellent,4 cylinders,None,gas,blue,None,None,clean,automatic,SUV,3850
Silverado,2003,None,None,None,None,diesel,None,None,None,clean,automatic,None,3000
Wrangler,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Bmw,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Magnum,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
infiniti g37,2010,None,None,None,None,gas,None,64000,None,clean,automatic,None,9400
Mustang,1966,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
toyota corolla,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,6300
Kia Borrego,2009,None,like new,8 cylinders,rwd,gas,None,72000,None,clean,automatic,SUV,14000
chevrolet suburban,2002,None,fair,8 cylinders,rwd,gas,red,196,full-size,clean,automatic,SUV,1700
"Toyota, Tacoma",2005,None,good,6 cylinders,rwd,gas,red,225000,mid-size,clean,automatic,None,9500
honda cr-v,2002,None,excellent,4 cylinders,None,gas,blue,None,None,clean,automatic,SUV,3850
ford f-150,2004,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,3000
dodge caravan,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
ford mustang convertible gt,2002,None,good,None,None,gas,None,None,None,clean,automatic,convertible,6000
Ford Ranger,2004,None,like new,None,4wd,gas,None,None,None,clean,automatic,None,1500
volvo s60,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,4750
volkswagen beetle,2006,None,None,None,None,gas,None,99000,None,clean,automatic,None,4990
Dodge Dart Rallye,2013,None,None,None,None,gas,None,105000,None,clean,automatic,None,5900
Cadillac CTS,2006,None,excellent,None,None,gas,None,113000,None,clean,automatic,None,3990
Dodge Caliber,2011,None,excellent,None,None,gas,None,110000,None,clean,automatic,None,4900
f150,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,2511
Cadillac SRX,2004,None,None,None,None,gas,None,168000,None,clean,automatic,None,3900
toyota corolla,2003,1NXBR32E63Z077215,None,None,fwd,gas,white,None,compact,clean,automatic,sedan,2900
ford f150 supercrew cab,2008,None,good,8 cylinders,fwd,gas,grey,149000,full-size,clean,automatic,truck,9950
chevrolet malibu lt,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,8300
mini cooper s,2006,None,excellent,4 cylinders,fwd,gas,green,77000,compact,clean,automatic,coupe,6900
hyundai accent,2011,None,fair,None,None,gas,blue,None,None,rebuilt,automatic,sedan,3500
ford expedition,2003,1FMRU15W73LC12455,good,8 cylinders,rwd,gas,green,157000,full-size,clean,automatic,SUV,4400
honda accord,2009,None,excellent,6 cylinders,None,gas,white,None,None,clean,automatic,sedan,2058
mini cooper hardtop 2dr cpe,2009,WMWMF73509TT98481,good,4 cylinders,fwd,gas,white,None,compact,clean,manual,coupe,5995
Chevy,1931,None,None,None,None,gas,None,None,None,clean,automatic,None,19500
honda accord ex,2006,None,excellent,6 cylinders,fwd,gas,brown,92000,mid-size,rebuilt,automatic,sedan,4200
Toyota Celica GT,1994,None,fair,4 cylinders,fwd,gas,black,262000,None,clean,manual,hatchback,1400
mrm,2017,None,None,None,None,gas,None,None,None,clean,other,None,9513
Chevy cobalt,2010,None,None,None,None,gas,None,2990,None,clean,automatic,None,2990
Volvo XC90,2005,None,excellent,None,None,gas,None,150000,None,clean,automatic,None,3900
