make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Isuzu Amigo,1999,None,good,6 cylinders,4wd,gas,black,151000,mid-size,clean,automatic,SUV,3200
bmw 325i,2003,None,excellent,6 cylinders,None,gas,None,None,None,clean,automatic,None,1508
Toyota Tundra,2014,None,good,8 cylinders,None,gas,None,87000,None,clean,automatic,None,23900
bradley gt,1975,None,None,None,None,gas,None,None,None,clean,manual,None,1850
infiniti fx35,2009,JNRAS18U29M100313,None,None,None,gas,None,105310,None,clean,automatic,None,11900
nissan quest,2004,None,None,6 cylinders,fwd,gas,green,None,None,clean,automatic,None,3600
Mercedes Benz ml350,2006,None,good,5 cylinders,4wd,gas,silver,181000,mid-size,clean,automatic,None,5800
Ford Fusion SE,2012,None,None,None,None,gas,blue,135118,None,rebuilt,automatic,None,5500
kia soul + automatic,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
CHEVROLET S10,1999,None,excellent,8 cylinders,rwd,gas,red,None,None,clean,automatic,None,12500
CHEVROLET S10,1999,None,excellent,8 cylinders,rwd,gas,red,None,None,clean,automatic,None,12500
honda cr-v ex-l,2009,5J6RE38709L018970,like new,4 cylinders,fwd,gas,white,16700,compact,clean,manual,SUV,13995
Volkswagen,2008,None,good,6 cylinders,4wd,gas,red,92000,compact,clean,automatic,hatchback,9000
Audi RS4,2008,None,good,8 cylinders,4wd,gas,black,119000,mid-size,clean,manual,sedan,22500
Ford,2010,1FMCU9DG9AKC63179,None,None,None,gas,None,107200,None,clean,automatic,None,9000
Nissan,1996,1N6SD16S9TC317318,good,4 cylinders,rwd,gas,white,231000,mid-size,clean,automatic,pickup,2900
Pontiac Montana,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
honda civic si,2007,None,fair,4 cylinders,fwd,gas,white,137500,None,clean,manual,sedan,3500
Buick Verano,2015,None,new,4 cylinders,fwd,gas,black,45000,compact,clean,automatic,sedan,13000
suzuki Kizashi,2012,None,good,4 cylinders,fwd,gas,None,94700,full-size,clean,automatic,sedan,4200
dodge ram 2500 cummins,2005,Xxxxxxxxxxxxxxxxx,good,6 cylinders,4wd,diesel,silver,175000,full-size,clean,automatic,truck,10000
nissan rogue,2011,None,excellent,4 cylinders,None,gas,silver,107000,None,lien,automatic,SUV,5500
Scion FR-S,2014,None,excellent,None,rwd,gas,None,66000,None,clean,automatic,None,13900
honda civic,2014,2HGFB2F53EH506882,like new,4 cylinders,fwd,gas,brown,26000,None,clean,automatic,sedan,14000
dodge neon,2005,None,good,None,None,gas,blue,129657,None,clean,automatic,None,2000
Toyota Corolla,2014,None,good,4 cylinders,fwd,gas,white,46719,compact,clean,automatic,sedan,11999
Grand Vitara Premium,2011,JS3TE0D28B4100175,good,4 cylinders,None,gas,silver,118585,None,clean,automatic,SUV,5900
VW Beetle,2002,None,None,None,None,gas,None,94000,None,clean,automatic,None,2000
Chevy Camaro,1991,None,None,None,None,gas,None,143000,None,clean,automatic,None,2500
Smart Convertible,2009,None,like new,None,None,gas,black,72184,None,clean,automatic,convertible,5495
Smart Convertible,2009,None,like new,None,None,gas,black,72184,None,clean,automatic,convertible,5495
Smart Convertible,2009,None,like new,None,None,gas,black,72184,None,clean,automatic,None,5495
Expidition,2017,None,new,6 cylinders,rwd,gas,black,5850,full-size,clean,automatic,SUV,50000
Nissan Altima SE 3.5 Coupe,2008,None,excellent,4 cylinders,fwd,gas,silver,110923,None,clean,automatic,None,6900
Jeep cherokee,1998,None,excellent,6 cylinders,4wd,gas,red,117000,None,clean,automatic,None,6000
cadillac fleetwood brougham,1996,None,None,8 cylinders,rwd,gas,white,103000,None,clean,automatic,sedan,5000
mercury grand marquis,1990,None,None,8 cylinders,None,gas,grey,None,full-size,clean,automatic,coupe,450
honda accord 4-door sedan,1995,None,good,4 cylinders,fwd,gas,blue,195000,compact,clean,automatic,sedan,3200
Ford Focus SE,2013,1FADP3F28DL266853,good,4 cylinders,None,gas,white,80661,None,clean,automatic,sedan,6200
HONDA,2007,None,excellent,4 cylinders,fwd,gas,None,None,None,clean,automatic,SUV,2000
dodge ram 1500,2000,1B7HF16Y5YS601599,fair,8 cylinders,4wd,gas,black,310000,full-size,clean,automatic,pickup,1000
hyundai accent,2014,None,None,None,None,gas,None,102000,None,clean,automatic,None,6750
dodge grand caravan passenger,2011,None,None,None,None,gas,None,126000,None,clean,automatic,None,6899
toyota camry,2009,None,None,None,None,gas,None,141000,None,clean,automatic,None,6199
ford focus se,2016,None,None,None,None,gas,None,31850,None,clean,automatic,None,10999
chevrolet sonic,2015,None,None,None,None,gas,None,57000,None,clean,manual,None,6000
Cadillac SRX Premium Collection,2011,3GYFNFEY5BS542388,excellent,6 cylinders,4wd,gas,custom,102902,mid-size,lien,automatic,SUV,18500
Ford Ranger,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
ford f-250 crewcab harley-davids,2010,None,None,None,None,gas,None,52000,None,clean,automatic,None,10800
toyota camry le,2004,None,good,4 cylinders,fwd,gas,silver,141000,mid-size,clean,automatic,None,3200
Model A,1929,None,excellent,8 cylinders,rwd,gas,black,None,None,clean,automatic,pickup,18000
nissan frontier,1999,None,None,4 cylinders,None,gas,None,220000,None,clean,manual,None,2500
Smart Convertible,2009,None,like new,4 cylinders,None,gas,black,74184,None,clean,automatic,convertible,5495
Dodge Magnum,2007,None,excellent,6 cylinders,rwd,gas,blue,150100,full-size,clean,automatic,wagon,5900
Chevy HHR,2009,None,like new,4 cylinders,fwd,gas,grey,145000,full-size,clean,automatic,hatchback,4495
lincoln town car,2003,None,excellent,None,None,gas,white,None,full-size,clean,automatic,None,3600
subaru impreza wrx,2009,None,excellent,4 cylinders,None,gas,blue,110000,None,clean,manual,None,11500
ford ranger,2000,None,salvage,6 cylinders,rwd,gas,white,None,mid-size,clean,automatic,pickup,500
