make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
saturn vue v6,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,3100
jeep patriot sport,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,4700
jeep patriot sport,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,4700
chevy impala lt,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,4200
toyota camry,2003,None,excellent,None,None,gas,blue,97381,None,clean,automatic,None,6100
toyota tundra 2wd truck,2007,None,good,8 cylinders,rwd,gas,red,223000,full-size,clean,automatic,truck,8900
international scout,1965,3s8s80cgd,fair,4 cylinders,4wd,gas,red,0000000,mid-size,clean,manual,truck,2700
ford thunderbird,2005,None,excellent,8 cylinders,None,gas,silver,27887,None,clean,automatic,None,23000
Mercury Marquis,1999,None,good,8 cylinders,rwd,gas,brown,194000,full-size,clean,automatic,sedan,2600
Chevy camaro,2001,None,excellent,8 cylinders,rwd,gas,custom,161000,None,clean,automatic,None,6200
plymouth,1933,None,None,None,None,gas,None,None,None,clean,automatic,None,29000
chevrolet corvette convertible,1987,None,good,8 cylinders,rwd,gas,grey,None,None,clean,automatic,convertible,3950
Kawasaki,1982,None,None,None,None,gas,None,None,None,clean,manual,None,4000
cadillac cts,2009,None,good,6 cylinders,rwd,gas,silver,139334,compact,clean,automatic,sedan,8000
Dodge caravan SXT,2007,None,None,6 cylinders,None,gas,None,40000,None,rebuilt,automatic,None,5000
Chevy Traverse-V,2009,1GNER23DX9S120399,good,6 cylinders,None,gas,green,189000,full-size,clean,automatic,SUV,5200
mitsubishi eclipse,1995,None,None,None,None,gas,None,None,None,clean,manual,None,1400
dodge ram 1500,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
kia soul + automatic,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
Honda crv,2008,None,good,4 cylinders,fwd,gas,green,147000,compact,clean,automatic,SUV,6800
Pontiac TransAm,1987,None,None,None,None,gas,None,None,None,clean,automatic,None,900
chevy s10 pickup,1999,None,excellent,8 cylinders,rwd,gas,red,None,mid-size,clean,automatic,None,12500
chevrolet silverado,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,27000
mazda 6,2012,None,None,None,None,gas,None,100000,None,clean,automatic,None,6800
Ford F250,1964,None,None,None,None,gas,None,None,None,clean,manual,None,900
Ford,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,9000
Chevy duramax dually,2007,None,None,None,None,diesel,None,None,None,clean,automatic,None,19500
Ford ranchero,1974,None,good,8 cylinders,rwd,gas,yellow,79000,None,clean,manual,pickup,3000
Ford ranchero,1974,None,good,8 cylinders,rwd,gas,yellow,79000,None,clean,manual,pickup,3000
LUMAR,2018,None,None,None,None,gas,None,None,None,clean,automatic,None,60
dodge ram 2500,2003,None,good,8 cylinders,4wd,gas,white,None,full-size,clean,automatic,truck,8500
nissan versa note s,2014,None,excellent,4 cylinders,fwd,gas,black,51874,None,rebuilt,automatic,hatchback,5500
mercury grand marquise,2005,None,excellent,8 cylinders,rwd,gas,brown,162176,full-size,clean,automatic,sedan,4900
mercury grand marquis gs,1999,None,good,8 cylinders,rwd,gas,brown,190000,full-size,clean,other,sedan,2600
JEEP YJ,1991,None,fair,6 cylinders,4wd,gas,black,195000,None,clean,manual,None,5800
honda pilot ex-l,2013,None,excellent,6 cylinders,fwd,gas,grey,64347,None,rebuilt,automatic,SUV,12900
nissan altima,2006,None,good,4 cylinders,None,gas,white,209000,None,clean,automatic,None,2300
FORD,1956,None,fair,8 cylinders,rwd,gas,None,None,full-size,clean,automatic,sedan,2995
nissan maxima,2009,None,good,6 cylinders,fwd,gas,blue,140000,full-size,clean,automatic,sedan,6900
dodge ram,1986,None,good,6 cylinders,rwd,gas,blue,None,full-size,clean,manual,pickup,2500
1997 chevy silvarado,1997,Outside,good,8 cylinders,rwd,gas,black,200,full-size,missing,automatic,pickup,500
DODGE DULEY 3500,2005,None,excellent,8 cylinders,rwd,diesel,white,180000,full-size,clean,automatic,truck,12500
Kia spectra,2005,None,None,None,None,gas,None,157000,None,clean,automatic,None,2400
FORD 500,2006,None,excellent,6 cylinders,fwd,gas,red,None,full-size,clean,automatic,sedan,2250
Mercedes Replica,1929,None,excellent,None,None,gas,None,None,None,clean,manual,None,5800
Toyota tacoma,2003,None,good,4 cylinders,fwd,gas,red,80000,compact,clean,automatic,truck,6500
Honda civic,2001,None,good,4 cylinders,fwd,gas,silver,169000,compact,clean,automatic,sedan,2900
2011,2011,None,good,4 cylinders,fwd,gas,silver,140000,compact,clean,automatic,sedan,5700
Kia forte,2012,None,good,4 cylinders,fwd,gas,grey,97000,compact,clean,automatic,sedan,5900
bmw 530i,2005,None,excellent,6 cylinders,rwd,gas,blue,137000,full-size,clean,automatic,sedan,3800
chrysler pt cruiser,2007,None,excellent,4 cylinders,fwd,gas,blue,None,mid-size,clean,manual,hatchback,2600
kia rio,2011,None,like new,4 cylinders,fwd,gas,custom,53000,mid-size,clean,automatic,sedan,3800
cadilac fleetwood,1995,1G6DW52P5SR708253,excellent,8 cylinders,rwd,gas,white,225000,full-size,clean,automatic,None,2800
lincoln navigator,2002,None,excellent,8 cylinders,rwd,gas,silver,126000,full-size,clean,other,SUV,2500
jeep commander,2006,None,good,8 cylinders,4wd,gas,red,130000,full-size,clean,automatic,SUV,4000
chevrolet monte carlo ls,1988,None,good,6 cylinders,rwd,gas,white,None,full-size,clean,automatic,coupe,2600
kia optima,2002,None,None,None,None,gas,None,203000,None,clean,manual,None,1600
Chevrolet Avalanche 1500,2007,3GNFK12307G236033,good,8 cylinders,4wd,other,custom,135000,full-size,lien,automatic,SUV,17500
VW Beetle,2002,None,None,None,None,gas,None,94000,None,clean,automatic,None,2000
Chevy Camaro,1991,None,None,None,None,gas,None,143000,None,clean,automatic,None,2500
pontiac fiero se,1984,None,good,None,None,gas,None,94211,None,clean,automatic,None,5000
Nissan Sentra 1.8S,2004,None,excellent,4 cylinders,None,gas,grey,115000,None,clean,automatic,sedan,3200
Ford F150,2006,None,like new,None,None,gas,None,None,None,clean,automatic,None,2000
Chevrolet van,1994,None,None,None,None,gas,None,243000,None,clean,automatic,None,1000
gmc 1500 yukon denali xl,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,6900
mitshubishi fuso,2005,None,None,None,None,diesel,None,None,None,clean,automatic,None,9900
ford focus,2003,None,excellent,4 cylinders,fwd,gas,grey,None,None,clean,automatic,None,2100
ford fusion hybrid,2010,None,excellent,None,None,hybrid,None,None,None,clean,automatic,None,7600
Ford Mustang,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,4200
cadillac deville,2005,None,good,8 cylinders,fwd,gas,red,144000,full-size,clean,automatic,sedan,1500
honda civic,2002,None,fair,4 cylinders,fwd,gas,silver,251000,sub-compact,rebuilt,manual,coupe,1800
jeep scrambler,1981,None,good,6 cylinders,4wd,gas,green,None,full-size,clean,manual,SUV,6000
nissan maxima,2012,None,None,None,None,gas,None,78000,None,clean,automatic,None,20
jeep cj7,1985,None,excellent,6 cylinders,4wd,gas,None,None,None,clean,manual,None,13000
chevrolet blazer,1993,None,good,None,None,gas,None,None,None,clean,automatic,None,2200
pontiac grand am,2002,ig2nw12e92c291090,good,None,None,gas,silver,166334,None,clean,automatic,coupe,1000
Pontiac Grand Am GT,2002,ig2nw12e92c291090,good,None,None,gas,silver,166334,None,clean,automatic,coupe,1000
ford explorer,2003,None,good,6 cylinders,4wd,gas,green,149008,full-size,clean,automatic,SUV,2999
Chevy Aveo LT,2006,None,None,None,None,gas,blue,156000,None,clean,manual,hatchback,2200
Mercedes-Benz Sprinter,2010,None,excellent,None,None,diesel,None,None,compact,clean,automatic,None,10500
Honda civic,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
mistubishi montero,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1900
F100,1979,None,None,None,None,gas,None,None,None,missing,automatic,None,450
Toyota Tundra,2006,None,good,8 cylinders,4wd,gas,silver,202000,mid-size,lien,automatic,pickup,6600
dodge ram 1500,2008,None,excellent,8 cylinders,None,gas,white,210000,full-size,clean,automatic,truck,4500
kia forte,2015,None,None,None,None,gas,None,40540,None,rebuilt,automatic,None,7999
kia forte,2015,None,None,None,None,gas,None,40540,None,rebuilt,automatic,None,7999
Chevy 1500,1994,None,None,None,None,gas,None,201000,None,clean,manual,None,2400
dodge grand caravan,2011,None,None,None,None,gas,None,126000,None,clean,automatic,None,6899
chevrolet sonic,2015,None,None,None,None,gas,None,57000,None,clean,manual,None,6000
Cadillac SRX Premium Edition,2011,3GYFNFEY5BS542388,excellent,6 cylinders,None,gas,custom,100902,mid-size,lien,automatic,SUV,18500
cadillac cts,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
hyundai elantra,2013,KMHDH6AE3DU018123,excellent,4 cylinders,fwd,gas,blue,62600,mid-size,clean,automatic,coupe,9800
Ford f150 xlt,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,700
toyota tacoma,2009,None,excellent,4 cylinders,None,gas,grey,190100,None,clean,automatic,pickup,7073
toyota tacoma,2009,5TENX22N99Z645359,excellent,4 cylinders,fwd,gas,grey,195000,None,clean,automatic,pickup,7073
ford mustang gt,2006,None,excellent,8 cylinders,rwd,gas,blue,96500,mid-size,clean,automatic,coupe,9000
volkswagen,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1525
volkswagen gti,2004,9BWDE61J644012896,excellent,4 cylinders,fwd,gas,grey,145000,None,clean,manual,hatchback,4500
Buick Skylark,1972,None,good,8 cylinders,rwd,gas,brown,None,full-size,clean,automatic,coupe,2500
nissan 240sx,1995,None,None,None,None,gas,None,None,None,clean,manual,None,10500
hyundai santa fe,2005,KM8SC13E95U87652,None,None,None,gas,None,171845,None,clean,automatic,None,2995
mercedes-benz ml350,2007,4JGBB86E67A215726,None,None,None,gas,None,192080,None,clean,automatic,None,8000
CHEVROLET HHR,2008,3GNDA23D58S578776,None,None,None,gas,None,184325,None,clean,automatic,None,2500
mercedes-benz CLK500,2005,WDBTK75JX5F141629,None,None,None,gas,None,131485,None,clean,automatic,coupe,6500
plymouth roadrunner,1968,RM21HBG192254,excellent,8 cylinders,rwd,gas,red,78500,mid-size,clean,manual,None,65000
Military,1985,None,None,None,None,diesel,None,None,None,clean,automatic,None,6
honda accord,2000,None,fair,4 cylinders,rwd,gas,white,211394,None,clean,automatic,sedan,1800
dodge 2500,1996,None,None,None,None,diesel,None,331000,None,clean,manual,None,3000
ford mustang convertible gt,1998,None,None,8 cylinders,rwd,gas,None,None,None,clean,manual,convertible,2200
Ford F 150,2001,None,good,None,None,gas,green,None,None,clean,automatic,None,3000
saturn,2002,None,fair,None,None,gas,None,None,None,clean,manual,None,350
lincoln town car,2000,None,good,None,None,gas,grey,136000,full-size,clean,automatic,None,3250
mercedes-benz c-class c230 sport,2007,None,good,6 cylinders,None,gas,None,156500,full-size,clean,automatic,sedan,5000
Chevy C10 Stepside,1970,None,good,8 cylinders,rwd,gas,green,None,None,clean,automatic,None,16000
mercedes-benz c-class c230 sport,2007,None,good,6 cylinders,None,gas,None,156500,full-size,clean,automatic,sedan,5000
Ford Explorer,2015,None,None,None,None,gas,None,41500,None,clean,automatic,None,26500
volkswagen jetta,2007,None,None,None,None,gas,black,120000,None,clean,automatic,None,3000
Ford Explorer,2015,None,None,None,None,gas,None,41500,None,clean,automatic,None,26500
volkswagen jetta,2007,None,None,None,None,gas,black,120000,None,clean,automatic,None,3000
ford f-150,1984,None,None,None,None,gas,None,None,None,clean,manual,None,4000
toyota camry le,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1
chevy suburban,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
saturn vue,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,3100
Buick Lesabre,2000,None,None,None,None,gas,None,209882,None,clean,automatic,None,2500
subaru impreza wrx,2009,None,excellent,4 cylinders,None,gas,blue,110000,None,clean,manual,None,11500
dodge ram 1500 4x4,2002,None,good,8 cylinders,4wd,other,white,159000,full-size,clean,automatic,None,1
Chevy Astro,1989,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Pontiac  G6.   4 door,2009,None,None,None,None,gas,red,115903,None,clean,automatic,None,3995
Jeep Liberty,2006,None,None,None,None,gas,black,111607,None,clean,automatic,SUV,4995
