make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
pontiac gran prix,1987,None,excellent,8 cylinders,rwd,gas,blue,56570,mid-size,clean,automatic,None,2500
Toyota Matrix,2007,None,excellent,4 cylinders,fwd,gas,blue,121142,None,clean,automatic,hatchback,3490
Toyota,2001,None,excellent,8 cylinders,None,gas,None,154000,None,clean,automatic,None,4200
chevrolet corvette z51,1999,None,good,None,rwd,gas,silver,130865,None,clean,manual,convertible,11500
acura rl sh-awd,2005,None,good,6 cylinders,4wd,gas,grey,170000,None,clean,automatic,sedan,3750
Ford,2008,None,excellent,6 cylinders,4wd,gas,None,145,None,clean,automatic,SUV,4600
Nissan,2010,None,excellent,4 cylinders,None,gas,None,130,None,clean,automatic,None,2800
Honda,2002,None,excellent,None,None,gas,None,160,None,clean,automatic,None,2000
subaru legacy outback,1996,4s3bg6855t7983020,good,4 cylinders,4wd,gas,green,164700,mid-size,clean,automatic,wagon,1500
VW,2004,None,excellent,4 cylinders,None,diesel,None,135000,None,parts only,manual,None,800
dodge ram deisel cummins 3500,2003,None,None,None,None,diesel,None,None,None,clean,manual,None,15000
MERCEDES  C240  AWD,2003,None,excellent,6 cylinders,4wd,gas,black,180,mid-size,clean,automatic,None,3250
ford expedition eddie bauer,2000,None,good,8 cylinders,4wd,gas,green,None,None,clean,automatic,SUV,1995
chevrolet trailblazer,2003,None,good,6 cylinders,4wd,gas,black,180000,None,clean,automatic,SUV,1900
ford ranger,1991,None,None,6 cylinders,None,gas,None,145000,None,clean,manual,None,2100
Nissan Quest,2005,None,good,6 cylinders,fwd,gas,white,139000,full-size,clean,automatic,mini-van,2000
Ford Fusion SE,2007,None,good,4 cylinders,fwd,gas,grey,156000,None,clean,automatic,None,3200
Dodge Dakota,1991,None,fair,8 cylinders,4wd,gas,blue,140000,None,clean,automatic,pickup,1200
Scion TC,2015,JTKJF5C70F3094972,like new,None,None,gas,None,35000,None,clean,automatic,None,12750
nash metropolitan,1956,None,None,None,None,gas,None,None,None,clean,manual,None,6000
Toyota Matrix,2005,None,like new,4 cylinders,None,gas,None,170000,None,rebuilt,automatic,hatchback,3800
Chevy,2006,None,good,8 cylinders,4wd,gas,grey,175000,full-size,clean,automatic,pickup,13000
Ford F150,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
Chev El Camino,1986,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
Plymouth Volare RR,1977,None,fair,8 cylinders,rwd,gas,red,None,mid-size,clean,automatic,coupe,3000
honda accord,2003,None,good,None,None,gas,None,None,None,clean,automatic,sedan,1042
Ford Mustang,1965,None,None,None,None,gas,None,None,None,clean,automatic,None,7000
jeep grand cherokee laredo,2005,None,good,6 cylinders,4wd,gas,blue,1586447,mid-size,clean,automatic,SUV,4000
2016,2016,None,None,None,None,other,None,None,None,clean,other,None,3200
honda accord ex,2007,None,None,None,None,gas,None,None,None,clean,manual,None,2000
bmw 528i,1997,None,fair,6 cylinders,rwd,gas,silver,165124,None,salvage,automatic,None,1295
chevy uplander,2007,None,good,6 cylinders,fwd,gas,red,172294,None,clean,automatic,mini-van,2500
chevrolet venture,2003,None,good,6 cylinders,fwd,gas,silver,152887,None,clean,automatic,mini-van,1295
ford ranger,2003,None,excellent,4 cylinders,rwd,gas,red,200000,None,clean,manual,pickup,1500
ford ranger,2003,None,excellent,4 cylinders,None,gas,red,200000,None,clean,manual,None,1500
hyundai elantra,2007,None,excellent,4 cylinders,fwd,gas,None,180000,None,clean,automatic,None,1950
chevy cruze,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,4200
Subaru Outback,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,3275
Honda Accord ex,2004,None,like new,4 cylinders,fwd,gas,None,110,None,rebuilt,automatic,None,3000
hyundai sonata,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1400
honda element,2003,None,good,4 cylinders,fwd,gas,None,160000,None,clean,automatic,None,2300
gmc sierra 2500hd sle,2011,None,None,None,None,gas,black,180000,None,clean,automatic,None,18500
jeep wrangler sport,1997,None,fair,6 cylinders,4wd,gas,red,26000,None,clean,automatic,None,5500
honda civic lx,2006,None,None,4 cylinders,None,gas,None,89000,None,clean,automatic,None,6500
volvo 240 dl,1989,None,like new,4 cylinders,rwd,gas,silver,85000,full-size,clean,automatic,sedan,3400
Ford Pinto,1972,None,None,None,None,gas,None,None,None,clean,manual,None,1000
honda prelude si,1987,None,fair,None,None,gas,None,None,None,clean,manual,None,500
chrysler,2006,None,excellent,6 cylinders,fwd,gas,None,175,None,clean,automatic,None,1900
mazda mazda6 i grand touring,2005,None,excellent,4 cylinders,fwd,gas,black,100152,None,clean,automatic,None,5400
NISSAN ROGUE AWD,2015,77777777777777777,excellent,4 cylinders,4wd,gas,grey,37900,mid-size,rebuilt,automatic,None,11995
honda accord,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
Pacifica,2005,None,good,6 cylinders,4wd,gas,None,151000,None,clean,automatic,None,3200
chevrolet 1500 silverado,2000,None,good,6 cylinders,rwd,gas,None,176000,None,clean,automatic,None,3500
toyota camry,1995,None,good,4 cylinders,fwd,gas,None,77080,None,clean,automatic,None,4000
bmw x3,2008,None,None,None,None,gas,None,88000,None,clean,automatic,None,9500
