make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
volvo s80,2007,None,None,6 cylinders,None,gas,None,None,None,clean,automatic,None,5000
dodge charger,2006,None,None,None,None,gas,None,141000,None,clean,automatic,None,3900
Cadillac CTS,2010,None,None,6 cylinders,None,gas,None,None,None,clean,automatic,None,3500
nissan altima v6 3.5l 260 hp,2005,None,excellent,6 cylinders,fwd,gas,grey,75000,full-size,clean,automatic,sedan,1058
nissan altima v6 3.5l 260 hp,2005,None,excellent,6 cylinders,fwd,gas,grey,75000,full-size,clean,automatic,sedan,1042
Ford F350,1982,None,None,8 cylinders,None,gas,None,None,None,clean,manual,None,1000
chevy,1989,None,excellent,8 cylinders,rwd,gas,yellow,None,None,clean,automatic,None,16000
ford,2008,None,None,None,None,gas,None,59000,None,clean,automatic,None,5500
nissan maxima,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,13
Chevy Suburban 4X4,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,32999
jeep grand,2002,None,excellent,8 cylinders,fwd,gas,red,None,full-size,clean,automatic,SUV,1507
Toyota Highlander,2005,None,excellent,6 cylinders,4wd,gas,None,150000,None,clean,automatic,SUV,6800
altima,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,15
gmc 3500,2000,None,None,None,None,diesel,None,None,None,clean,automatic,None,12500
dodge avenger,2009,None,good,4 cylinders,fwd,gas,silver,121000,None,clean,automatic,sedan,5000
Chhevy van,1998,None,None,None,None,diesel,None,None,None,clean,automatic,None,2300
nissan frontier,2006,None,fair,4 cylinders,rwd,gas,grey,259437,None,clean,automatic,None,2000
chevrolet silverado 2500hd,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,18500
ford f-150 XLT,2010,None,excellent,8 cylinders,4wd,gas,custom,86000,None,clean,automatic,pickup,20500
MP3/WMA playback,2002,None,excellent,6 cylinders,4wd,gas,None,None,compact,clean,automatic,None,1000
Mitsubishi 3000gt sl,1993,None,None,None,None,gas,None,None,None,clean,manual,None,2800
chevrolet camaro,1968,None,like new,8 cylinders,rwd,gas,red,None,None,clean,automatic,None,32000
VW Jetta,2009,1J4FJ58SXNL181540,good,4 cylinders,fwd,diesel,black,278564,mid-size,clean,automatic,truck,1000
Ford F-150,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2549
Nissan Murano,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,2069
Nissan Maxima SE,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,2085
Ford Sport Trac,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,3900
ford f-250,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,1300
Gmc Sonoma,2002,None,good,4 cylinders,rwd,gas,white,None,mid-size,clean,manual,pickup,1600
Buick Enclave CXL,2008,None,good,6 cylinders,4wd,gas,red,156189,full-size,clean,automatic,SUV,3000
honda cr-v,1997,None,excellent,4 cylinders,4wd,gas,blue,210000,compact,clean,automatic,SUV,3000
JEEP Cherokee Laredo,1987,None,fair,6 cylinders,4wd,gas,grey,189000,mid-size,clean,automatic,SUV,2800
2006 BUICK LACROSSE CX,2006,2G4WC58216122572,excellent,6 cylinders,fwd,gas,white,91392,full-size,clean,automatic,sedan,5400
Infiniti QX70-S,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,17800
bmw 750li,1989,None,None,None,None,gas,None,None,None,clean,automatic,None,1450
