make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Chevy Impala,2008,None,good,6 cylinders,rwd,gas,silver,124500,full-size,clean,automatic,None,3590
MERCEDES S320 w140,1995,None,excellent,6 cylinders,rwd,gas,None,127000,full-size,clean,automatic,sedan,3999
ford expedition,2012,Xxxx,excellent,6 cylinders,fwd,gas,grey,145000,full-size,clean,automatic,sedan,15000
chevy spark,2016,None,like new,None,None,gas,None,None,None,lien,automatic,None,10500
premium sound,2004,None,excellent,6 cylinders,None,gas,black,None,full-size,clean,automatic,sedan,1000
2 door,2003,None,good,4 cylinders,None,gas,green,135600,None,clean,automatic,None,5000
toyota 4runner,2001,None,good,6 cylinders,4wd,gas,None,389000,None,clean,automatic,None,1800
Bank,1976,4358,good,None,None,other,red,None,None,clean,other,None,6800
lexus is250,2006,None,None,None,None,gas,None,153000,None,clean,automatic,None,7000
chevrolet silverado,2003,None,None,None,None,gas,None,130000,None,clean,automatic,pickup,8500
volvo 740 wagon,1992,YV1FW8831N2359336,None,None,None,gas,None,130000,None,clean,automatic,None,1200
Volvo tractor,1999,None,good,6 cylinders,None,diesel,None,None,None,clean,manual,other,5500
nissan 300 zx,1984,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
Aprilia rsv4,2014,None,None,None,None,gas,None,None,None,clean,manual,None,9500
vw jetta,2016,3VWST29M91M034113,good,None,None,gas,black,113000,None,clean,automatic,sedan,1800
chysler Sebring Limited,2001,None,good,6 cylinders,rwd,gas,silver,None,None,clean,automatic,None,2500
ford edge limited,2008,None,None,None,None,gas,None,105712,None,clean,automatic,None,9999
dodge ram 1500 4x4,1997,None,excellent,8 cylinders,4wd,gas,green,210000,full-size,clean,automatic,truck,2800
Hyundai Accent,2012,None,good,4 cylinders,fwd,gas,red,56000,sub-compact,clean,manual,sedan,6000
toyota camry,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
Honda Accord,2006,None,excellent,4 cylinders,fwd,gas,grey,166986,mid-size,clean,automatic,sedan,4500
F350 power stroke,2006,None,excellent,8 cylinders,4wd,diesel,None,202000,None,clean,automatic,None,15500
ford f250 super duty,2011,None,None,None,None,diesel,None,131000,None,lien,automatic,None,25000
porsche cayenne,2004,None,fair,6 cylinders,4wd,gas,None,96000,None,salvage,automatic,SUV,6800
volkswagen,1999,None,None,None,None,gas,None,100000,None,clean,automatic,None,1000
hyundai sonata limited,2012,None,like new,None,None,gas,silver,64000,None,clean,automatic,None,9900
ford f-150,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Cayman S,2015,None,like new,None,None,gas,None,None,None,clean,automatic,None,42990
Hyundai Sonata Limited,2012,None,like new,None,None,gas,None,None,None,clean,automatic,None,1299
Dodge Charger,2006,None,None,6 cylinders,None,gas,None,141000,None,clean,automatic,None,3900
Infiniti G37x,2009,None,good,6 cylinders,4wd,gas,grey,129000,mid-size,clean,automatic,sedan,8500
Jeep Grand Cherokee,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,3250
Chevrolet Impala,2014,None,excellent,6 cylinders,fwd,gas,blue,None,None,clean,automatic,sedan,3300
mazda 3,2008,None,excellent,4 cylinders,fwd,gas,red,92000,None,clean,automatic,None,4200
chrysler town & country,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,2100
ACURA TL,2004,None,excellent,6 cylinders,fwd,gas,white,None,full-size,clean,automatic,sedan,1000
Dodge Neon Sports,1998,None,good,4 cylinders,fwd,gas,grey,95,compact,clean,automatic,sedan,999
nissan altima,2010,1N4AL2AP1AN544181,excellent,4 cylinders,fwd,gas,white,121315,mid-size,rebuilt,automatic,None,4995
gmc sierra 2500 hd,2005,None,excellent,8 cylinders,4wd,diesel,white,151000,None,clean,automatic,None,23250
99 f350,1999,None,None,None,None,diesel,None,254000,None,clean,automatic,pickup,7000
toyota camry le,2011,None,like new,4 cylinders,fwd,gas,black,125353,None,clean,automatic,sedan,7770
acura mdx touring,2005,None,like new,6 cylinders,4wd,gas,grey,154430,None,clean,automatic,SUV,5950
Chevy cavalier,2002,None,None,4 cylinders,fwd,gas,black,107000,None,salvage,automatic,None,700
cummins,2001,None,fair,6 cylinders,4wd,diesel,white,150000,mid-size,clean,automatic,pickup,9800
chevy,1989,None,excellent,8 cylinders,rwd,gas,yellow,105,None,clean,automatic,None,16000
toyota prius v three,2012,JTDZN3EU6C3032900,like new,None,rwd,gas,black,88000,None,clean,automatic,wagon,11500
cummins,2001,None,fair,6 cylinders,4wd,diesel,white,150000,mid-size,clean,automatic,pickup,9800
ford,2008,None,None,None,None,gas,None,59000,None,clean,automatic,None,5500
Honda Civic,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
firebird,1969,None,good,None,None,gas,None,000000,None,clean,automatic,None,1
F-250,2001,None,good,8 cylinders,4wd,diesel,None,200000,None,clean,automatic,None,9900
Mercedes C230 sport,2007,None,excellent,6 cylinders,rwd,gas,silver,63189,compact,lien,automatic,sedan,7900
carbon fiber style trim,2004,None,excellent,6 cylinders,fwd,gas,None,None,full-size,clean,automatic,None,1000
Saturn Ion,2007,None,excellent,4 cylinders,fwd,gas,silver,81000,mid-size,clean,automatic,sedan,3300
Honda pilot,2013,None,excellent,6 cylinders,4wd,gas,grey,79,full-size,rebuilt,automatic,None,12100
Honda Accord,2014,None,excellent,4 cylinders,fwd,gas,blue,38,compact,rebuilt,automatic,None,13500
Chevrolet cavalier z24,1997,None,good,4 cylinders,fwd,gas,red,128000,compact,clean,manual,coupe,1
Chevrolet Venture,2002,None,good,6 cylinders,fwd,gas,brown,184000,mid-size,clean,automatic,None,1
tacoma,2002,None,good,6 cylinders,4wd,gas,None,None,full-size,clean,automatic,truck,1500
chevrolet camaro,1969,None,None,None,None,gas,None,None,None,clean,manual,None,1
gmc,1999,None,excellent,6 cylinders,None,gas,custom,198000,full-size,clean,automatic,pickup,1850
ford f-150,2002,None,good,8 cylinders,4wd,gas,None,233344,full-size,clean,automatic,pickup,1700
BMW,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
nissan maxima,2005,None,excellent,6 cylinders,None,gas,None,150000,full-size,clean,automatic,None,3700
Magnum,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
toyota matrix,2003,None,fair,4 cylinders,fwd,gas,None,168212,None,clean,automatic,None,2700
3 series bmw,1999,None,good,6 cylinders,rwd,gas,blue,None,None,clean,manual,sedan,900
Tacoma v6 limited SR5,2002,None,None,None,None,gas,red,None,full-size,clean,automatic,truck,1600
jeep grand cherokee,1999,None,fair,None,4wd,gas,None,217117,None,clean,automatic,None,999
Ford Explorer,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2899
Cadillac CTS,2005,None,good,6 cylinders,rwd,gas,grey,145800,None,clean,automatic,None,3500
honda accord,2008,None,excellent,6 cylinders,fwd,gas,grey,140,full-size,clean,automatic,sedan,4500
Toyota Camry LE,1999,None,excellent,4 cylinders,fwd,gas,black,114000,full-size,clean,automatic,sedan,2500
Clean -Clean car,2003,None,excellent,4 cylinders,fwd,gas,white,None,full-size,clean,automatic,sedan,1000
*,2002,None,good,8 cylinders,4wd,gas,None,180,None,clean,automatic,None,2500
Buick Regal GS,2001,None,good,6 cylinders,fwd,gas,None,187500,mid-size,clean,automatic,None,1199
