make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford f350,1997,None,good,8 cylinders,rwd,diesel,None,280,None,clean,manual,None,5495
honda cr-v,2007,None,like new,4 cylinders,4wd,gas,blue,131,sub-compact,clean,automatic,SUV,6500
Nissan Sentra,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,600
porsche 911,1980,None,None,None,None,gas,None,None,None,clean,manual,None,12000
ford f250 super duty,2013,None,excellent,8 cylinders,4wd,diesel,white,61000,full-size,lien,automatic,None,35000
chevrolet silverado 2500 hd,2006,None,fair,8 cylinders,fwd,gas,None,160000,full-size,clean,manual,truck,9000
chevrolet s-10,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,400
hyundai elantra,2005,None,None,None,None,gas,None,112975,None,clean,automatic,None,1695
Acura Integra,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
jeep wrangler,2013,111111111,like new,6 cylinders,4wd,gas,white,31500,sub-compact,clean,manual,offroad,1
Bumpers,2011,None,new,None,None,other,None,None,None,parts only,other,other,600
Jeep JK bumpers,2017,None,new,None,None,other,None,None,None,parts only,other,other,450
jeep renegade trailhawk,2016,None,like new,4 cylinders,4wd,gas,white,41000,full-size,clean,automatic,SUV,20400
Ford expeditoon,1999,None,excellent,8 cylinders,4wd,gas,black,70000,None,clean,automatic,None,5000
toyota avalon,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2950
Dodge dart sport,1975,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
ford f-250,2002,None,None,None,None,gas,None,None,None,clean,manual,None,9750
chevrolet silverado 2500hd 4wd d,2004,None,None,8 cylinders,4wd,gas,black,None,None,clean,automatic,None,3000
ford explorer,1997,None,None,None,None,gas,None,None,None,clean,manual,None,1250
bmw 328xi,2008,None,like new,6 cylinders,4wd,gas,black,74500,mid-size,clean,automatic,None,10500
triumph spitfire,1979,None,None,None,None,gas,None,None,None,clean,manual,None,2800
