make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Mercury Monterey Breezeway,1965,None,excellent,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,None,6000
Toyota Sienna,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,6000
Stehl tow,2017,None,None,None,None,other,None,None,None,clean,other,None,900
Hyundai sonata,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
Toyota,1995,None,None,None,None,gas,None,None,None,clean,manual,None,500
Nissan Versa,2009,None,excellent,None,None,gas,None,111,None,clean,manual,None,3500
pontiac trans am,1981,None,excellent,8 cylinders,fwd,gas,blue,None,mid-size,clean,automatic,coupe,14000
dodge durango,1999,None,good,None,4wd,gas,red,None,None,clean,automatic,None,1500
Suzuki Reno,2007,None,excellent,None,None,gas,None,109,None,clean,automatic,None,2900
gmc 1500 sierra,2011,None,excellent,8 cylinders,4wd,gas,white,94000,None,clean,automatic,None,20700
Mazda b4000,2000,None,good,6 cylinders,4wd,gas,None,84000,None,clean,automatic,pickup,3200
volkswagen rabbit,2008,None,excellent,None,None,gas,None,141,None,clean,automatic,None,3900
camaro z28,2002,None,None,None,None,gas,None,195000,None,clean,manual,None,2600
Toyota Corolla le,2003,None,excellent,None,None,gas,None,181,None,clean,automatic,None,3200
ford taurus,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,950
ford explorer,1997,None,good,6 cylinders,rwd,gas,blue,165000,None,clean,manual,None,750
Mitsubishi Diamante,2000,6MMAP67P4YT005109,fair,None,None,gas,silver,209000,full-size,clean,automatic,sedan,500
Volkswagen Jetta se,2011,None,excellent,None,None,gas,None,166,None,clean,automatic,None,4700
Ford Focus ZX3,2001,None,None,None,None,gas,None,None,None,clean,manual,None,1000
Volkswagen cabriolet,2000,None,good,None,None,gas,None,103,None,clean,manual,None,1300
Ford F150 Lariat,2001,None,salvage,8 cylinders,4wd,gas,black,241807,None,rebuilt,automatic,None,1500
dodge dakota,2002,None,None,None,None,gas,None,173069,None,clean,automatic,None,3300
01 FORD 150 XLT,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
