make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
lincoln town car executive,2003,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,3500
toyota camry,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
honda civic,2001,None,good,4 cylinders,fwd,gas,green,None,compact,clean,automatic,sedan,1600
chevy corvette,1985,None,good,8 cylinders,rwd,gas,black,None,compact,clean,automatic,coupe,3500
dodge neon,2005,None,good,4 cylinders,fwd,gas,white,None,compact,clean,automatic,sedan,1000
volkswagen gti,2012,None,excellent,4 cylinders,fwd,gas,grey,None,compact,clean,automatic,coupe,7350
FORD  C8000     D80,1988,1FDYD80U0JVA15770,like new,8 cylinders,rwd,diesel,yellow,33647,full-size,clean,automatic,truck,12000
TOYOTA SIENNA LE,2008,5TDZK23C68S100101,excellent,6 cylinders,fwd,gas,blue,125000,None,clean,automatic,mini-van,5900
dodge grand caravan sxt,2009,None,excellent,6 cylinders,fwd,gas,black,21300,full-size,clean,automatic,mini-van,14000
BM,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
pontiac grand prix,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
toyota corolla,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,900
NISSAN ROGUE S,2011,JN8AS5MV9BW302506,excellent,4 cylinders,4wd,gas,white,108000,None,clean,automatic,SUV,6200
Nissan Xterra 4WD,2006,None,excellent,6 cylinders,4wd,gas,grey,130100,full-size,clean,automatic,SUV,5500
hyundai accent,2002,None,None,None,None,gas,grey,70000,compact,clean,automatic,None,1500
Chevy,2004,None,None,None,None,gas,None,220,None,clean,automatic,None,3700
FORD MUSTANG DELUXE,2006,1ZVHT80N865156381,excellent,6 cylinders,fwd,gas,blue,96000,None,clean,manual,coupe,5200
Volkswagen Jetta,2000,3VWSE29MAYM049514,excellent,6 cylinders,None,gas,silver,216000,None,clean,manual,sedan,2500
chevrolet cobalt,2008,None,good,4 cylinders,fwd,gas,grey,103000,compact,clean,automatic,coupe,3795
Chevrolet suburban,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
TOYOTA CAMRY LE,2008,4T1BE46K48U752228,good,4 cylinders,fwd,gas,black,102000,None,clean,automatic,sedan,5600
HONDA ACCORD - EX,1999,None,excellent,4 cylinders,fwd,gas,None,54000,mid-size,clean,automatic,sedan,2775
Mazda,2007,None,good,4 cylinders,fwd,gas,grey,144000,mid-size,clean,manual,sedan,4800
chevrolet v10 blazer,2001,None,good,6 cylinders,4wd,gas,brown,165000,None,clean,automatic,SUV,3000
honda odyssey touring,2005,None,None,None,None,gas,black,140000,None,clean,automatic,None,6400
Chevy Impala,1963,None,None,None,None,gas,None,None,None,clean,automatic,None,15900
Volkwagen CC,2009,None,excellent,4 cylinders,None,gas,None,88236,None,clean,manual,None,7400
acura tl,1999,None,None,6 cylinders,fwd,gas,green,235000,full-size,clean,automatic,sedan,1000
ford crown victoria,2008,None,like new,8 cylinders,rwd,gas,silver,None,full-size,clean,automatic,None,40
HONDA ACCORD LX,2009,1HGCP26339A153244,excellent,4 cylinders,fwd,gas,None,102000,None,clean,automatic,sedan,5900
ford f-150,1996,None,good,8 cylinders,4wd,gas,red,180000,full-size,clean,automatic,pickup,1500
Mercury sable,2000,None,excellent,4 cylinders,fwd,gas,white,146000,mid-size,clean,automatic,sedan,1650
pontiac g6,2007,None,None,None,None,gas,silver,None,None,clean,automatic,None,2000
International,1933,None,excellent,8 cylinders,rwd,gas,red,None,None,clean,automatic,other,28000
GMC SAFARI,2005,None,None,6 cylinders,4wd,diesel,brown,96000,None,clean,automatic,mini-van,4500
ford explorer,1998,1FMZU35PXWZB47672,good,8 cylinders,4wd,gas,white,126000,None,clean,automatic,SUV,2500
Chevy Blazer,2003,None,fair,6 cylinders,4wd,gas,None,None,None,clean,automatic,None,2500
jeep wrangler,2000,None,None,None,None,gas,None,220000,None,clean,manual,None,5500
volkswagon jetta,2008,None,excellent,None,None,gas,None,85000,None,clean,automatic,None,4900
nissan maxima,2004,None,None,None,None,gas,None,117000,None,rebuilt,automatic,None,2995
ford explorer,2006,None,None,None,None,gas,None,110000,None,clean,automatic,SUV,5400
Cadillac Deville,1995,None,like new,8 cylinders,rwd,gas,white,109432,full-size,clean,automatic,sedan,6000
dodge durango,2005,1D4HB58D25F532885,excellent,8 cylinders,None,gas,silver,107003,full-size,clean,automatic,SUV,4500
toyota corolla,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
nissan maxima,2004,None,None,None,None,gas,None,117000,None,rebuilt,automatic,None,2995
linyl,1990,None,None,None,None,other,None,None,None,clean,other,None,30
hyundai accent gls,2008,None,excellent,None,None,gas,None,80000,None,clean,automatic,None,5495
Nissan 240sx,1995,None,None,None,None,gas,None,None,None,clean,manual,None,1
GMC,2004,None,None,None,None,diesel,None,None,None,clean,automatic,None,11500
chrysler town & country,2002,None,None,6 cylinders,fwd,gas,None,148000,None,clean,automatic,None,1995
Mustang gt,2001,None,None,None,None,gas,None,None,None,clean,manual,None,73
Ford f150,2008,None,good,8 cylinders,4wd,gas,white,190,full-size,clean,automatic,truck,7000
toyota corolla le,2010,None,excellent,None,fwd,gas,grey,113900,None,clean,automatic,sedan,6000
honda odyssey,2004,None,None,None,None,gas,None,142000,None,clean,automatic,None,2995
toyota avalon xls,2003,4t1bf28b33u286668,excellent,6 cylinders,fwd,gas,grey,86510,mid-size,clean,automatic,sedan,4800
Pontiac LeMANS,1972,None,good,8 cylinders,rwd,gas,black,None,None,clean,manual,coupe,8500
chevrolet corvette,2002,None,None,8 cylinders,rwd,gas,blue,None,None,clean,manual,None,15800
chevrolet silverado,2003,None,good,8 cylinders,4wd,gas,custom,193,full-size,clean,automatic,truck,4900
Mercedes-Benz s430,2000,None,good,8 cylinders,4wd,gas,black,2200000,full-size,clean,automatic,None,5300
Barris,1972,None,None,None,None,gas,None,None,None,clean,manual,None,15000
Barris,1972,None,None,None,None,gas,None,None,None,clean,manual,None,15000
nissan 350z,2006,None,excellent,6 cylinders,rwd,gas,blue,91000,None,clean,automatic,None,9995
ford f-150,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,7800
saturn ion,2003,None,like new,4 cylinders,fwd,gas,blue,17000,full-size,clean,automatic,sedan,4900
ford f-150,1999,None,good,8 cylinders,4wd,gas,green,241000,full-size,clean,automatic,pickup,3200
mazda 3 2.0,2008,-----------,salvage,4 cylinders,fwd,gas,grey,None,mid-size,parts only,other,sedan,500
isuzu rodeo,2000,4S2DM58W4Y4344452,good,6 cylinders,4wd,gas,red,152711,full-size,clean,automatic,SUV,1800
Ford,1996,None,None,6 cylinders,4wd,gas,blue,None,None,clean,automatic,SUV,850
nissan altima 2.5 4dr sedan,2003,None,excellent,4 cylinders,None,gas,None,None,None,clean,automatic,None,1000
jeep cherokee sport,1998,None,None,None,None,gas,None,190000,None,clean,automatic,None,4500
toyota tacoma 4x4,2010,None,good,4 cylinders,4wd,gas,brown,178000,compact,clean,manual,truck,13500
jeep wrangler,1998,None,None,None,None,gas,None,None,None,rebuilt,manual,None,4500
gmc envoy,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,3900
chevy 2500hd,2010,None,None,None,None,gas,None,70000,None,clean,automatic,None,20000
Ford,2002,None,good,8 cylinders,rwd,diesel,white,125000,None,clean,automatic,truck,7800
ford escape,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
mazda mx-5 miata,1991,None,excellent,4 cylinders,None,gas,None,None,None,clean,manual,None,10
ford f-250,2006,None,excellent,8 cylinders,4wd,gas,green,140,full-size,clean,automatic,pickup,9700
Dodge Charger r/t,2006,None,good,8 cylinders,rwd,gas,silver,204000,full-size,clean,automatic,sedan,3700
ford escape titanium,2016,1FMCU9J9GUB03143,excellent,4 cylinders,4wd,gas,white,8300,mid-size,clean,automatic,SUV,19500
nissan frontier,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Ford Dump Truck,1999,None,None,None,None,diesel,None,None,None,clean,manual,None,22000
