make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
2014 Chevrolet Silverado 5.3,2014,None,excellent,8 cylinders,rwd,gas,silver,10548,full-size,clean,automatic,truck,11200
ford escape,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,5900
Ford Mustang,1991,None,None,None,None,gas,None,76000,None,clean,automatic,None,1
chevrolet malibu,2016,None,None,None,None,gas,None,None,None,clean,automatic,None,12500
subaru forester XT,2005,None,None,None,None,gas,None,138868,None,clean,automatic,None,7300
Porsche Cayman S,2006,None,excellent,None,None,gas,silver,890000,None,clean,manual,None,19000
chevy camaro,1969,None,None,None,None,gas,None,None,None,clean,automatic,None,8000
buick,1939,None,excellent,8 cylinders,rwd,gas,red,None,None,clean,automatic,None,24000
nissan maxima,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,700
subaru impreza,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,4900
ford edge,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,4600
nissan murano sl 4dr suv,2004,None,excellent,6 cylinders,None,gas,white,168000,None,clean,automatic,SUV,4500
JEEP CJ-7,1980,None,None,None,None,gas,None,None,None,clean,automatic,None,30000
JEEP CJ-7,1980,None,None,None,None,gas,None,None,None,clean,automatic,None,19950
GMC 24FT BOX,2007,None,None,None,None,diesel,None,None,None,clean,automatic,None,15950
Ford Bronco xlt,1995,None,good,8 cylinders,4wd,gas,blue,200000,full-size,clean,automatic,offroad,2200
Dodge Dakota SLT 4X4,1995,None,None,6 cylinders,4wd,gas,red,160606,None,clean,automatic,pickup,1250
B6 s4,2004,None,excellent,8 cylinders,4wd,gas,silver,123000,full-size,clean,automatic,None,10000
jetta vr6,2001,None,good,6 cylinders,fwd,gas,blue,190000,mid-size,clean,automatic,None,4000
BMW 745i,1985,None,excellent,6 cylinders,rwd,gas,black,140000,None,clean,automatic,sedan,7500
Jeep Wrangler X,2005,None,excellent,6 cylinders,4wd,gas,red,51802,None,clean,manual,SUV,16000
lexus is is 250 awd,2006,None,excellent,6 cylinders,4wd,gas,silver,212000,mid-size,clean,automatic,sedan,7400
Lexus IS 250 AWD,2006,None,excellent,6 cylinders,4wd,gas,silver,212000,mid-size,clean,automatic,sedan,7400
dodge avenger,2008,None,excellent,6 cylinders,fwd,gas,black,88000,full-size,clean,automatic,sedan,4500
volkswagen jetta 2.0l s,2002,None,fair,4 cylinders,fwd,gas,black,None,mid-size,clean,automatic,None,1800
Mercury,1946,None,excellent,None,rwd,gas,None,None,None,clean,automatic,None,14900
ford e350,1997,None,good,None,None,gas,white,None,None,clean,automatic,other,6000
vw baja,1973,None,None,None,None,gas,None,None,None,clean,manual,None,5800
jaguar xkr convertible,2008,SAJWA44C789B20876,excellent,8 cylinders,rwd,gas,blue,72000,mid-size,clean,automatic,convertible,19500
ford focus,2000,None,good,None,None,gas,blue,None,None,clean,automatic,sedan,1800
jeep grand cherokee,2001,None,excellent,6 cylinders,4wd,gas,blue,160000,None,clean,automatic,SUV,2700
chevrolet corvette,1987,None,excellent,8 cylinders,rwd,gas,red,76000,None,clean,automatic,coupe,7300
Chevrolet Tahoe LTZ,2007,None,good,8 cylinders,4wd,gas,black,145000,None,lien,automatic,SUV,14500
Honda Civic EX Coupe,2002,1HGEM22032L028204,excellent,4 cylinders,fwd,gas,red,204028,compact,clean,automatic,coupe,2700
Toyota Camry,2009,None,excellent,4 cylinders,fwd,gas,black,None,None,clean,automatic,sedan,1502
GMC Envoy Denali,2008,None,good,8 cylinders,4wd,gas,black,124000,mid-size,clean,automatic,SUV,7990
audi s4,2004,None,None,None,None,gas,None,109,None,clean,manual,None,8800
