make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Chevy impala,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
Mini Cooper S,2003,None,None,None,None,gas,None,176000,None,clean,manual,None,2800
honda civic ex,1998,None,None,4 cylinders,fwd,gas,None,199766,None,clean,automatic,None,1500
chevrolet,2005,None,good,None,None,gas,None,None,None,clean,automatic,None,1526
Ford F-150 XLT,1998,None,excellent,8 cylinders,4wd,gas,white,None,full-size,clean,automatic,truck,1000
ford super duty f-350 drw,2007,None,good,10 cylinders,rwd,gas,white,98000,full-size,clean,automatic,pickup,4500
ford taurus se,2006,1FAFP53U96A204936,good,6 cylinders,fwd,gas,blue,183476,mid-size,clean,automatic,sedan,1295
chevrolet impala,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,3800
ford mustang,2011,None,None,None,None,gas,None,None,None,clean,manual,None,1
chevy ssr,2004,......,excellent,8 cylinders,rwd,gas,red,56000,full-size,clean,automatic,pickup,28500
toyota avalon,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2950
audi a4,2008,None,good,4 cylinders,4wd,gas,white,None,full-size,clean,automatic,SUV,1644
ford f250 super duty,2002,None,None,None,None,gas,None,None,None,clean,manual,None,9750
chevy silverado 2500hd,2004,None,None,8 cylinders,4wd,gas,black,None,None,clean,automatic,None,3000
Ford F-250,2004,None,None,None,None,gas,None,None,None,clean,manual,None,13000
Pontiac Montana,2003,None,good,None,fwd,gas,grey,92000,None,clean,automatic,None,900
chevrolet impala,2002,None,good,6 cylinders,fwd,gas,None,88500,None,clean,automatic,None,25
honda crv,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
chevrolet 1500 silverado,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,6000
hummer h3,2007,None,None,None,None,gas,None,None,None,clean,manual,None,6000
nissan altima,1998,1N4DL01D9WC257620,fair,4 cylinders,fwd,gas,grey,None,None,clean,automatic,sedan,400
mazda 6,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,4
Ford F350,1999,None,fair,8 cylinders,4wd,diesel,None,None,None,clean,manual,None,3400
jeep,2002,None,None,None,None,gas,None,None,None,clean,manual,None,3500
chevrolet 1500 silverado,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,2800
e,2018,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2500
