make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
volkswagen jetta vr6,2000,None,None,None,None,gas,None,None,None,clean,manual,None,2000
nissan sentra,2005,None,None,4 cylinders,None,gas,None,166640,None,clean,automatic,None,2500
jeep cherokee sport,2001,None,good,4 cylinders,4wd,gas,silver,167000,full-size,clean,automatic,offroad,3000
mercedes-benz c300,2015,None,like new,4 cylinders,4wd,gas,brown,30000,full-size,clean,automatic,sedan,27995
Chevy Chevelle,1970,None,None,None,None,gas,None,None,None,salvage,automatic,None,2300
Chevy,1971,None,None,None,None,gas,None,00000,None,missing,automatic,None,3500
Ford bronco,1990,None,None,None,None,gas,None,None,None,clean,automatic,None,650
volkswagen touareg,2004,None,excellent,6 cylinders,4wd,gas,None,96,None,clean,automatic,SUV,5500
MERCEDES C 240 AWD,2003,None,excellent,6 cylinders,4wd,gas,black,180,mid-size,clean,automatic,None,3250
nissan sentra,2005,3N1AB51D55L482474,excellent,4 cylinders,fwd,gas,silver,186000,compact,clean,manual,sedan,1600
chevrolet trailblazer lt,2003,None,like new,6 cylinders,4wd,gas,white,166240,full-size,clean,automatic,SUV,3990
volvo s60,2007,None,None,None,None,gas,black,115750,None,clean,automatic,None,3500
Ford,2010,None,excellent,None,None,gas,None,None,None,clean,automatic,None,25
acura tsx,2004,None,good,4 cylinders,fwd,gas,white,234000,mid-size,clean,automatic,sedan,4200
FORD,1954,None,excellent,8 cylinders,rwd,gas,None,None,None,clean,manual,pickup,9500
scion tc,2008,None,good,4 cylinders,fwd,gas,blue,93000,None,clean,automatic,coupe,5500
buick apollo,1974,None,fair,8 cylinders,rwd,gas,black,176000,mid-size,clean,automatic,hatchback,3500
Chrysler Town&Country,2006,None,excellent,None,None,gas,silver,None,None,clean,automatic,van,1500
Chevy Cobalt,2008,None,excellent,None,None,gas,blue,126000,None,clean,automatic,sedan,1600
Honda CRV,2005,None,None,None,fwd,gas,None,136000,None,clean,automatic,None,4500
Nissan Maxima SE,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,2037
Nissan Maxima SE,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,2054
Toyota Tacoma,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2033
nissan altima,2006,None,None,4 cylinders,fwd,gas,white,189000,full-size,clean,automatic,sedan,3730
Chevrolet Impala,1963,31847BXXXXXX,excellent,8 cylinders,rwd,gas,white,63427,full-size,clean,automatic,coupe,45000
ford focus,2004,1FAFP34344W171077,excellent,4 cylinders,fwd,gas,green,12200,compact,clean,automatic,sedan,1050
Dodge Ram 3500,1997,See me,good,6 cylinders,4wd,diesel,custom,None,full-size,clean,other,truck,10500
mitsubishi montero sport,2002,None,good,None,4wd,gas,grey,115881,mid-size,clean,automatic,truck,1200
Chevy,2000,None,good,None,None,gas,brown,150848,mid-size,clean,automatic,truck,1000
Toyota Avalon Limited Sedan,2007,None,excellent,6 cylinders,fwd,gas,black,77800,None,clean,automatic,sedan,8900
Honda Pilot,2009,Na,like new,6 cylinders,4wd,gas,grey,57000,mid-size,lien,automatic,SUV,15900
Chevrolet Cheyenne,1971,None,excellent,8 cylinders,rwd,gas,custom,None,full-size,clean,automatic,None,12500
Gmc 2500,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2400
honda pilot ex-l 4wd,2007,None,excellent,6 cylinders,4wd,gas,custom,123010,None,clean,automatic,SUV,10000
chevrolet silverado,2006,None,excellent,None,4wd,gas,white,None,None,clean,automatic,truck,10500
Chevrolet Camaro,1978,None,None,None,None,gas,None,None,None,clean,automatic,None,8900
honda civic si,2012,2hgfg4a54ch705070,good,4 cylinders,fwd,gas,red,98000,sub-compact,clean,manual,coupe,10500
