make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
NISSAN ROGUE S,2010,None,like new,4 cylinders,4wd,gas,black,90000,full-size,clean,automatic,SUV,5900
Ford chevy transmission,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
Chrysler Concorde,2000,None,excellent,6 cylinders,fwd,gas,red,151000,full-size,clean,automatic,sedan,1100
volkswagen jetta,2003,None,None,None,None,gas,None,154000,None,clean,automatic,None,1850
TAGS,2006,None,None,None,None,gas,None,None,None,clean,other,None,155
Infiniti I30 Luxury,2001,JN1CA31D4YT555043,excellent,6 cylinders,fwd,gas,blue,91000,mid-size,clean,automatic,sedan,4000
Chevelle SS,1970,None,None,None,None,gas,None,None,None,clean,manual,None,1
chevy venture,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
dodge ram 1500 4x4,2004,None,excellent,8 cylinders,4wd,gas,red,78500,None,clean,automatic,pickup,7850
Subaru Legacy GT wagon,2005,4S3BP686654324988,good,4 cylinders,4wd,gas,red,165000,mid-size,clean,automatic,wagon,5195
Volkswagen Touareg,2005,None,excellent,6 cylinders,4wd,gas,red,None,None,clean,automatic,SUV,5000
2003 GMC Sierra,2003,None,like new,8 cylinders,4wd,gas,grey,79000,full-size,clean,automatic,truck,12000
BMW 325xi,2004,None,excellent,None,4wd,gas,black,None,None,clean,automatic,None,2650
pontiac vibe gt,2010,None,None,None,None,gas,None,None,None,clean,manual,None,10000
toyota camry solara,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2800
jeep grand cherokee laredo,1996,None,fair,6 cylinders,4wd,gas,None,None,None,parts only,automatic,None,500
saturn sl2,1996,None,None,None,None,gas,None,None,None,parts only,automatic,None,400
chevrolet lumina,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,500
chevrolet silverado,1993,None,good,8 cylinders,4wd,gas,None,None,None,parts only,automatic,None,700
chevy silverado,1989,None,salvage,8 cylinders,4wd,gas,None,None,None,clean,automatic,None,700
pontiac grand prix,1997,None,good,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,650
dodge caravan,2002,None,fair,6 cylinders,fwd,gas,None,None,None,rebuilt,automatic,None,600
jeep grand cherokee laredo,2000,None,None,6 cylinders,None,gas,None,None,None,clean,automatic,None,300
jeep liberty,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,650
Ford focus,2001,None,good,None,None,gas,None,177957,None,clean,manual,None,850
Dodge truck,2001,None,fair,8 cylinders,4wd,gas,blue,None,full-size,clean,automatic,truck,3500
jaguar xjs v12 convertible,1988,None,good,None,None,gas,None,None,None,clean,automatic,None,5500
nissan 300 zx,1984,None,good,None,None,gas,None,None,None,clean,automatic,None,8500
hyundai sonata,2006,None,excellent,None,fwd,gas,silver,135000,mid-size,clean,automatic,sedan,2900
ford focus,2003,None,good,4 cylinders,fwd,gas,red,130000,mid-size,clean,automatic,sedan,2600
chevy express van,2006,None,good,6 cylinders,rwd,gas,white,176000,full-size,clean,automatic,van,5500
chevy silverado 1500,2017,None,like new,8 cylinders,4wd,gas,black,6650,full-size,lien,automatic,pickup,38000
Bmw,2007,None,excellent,8 cylinders,4wd,gas,black,119225,full-size,clean,automatic,SUV,8500
saturn ion 2,2005,None,None,None,None,gas,None,None,None,clean,manual,None,500
ford escape,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2450
ford f-150,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
dodge ram 1500 4x4,1999,None,fair,8 cylinders,4wd,gas,red,20035,full-size,clean,automatic,pickup,2500
bmw 320i,2014,WBA3C3C51EF985486,excellent,4 cylinders,4wd,gas,red,49000,mid-size,clean,automatic,None,17900
oldsmobile bravada,1999,None,good,6 cylinders,4wd,gas,green,48295,full-size,clean,automatic,SUV,2300
ford f350,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,8200
Cadillac Seville,1994,None,excellent,8 cylinders,None,gas,green,49240,None,clean,automatic,None,5350
nissan versa,2009,None,excellent,None,None,gas,None,111,None,clean,manual,None,3500
Chevrolet Corvette,1977,1Z37L7S447717,good,8 cylinders,rwd,gas,blue,68000,None,clean,automatic,None,4500
chevrolet camaro,1969,None,None,None,None,gas,None,None,None,clean,manual,None,1
volkswagen jetta,1996,None,fair,6 cylinders,fwd,gas,None,None,None,clean,manual,sedan,1500
ford f-150,1996,None,good,6 cylinders,rwd,gas,green,235000,full-size,clean,manual,truck,2400
chevrolet 1500 avalanche,2004,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,6695
honda civic lx sedan,2014,None,good,4 cylinders,fwd,gas,silver,84300,mid-size,clean,automatic,sedan,8700
ford f-150,2000,None,fair,8 cylinders,4wd,gas,black,283254,full-size,clean,automatic,pickup,2100
Cadillac,1941,None,good,None,None,gas,black,None,None,clean,manual,None,25000
chevy silverado 1500,1998,None,fair,8 cylinders,4wd,gas,red,198000,full-size,clean,automatic,truck,3800
chevy deluxe,1950,None,good,None,None,gas,green,None,None,clean,automatic,sedan,5800
Jeep Wrangler YJ,1994,None,good,None,None,gas,None,151000,None,clean,automatic,None,4500
Toyota Corolla le,2003,None,excellent,None,None,gas,None,181,None,clean,automatic,None,3200
vw gti,2006,1vwfv71k86w121837,excellent,4 cylinders,fwd,gas,black,85000,compact,clean,automatic,hatchback,5999
chevrolet lt,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,7799
volkswagen rabbit,2008,None,excellent,None,None,gas,None,141,None,clean,automatic,None,3900
Chevy Malibu,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1995
Chevy 2 dr Sedan,1939,None,None,None,None,gas,None,None,None,clean,automatic,None,16500
mazda tribute,2002,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,3295
camaro z28,2002,None,None,None,None,gas,None,195000,None,clean,manual,None,2600
Toyota Camry,1999,None,None,None,None,gas,None,None,None,salvage,automatic,None,3195
CADILLAC DEVILLE DTS,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2100
Chevrolet chevelle,1965,None,None,None,None,gas,None,None,None,clean,automatic,None,4800
ford f-150,1988,None,None,None,None,gas,None,101000,None,clean,manual,truck,3500
ford f-250 super duty,1999,None,good,None,None,diesel,white,290000,full-size,clean,automatic,pickup,13400
mazda cx-7,2008,None,excellent,4 cylinders,fwd,gas,silver,79000,full-size,clean,automatic,SUV,7800
dodge ram 2500,2001,None,None,6 cylinders,4wd,diesel,silver,183150,None,parts only,manual,truck,1
