make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
NISSAN FRONTIER,2003,None,good,6 cylinders,fwd,gas,silver,103000,full-size,clean,manual,pickup,4900
subaru wrx,2015,None,like new,4 cylinders,4wd,gas,silver,33780,None,clean,manual,sedan,22000
DODGE CHARGER,2007,None,good,6 cylinders,fwd,gas,grey,94000,full-size,clean,automatic,sedan,4700
Subaru WRX,2015,None,None,None,None,gas,None,None,None,lien,manual,None,23500
Chevy silverado,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,5800
TOYOTA SIENNA LE,2005,None,good,6 cylinders,fwd,gas,silver,169482,full-size,clean,automatic,mini-van,5000
AUDI A4 2.0T CONVERTIBLE,2007,None,good,4 cylinders,4wd,gas,blue,172000,full-size,clean,automatic,convertible,4500
toyota camry hybrid,2009,None,like new,4 cylinders,None,gas,None,None,None,clean,automatic,sedan,1800
Subaru Forester 2.5 x,2009,None,good,4 cylinders,4wd,gas,black,165000,full-size,clean,automatic,SUV,5900
NISSAN ALTIMA,2002,None,good,4 cylinders,fwd,gas,green,1017000,full-size,clean,automatic,sedan,2495
Willys Wagon,1951,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
oldsmobile intrigue,2001,None,like new,None,None,gas,None,73000,None,clean,automatic,None,2500
Mercedes Benz 380SL,1981,None,None,None,None,gas,None,None,None,clean,automatic,None,600
Honda Pilot EX-L,2006,None,None,6 cylinders,4wd,gas,None,178000,None,clean,automatic,SUV,5500
subaru forester xt,2004,None,good,4 cylinders,4wd,gas,grey,None,None,clean,manual,None,2900
nissan altima,1997,None,fair,4 cylinders,fwd,gas,white,125000,compact,clean,automatic,sedan,1000
subaru forester xt,2004,None,good,4 cylinders,4wd,gas,grey,None,None,clean,manual,None,2900
ford f250 super duty,2000,None,good,10 cylinders,4wd,gas,black,13000,None,clean,automatic,pickup,2250
suzuki xl-7,2001,None,fair,6 cylinders,4wd,gas,purple,193925,full-size,clean,automatic,SUV,600
Ford 2000 L8000,1990,None,excellent,8 cylinders,4wd,diesel,blue,60000,compact,clean,automatic,truck,5500
