make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford tau,2003,None,excellent,6 cylinders,fwd,gas,grey,92000,full-size,clean,automatic,sedan,4495
lincoln navigator,2006,None,excellent,8 cylinders,4wd,gas,silver,148000,full-size,clean,automatic,SUV,8495
F 150,1998,None,good,8 cylinders,rwd,gas,black,163000,full-size,clean,automatic,pickup,2400
honda pilot,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2800
ford explorer xlt,2004,None,good,8 cylinders,4wd,gas,green,150000,full-size,clean,automatic,SUV,4495
ford f-250,2006,None,None,None,None,diesel,None,None,None,clean,automatic,None,12000
Chevy,1971,None,None,None,None,gas,None,00000,None,missing,automatic,None,3500
hyundai sonata gls,2006,None,excellent,4 cylinders,fwd,gas,silver,130000,full-size,clean,automatic,sedan,4995
ford explorer,2004,None,good,8 cylinders,4wd,gas,green,150000,full-size,clean,automatic,SUV,4495
Dodge,2007,None,good,6 cylinders,None,diesel,None,115500,None,rebuilt,automatic,None,18900
Dodge Ran,2007,None,good,6 cylinders,None,diesel,None,115500,None,rebuilt,automatic,None,18900
chevrolet silverado 3500,2000,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,6500
Lexus Rx300,2000,None,like new,6 cylinders,4wd,gas,None,155,mid-size,clean,automatic,SUV,3950
subaru impreza wrx sti,2004,None,like new,4 cylinders,fwd,gas,silver,113000,full-size,clean,manual,sedan,1543
chevrolet s10,1992,None,good,6 cylinders,rwd,gas,None,None,None,clean,manual,pickup,2195
honda odyssey,2005,None,good,6 cylinders,fwd,gas,white,195000,full-size,clean,automatic,mini-van,2400
mazda b2300,1996,None,None,4 cylinders,rwd,gas,None,205530,None,clean,manual,None,1500
nissan quest,2007,None,excellent,6 cylinders,fwd,gas,silver,134000,full-size,clean,automatic,mini-van,5500
Gmc chevy,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,600
nissan sentra,2000,None,good,4 cylinders,fwd,gas,silver,117000,None,clean,automatic,sedan,2000
chevy s-10,2000,None,good,6 cylinders,4wd,gas,black,151000,mid-size,clean,automatic,pickup,3000
Nissan Sentra,2004,None,good,4 cylinders,fwd,gas,silver,None,None,clean,manual,None,2200
dodge dakota,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,3300
camry,2009,None,like new,4 cylinders,fwd,gas,black,73000,full-size,clean,automatic,sedan,1520
lincoln mark lt,2006,5ltpw18516f,like new,8 cylinders,4wd,gas,white,116200,full-size,clean,automatic,pickup,23500
01 FORD 150 XLT,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
FORD E-250 CARGO/CAMPER VAN,2006,None,good,6 cylinders,rwd,gas,custom,113000,full-size,clean,automatic,None,4400
Mitsubishi montero,2003,None,excellent,6 cylinders,4wd,gas,blue,1790000,full-size,clean,automatic,SUV,2200
suzuki xl7,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
Honda Pilot,2009,Na,like new,6 cylinders,4wd,gas,grey,57000,mid-size,lien,automatic,SUV,15900
geo metro,1994,None,None,None,None,gas,None,None,None,clean,manual,None,400
chevy silverado 3500,2006,None,None,8 cylinders,None,diesel,None,164000,None,clean,automatic,None,22000
acura tsx,2008,None,None,None,None,gas,None,155,None,clean,other,None,5500
jeep grand cherokee,2008,None,None,None,None,gas,None,140,None,clean,other,None,5500
chevrolet malibu,2008,None,None,None,None,gas,None,None,None,clean,other,None,5499
honda accord ex,2007,None,None,None,None,gas,None,179,None,clean,other,None,4800
nissan sentra,2005,None,good,4 cylinders,None,gas,None,166640,None,clean,automatic,None,2500
saturn ion,2007,None,None,None,None,gas,None,114000,None,clean,manual,None,2800
volkswagen jetta gli,2007,None,None,None,None,gas,None,189900,None,clean,automatic,None,3500
honda,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
Ford Taurus,2006,None,good,6 cylinders,None,gas,None,183000,None,clean,automatic,sedan,2500
96 chevy tahoe,1996,None,good,8 cylinders,4wd,gas,black,None,full-size,missing,automatic,SUV,1000
Rabbit convertible,1982,None,salvage,4 cylinders,fwd,gas,None,None,None,clean,manual,None,1500
Dodge Neon RT,2002,None,good,4 cylinders,None,gas,black,120006,None,clean,manual,None,1300
Toyota Supra,1990,None,fair,6 cylinders,rwd,gas,silver,None,None,clean,automatic,None,2000
Chevy s10,1994,None,None,None,None,gas,None,120000,None,clean,manual,None,1500
chevy,1992,None,fair,6 cylinders,4wd,gas,None,200000,mid-size,clean,automatic,pickup,500
Ford Edge SEL,2013,None,excellent,6 cylinders,fwd,gas,black,None,full-size,clean,automatic,SUV,4000
nissan  se,2001,None,None,None,4wd,gas,None,None,None,clean,automatic,None,2900
Ford,2007,None,None,None,None,diesel,white,None,None,clean,automatic,None,8500
ford expedition,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Ford F-150 SuperCrew Lariat,2001,None,excellent,8 cylinders,4wd,gas,blue,288510,None,clean,automatic,truck,4950
ford expedition xlt,2004,None,excellent,8 cylinders,4wd,gas,grey,127000,full-size,clean,automatic,SUV,7495
nissan,2003,None,excellent,6 cylinders,None,gas,None,None,None,clean,automatic,None,1000
Ford F-350 Crew cab,2007,None,good,8 cylinders,rwd,diesel,orange,None,full-size,clean,automatic,pickup,13500
ford thunderbird,1990,None,None,None,None,gas,None,None,None,clean,automatic,None,1
chevrolet trailblazer,2004,None,good,6 cylinders,4wd,gas,black,153000,full-size,clean,automatic,SUV,3400
chevrolet camaro,1996,None,fair,6 cylinders,fwd,gas,custom,None,compact,missing,automatic,coupe,500
pontiac firebird,1996,None,fair,6 cylinders,fwd,gas,blue,140000,compact,clean,automatic,coupe,500
mitsubishi eclipse gt,2000,None,good,6 cylinders,fwd,gas,grey,209000,compact,clean,automatic,coupe,2500
chrysler 300,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2400
ford explorer,1997,None,good,6 cylinders,rwd,gas,blue,167000,mid-size,clean,manual,None,750
chevy c 30,1984,None,None,None,None,gas,None,None,None,clean,manual,None,5000
ford taurus se,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,275
saturn vue,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,500
freightliner,1999,None,excellent,None,None,diesel,red,624674,None,clean,manual,truck,18999
jaguar xj6 vanden plas,1990,None,excellent,6 cylinders,rwd,gas,blue,None,full-size,clean,automatic,None,1000
Ford galaxie,1965,None,None,None,None,gas,None,None,None,clean,automatic,None,2700
Chevy Aveo LT,2009,None,excellent,4 cylinders,fwd,gas,black,None,compact,clean,manual,coupe,3300
Ford Mustang,1987,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Pontiac Grand Prix GTP,2002,None,good,6 cylinders,fwd,gas,blue,110000,full-size,clean,automatic,coupe,2500
Scion xB,2006,None,good,4 cylinders,fwd,gas,green,179500,compact,clean,automatic,wagon,2700
chevrolet 1500 silverado,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
dodge dakota,2003,None,good,None,None,gas,None,None,None,clean,automatic,None,3500
gmc yukon denali,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,3054
dodge ram 1500 4x4,2008,None,excellent,8 cylinders,4wd,gas,red,180000,full-size,clean,automatic,pickup,11995
