make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Honda Cr-v,2008,None,None,None,None,gas,None,87200,None,clean,automatic,None,1550
chevy impala,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
QX60,2014,None,like new,None,None,gas,None,None,None,clean,automatic,SUV,14533
ford f-150,2003,None,good,8 cylinders,4wd,gas,black,223000,full-size,clean,automatic,None,5400
Chevy Camaro,1990,None,good,8 cylinders,rwd,gas,custom,142000,mid-size,clean,automatic,convertible,7500
honda accord,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
honda accord,2007,None,good,4 cylinders,fwd,gas,grey,129743,None,rebuilt,automatic,None,3900
dodge ram 1500,2001,None,good,8 cylinders,4wd,gas,green,None,compact,clean,automatic,None,4995
Toyota Camry LE,2002,None,good,None,None,gas,None,192,None,clean,automatic,None,1500
Dodge town power wagon,1959,None,None,None,None,gas,None,None,None,missing,manual,None,1000
nissan 300 zx,1984,None,good,None,rwd,gas,None,131000,None,clean,manual,None,1000
chysler,2006,None,good,6 cylinders,None,gas,None,148000,mid-size,clean,automatic,None,2250
chevrolet impala,1964,64646464646464646,fair,8 cylinders,rwd,gas,black,120000,full-size,clean,automatic,coupe,16000
jeep wrangler sport,2012,1c4ajwag1cl182052,like new,6 cylinders,4wd,gas,black,87397,compact,clean,manual,SUV,18500
Dodoge durango,2000,None,None,None,4wd,gas,None,None,None,clean,automatic,None,1700
nissan murano,2007,JN8AZ08W37W37W640,good,6 cylinders,4wd,gas,black,197000,None,clean,automatic,SUV,4800
saturn sw2,1997,None,good,4 cylinders,fwd,gas,green,318499,sub-compact,clean,automatic,wagon,800
jeep grand cherokee laredo,2005,None,good,None,4wd,gas,None,1595000,None,clean,automatic,None,5500
Ford F150,1997,None,fair,8 cylinders,4wd,gas,blue,266000,None,clean,automatic,pickup,2000
forf f250,2003,None,good,8 cylinders,rwd,gas,red,None,full-size,clean,automatic,truck,1500
pontiac vibe,2003,None,good,4 cylinders,fwd,gas,blue,235000,compact,clean,automatic,hatchback,1950
Escape Limited,2003,None,None,6 cylinders,4wd,gas,None,139000,None,clean,automatic,None,3600
lincoln town car,1997,None,fair,8 cylinders,None,gas,white,200000,None,clean,automatic,None,1200
mazda protege,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1300
dodge ram van,1996,None,excellent,None,None,gas,None,76000,None,clean,automatic,None,6000
saturn aura,2008,None,excellent,6 cylinders,None,gas,None,194000,None,clean,automatic,None,2000
BMW,2006,None,good,None,None,gas,black,97000,full-size,clean,automatic,sedan,8300
buick regal,2013,None,excellent,4 cylinders,fwd,gas,custom,36000,full-size,lien,automatic,sedan,14999
chevrolet traverse,2010,None,None,6 cylinders,fwd,gas,blue,169000,full-size,clean,automatic,SUV,3800
mazda tribute,2002,None,excellent,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,2250
lincoln towncar signature series,2002,None,excellent,8 cylinders,None,gas,None,120000,None,clean,automatic,None,1850
GMC Yukon,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
Dodge Dakota,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,700
integra manual,1996,None,excellent,None,None,gas,None,None,None,clean,automatic,None,529
Buick Rainer,2005,None,None,None,None,gas,None,160,None,clean,automatic,SUV,2000
cadillac seville sls,1994,None,like new,8 cylinders,fwd,gas,red,178000,full-size,clean,automatic,sedan,3200
ford taurus,2012,None,like new,None,fwd,gas,grey,None,mid-size,clean,automatic,sedan,7000
buick regal custom,1995,None,None,None,None,gas,None,202288,None,clean,automatic,None,600
chevrolet impala,2008,None,excellent,6 cylinders,fwd,gas,None,None,full-size,clean,automatic,None,5200
Olds toronado,1985,None,None,None,None,gas,None,86000,None,clean,automatic,None,3000
