make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
jeep grand cherokee,2006,None,like new,8 cylinders,None,gas,None,None,None,clean,automatic,SUV,1600
pontiac montana,2005,None,good,6 cylinders,fwd,gas,None,152130,None,clean,automatic,None,1400
ford thunderbird,2002,None,excellent,8 cylinders,rwd,gas,blue,100000,mid-size,clean,automatic,convertible,11900
chevrolet 2500 silverado,2004,None,good,None,fwd,gas,blue,230000,None,clean,automatic,None,4800
Ford Fusion,2011,None,None,None,None,gas,None,11700,None,clean,automatic,None,6500
Ford F-250,2006,1FTSX21P86EB99838,excellent,None,4wd,diesel,grey,74500,None,clean,automatic,None,14900
jeep grand cherokee limited,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,5400
subaru,2018,None,None,None,None,other,None,None,None,clean,other,None,1100
2016 GMC Sierra,2016,None,None,None,None,gas,None,30391,None,lien,automatic,None,36000
buick regal ls,2000,None,fair,6 cylinders,fwd,gas,custom,None,mid-size,clean,automatic,sedan,600
pontiac g6 4 door,2005,None,fair,None,None,gas,black,None,None,salvage,automatic,None,650
Ford fusion,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1400
Jeep Grand Cherokee,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1300
chevy silverado 2500hd,2004,None,None,None,None,diesel,None,345000,None,clean,automatic,None,4999
Dodge stealth,1992,None,None,None,None,gas,None,None,None,clean,automatic,None,1100
Dodge Charger,1972,None,good,8 cylinders,rwd,gas,red,None,full-size,clean,automatic,coupe,18000
ford f350,2011,None,excellent,8 cylinders,4wd,diesel,grey,104000,full-size,clean,automatic,truck,30000
Chevrolet 2500HD,2011,None,excellent,8 cylinders,4wd,gas,None,79200,None,clean,automatic,None,29000
dodge ram 1500 4x4,2003,None,good,8 cylinders,4wd,gas,None,144000,None,lien,automatic,None,7350
ford taurus,2007,None,excellent,6 cylinders,fwd,gas,None,130000,None,clean,automatic,None,3000
Chevrolet 1500 Sivlerado,1998,None,good,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,truck,1000
Buick Enclave,2014,None,excellent,6 cylinders,fwd,gas,white,53000,full-size,lien,automatic,SUV,20900
subaru outback,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,8750
pontiac montana,2005,None,good,6 cylinders,fwd,gas,silver,176752,mid-size,clean,automatic,mini-van,1850
SILVERADO,2000,None,good,None,None,gas,None,None,None,clean,automatic,None,1000
IH metro truck,1955,None,None,None,None,gas,None,None,None,clean,manual,None,7500
dodge ram 2500 laramie,2001,None,None,None,4wd,diesel,None,136000,None,clean,automatic,None,9999
ford edge limited,2014,None,excellent,None,4wd,gas,None,None,None,clean,automatic,None,22500
Mazda MPV,2005,None,excellent,6 cylinders,None,gas,grey,None,mid-size,clean,automatic,van,2650
lincoln mkz,2012,None,excellent,None,4wd,gas,None,None,None,clean,automatic,sedan,10500
dodge ram 1500,2001,None,excellent,None,4wd,gas,None,None,None,clean,automatic,truck,1021
dodge ram 1500 4x4,2000,None,good,8 cylinders,4wd,gas,silver,None,None,clean,automatic,None,3600
chevy blazer,2001,None,good,6 cylinders,4wd,gas,grey,197200,mid-size,clean,automatic,SUV,1750
plymouth,1966,None,good,8 cylinders,rwd,gas,yellow,None,full-size,clean,automatic,convertible,4500
4x4 Michigan loader,1977,None,good,6 cylinders,4wd,gas,yellow,1234,mid-size,clean,automatic,offroad,8000
ford f250 super duty,2005,None,good,8 cylinders,4wd,gas,white,150000,full-size,clean,automatic,pickup,4000
GMC 3500,1994,None,None,None,None,gas,None,None,None,clean,automatic,None,4300
jeep cj7,1977,None,None,None,None,gas,grey,None,None,clean,automatic,offroad,18500
ford taurus,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,500
dodge ram 2500 cummins,2014,None,like new,None,4wd,diesel,brown,76000,full-size,clean,automatic,pickup,42000
Ford f350,2000,None,None,None,None,diesel,custom,None,mid-size,clean,automatic,None,27500
ford f-150,2000,None,fair,6 cylinders,rwd,gas,green,211000,full-size,clean,automatic,truck,1000
chevy monte carlo,2004,None,good,6 cylinders,fwd,gas,black,185000,mid-size,clean,automatic,coupe,1350
jeep wrangler sport,2012,1c4ajwag1cl182052,like new,6 cylinders,4wd,gas,black,87397,compact,clean,manual,SUV,18500
gmc sierra,2012,None,excellent,8 cylinders,None,gas,None,77000,None,rebuilt,automatic,None,21500
Chrysler Crossfire Coupe,2004,None,excellent,6 cylinders,rwd,gas,black,128000,compact,clean,manual,coupe,6550
ford f350 lariat crew cab,1999,None,good,8 cylinders,4wd,diesel,None,None,None,clean,automatic,None,5900
Nissan Altima 2.5 L 200hp,2003,None,excellent,6 cylinders,rwd,gas,white,None,full-size,clean,automatic,sedan,1000
Lincoln Mark IV,1973,None,excellent,None,None,gas,black,47000,full-size,clean,automatic,None,4500
kia rio,2007,None,good,4 cylinders,fwd,gas,blue,150000,compact,clean,manual,None,1500
Chevrolet Tracker,2000,2CNBJ13C7Y6930803,fair,4 cylinders,4wd,gas,red,188000,compact,clean,automatic,SUV,1500
George boy,1994,None,None,None,None,gas,None,None,None,clean,automatic,None,7000
ford f350 diesels powerstroke,2001,None,None,None,None,diesel,None,None,None,clean,automatic,None,6300
Pontiac,2003,None,good,None,None,gas,None,None,None,clean,automatic,None,1000
GMC,1998,1gkek13r4wj722241,good,8 cylinders,4wd,gas,red,None,full-size,clean,automatic,SUV,2370
Chevy Tracker,2001,None,good,6 cylinders,4wd,gas,grey,137000,mid-size,clean,automatic,SUV,2500
Lexus LS 430,2004,None,excellent,8 cylinders,fwd,gas,black,None,full-size,clean,automatic,sedan,2000
chevy cruze,2012,None,None,None,None,gas,None,88654,None,clean,automatic,None,6500
Ford F-150,2013,None,excellent,8 cylinders,4wd,gas,grey,64000,full-size,clean,automatic,pickup,19900
gmc envoy sle,2003,None,excellent,6 cylinders,4wd,gas,blue,163000,full-size,salvage,automatic,SUV,3800
NISSAN PATHFINDER,1995,None,excellent,6 cylinders,4wd,gas,green,173000,full-size,clean,automatic,SUV,2200
grand cherokee jeep,2010,None,good,8 cylinders,4wd,gas,red,150000,None,clean,automatic,None,9950
jeep liberty 4x4,2007,None,excellent,6 cylinders,4wd,gas,None,66000,None,clean,automatic,None,8950
Porsche Boxster,2001,None,None,None,None,gas,None,75000,None,clean,manual,None,7900
Hyundai Sonata,2008,None,None,None,None,gas,None,147000,None,clean,automatic,None,3600
Chevy Express G3500 Bluebird,2005,None,good,8 cylinders,rwd,gas,None,170,full-size,clean,automatic,bus,3300
dodge ram van,1996,None,excellent,None,None,gas,None,76000,None,clean,automatic,None,6000
Chevy Cruze,2012,None,excellent,4 cylinders,fwd,gas,red,60400,None,clean,automatic,None,9500
mercedes benz c230,2007,None,excellent,6 cylinders,rwd,gas,black,72000,None,clean,automatic,None,7500
Subaru WRX,2004,None,None,None,None,gas,None,None,None,clean,manual,None,4100
Chevy Silverado,2011,None,None,None,None,gas,None,51000,None,clean,automatic,None,18500
tacoma,2002,None,like new,6 cylinders,4wd,gas,red,None,full-size,clean,automatic,truck,1600
Honda Acura civic,2007,None,excellent,4 cylinders,fwd,gas,None,200047,None,clean,manual,None,3500
jeep cherokee,1996,None,fair,6 cylinders,4wd,gas,green,174000,None,clean,automatic,None,1150
F-350,2005,None,good,8 cylinders,rwd,diesel,white,106000,full-size,clean,automatic,truck,8500
pontiac grand am gt,2003,None,good,6 cylinders,fwd,gas,black,200000,full-size,clean,automatic,sedan,2000
one owner,2005,None,None,6 cylinders,4wd,gas,None,None,None,clean,automatic,sedan,1500
ford,2001,None,excellent,6 cylinders,rwd,gas,red,128000,mid-size,clean,automatic,pickup,3395
Ford F350,2002,None,excellent,8 cylinders,rwd,diesel,brown,70000,full-size,clean,automatic,truck,16000
chevrolet camaro,1993,None,None,None,None,gas,None,None,None,clean,automatic,None,700
Chevy Impala LTZ2,2014,2G1155S34E9153514,like new,6 cylinders,fwd,gas,red,27000,full-size,clean,automatic,sedan,22995
GMC CREW SLT 4X4,2006,2GTEK13Z36135553,excellent,8 cylinders,4wd,gas,black,131000,full-size,clean,automatic,truck,14900
Buick Enclave CXL AWD,2008,None,good,6 cylinders,4wd,gas,white,161500,mid-size,lien,automatic,SUV,6800
chevrolet corvette,1994,None,good,8 cylinders,rwd,gas,green,113000,full-size,clean,automatic,coupe,4995
honda accord se,2002,None,None,4 cylinders,fwd,gas,red,219512,mid-size,clean,automatic,sedan,1200
Ford Taurus,2004,None,None,6 cylinders,None,gas,None,None,None,clean,automatic,None,800
chrysler 300,2000,None,good,6 cylinders,fwd,gas,silver,None,full-size,clean,automatic,sedan,2000
Volvo Cross Country v70xc,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
Ford F-150,2004,None,None,8 cylinders,4wd,gas,white,None,None,clean,automatic,None,3500
chevy c1500,1995,None,fair,None,None,gas,green,173000,full-size,clean,automatic,pickup,900
Sand Shark,1968,None,None,None,None,gas,None,None,None,missing,manual,None,4700
