make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
gmc acadia slt-2,2012,None,like new,6 cylinders,4wd,gas,None,None,None,clean,automatic,None,10900
oldsmobile cutlass,1986,None,good,8 cylinders,rwd,gas,blue,52000,sub-compact,clean,automatic,coupe,2000
ford mustang,1975,None,new,None,None,gas,None,None,None,clean,manual,None,1
ford mustang,1968,None,None,4 cylinders,None,gas,black,None,None,clean,manual,None,1
ford mustang,1967,None,None,None,None,gas,None,63925,None,clean,automatic,None,19990
ford f-250,2001,None,good,8 cylinders,4wd,gas,None,None,None,clean,automatic,None,8000
chrysler town &amp; country,2005,None,fair,None,None,gas,None,135029,None,clean,automatic,mini-van,1000
Cheverolet Corvette,1998,None,excellent,8 cylinders,rwd,gas,silver,59475,None,clean,manual,None,15000
mg td,1951,None,excellent,4 cylinders,rwd,gas,black,None,None,clean,manual,None,15000
land rover range rover sport,2011,SALSH2E49BA273310,None,None,None,gas,None,68437,None,salvage,automatic,None,13500
Honda Cr-v,2008,None,None,None,None,gas,None,87000,None,clean,automatic,None,1550
Cadillac,1988,None,good,8 cylinders,rwd,gas,blue,74486,full-size,clean,automatic,other,10000
Chevy Colorado,2012,None,good,5 cylinders,rwd,gas,red,39000,mid-size,rebuilt,automatic,pickup,9700
Mercedes-Benz GL450 4matic,2007,4JGBF71E07A259422,like new,8 cylinders,4wd,gas,black,115,None,clean,automatic,sedan,12500
Volvo S40,2005,YV1MS382052070834,excellent,5 cylinders,None,gas,silver,98000,None,clean,automatic,sedan,5250
ford,1957,None,good,8 cylinders,rwd,gas,white,None,full-size,clean,automatic,None,8200
Toyota Corolla,2005,None,like new,4 cylinders,fwd,gas,brown,41000,compact,clean,automatic,sedan,5500
lexus es 300,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
dodge avenger,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,2100
subaru forester,1999,None,good,4 cylinders,None,gas,None,139700,None,clean,automatic,None,1800
dodge durango,2000,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,1500
Lexus is300,2003,jthbd192830068279,excellent,6 cylinders,rwd,gas,black,118000,None,clean,automatic,None,5800
Mercedes GL 450,2007,4JGBF71E97A207951,good,8 cylinders,4wd,gas,black,128000,full-size,rebuilt,automatic,SUV,7999
Scion Tc,2006,None,good,4 cylinders,fwd,gas,black,160000,mid-size,clean,manual,coupe,2650
chevrolet uplander,2007,None,good,None,None,gas,white,180,None,rebuilt,automatic,mini-van,1700
JEEP PATRIOT,2014,None,like new,4 cylinders,fwd,gas,None,40000,None,rebuilt,automatic,None,6999
Stickney,2002,None,good,8 cylinders,fwd,gas,None,152000,full-size,clean,automatic,sedan,4500
Nissan pathfinder,2007,None,good,6 cylinders,4wd,gas,None,129000,None,clean,automatic,None,5400
BMW M3,2003,WBSBL93423JR19489,None,6 cylinders,rwd,gas,red,149759,None,clean,manual,coupe,17250
chevy avalanche,2008,None,None,8 cylinders,None,gas,None,None,full-size,clean,automatic,truck,29000
buick lesabre 4dr sdn custom,1993,None,None,None,None,gas,None,82000,None,clean,automatic,None,1950
chevrolet 1500,2006,None,excellent,6 cylinders,rwd,gas,white,90000,full-size,clean,automatic,pickup,5500
