make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Nissan Altima.,2007,None,good,6 cylinders,fwd,gas,white,180000,mid-size,clean,automatic,sedan,4500
chevrolet ford dodge honda jeep,2018,None,None,None,None,gas,None,None,None,clean,automatic,None,100
toyota sienna,2006,None,excellent,6 cylinders,None,gas,white,None,full-size,clean,automatic,van,2080
nissan altima,1995,None,fair,4 cylinders,fwd,gas,brown,None,full-size,clean,automatic,sedan,500
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,11300
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,10850
Ford f250,2005,None,good,8 cylinders,4wd,diesel,red,201080,full-size,clean,automatic,None,11000
audi a8 l quattro,2004,None,good,8 cylinders,4wd,gas,blue,150000,full-size,clean,automatic,None,3800
Chrysler town country,2006,None,good,6 cylinders,fwd,gas,green,124000,full-size,rebuilt,automatic,None,1200
volkswagen beetle,2003,None,good,4 cylinders,fwd,gas,silver,160000,None,rebuilt,manual,coupe,1200
ford f250 super duty truck,2007,None,None,8 cylinders,4wd,gas,None,None,None,clean,automatic,truck,6100
ford focus,2013,None,excellent,4 cylinders,fwd,gas,silver,89000,compact,rebuilt,automatic,hatchback,5000
bmw 530xi,2007,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,7500
chevrolet equinox,2015,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,11900
Ford F-150 Platinum,2010,None,excellent,8 cylinders,4wd,gas,white,96000,full-size,clean,automatic,truck,19000
Chevy,1968,None,good,6 cylinders,rwd,gas,blue,250000,None,clean,automatic,None,10
bmw 328i,2000,None,good,6 cylinders,rwd,gas,silver,240000,mid-size,clean,automatic,None,2250
jaguar s-type,2004,None,good,6 cylinders,rwd,gas,silver,122450,full-size,clean,automatic,sedan,2700
buick lacrosse,2014,None,like new,6 cylinders,fwd,gas,None,29000,full-size,rebuilt,automatic,sedan,10500
BMW M3,2003,None,excellent,6 cylinders,None,gas,red,149759,None,clean,manual,None,17250
mercedes-benz s500,2005,None,excellent,8 cylinders,fwd,gas,grey,167000,full-size,clean,automatic,sedan,4500
ford taurus,2003,None,good,6 cylinders,fwd,gas,brown,50,mid-size,clean,automatic,sedan,1900
dodge sprinter cargo van,2004,None,None,None,None,diesel,None,None,None,clean,automatic,van,6500
grand marquis,1999,None,good,None,None,gas,blue,None,full-size,clean,automatic,sedan,1500
ford five hundred,2006,None,None,None,None,gas,None,110000,None,clean,automatic,None,1450
ford ranger,1997,None,good,6 cylinders,rwd,gas,green,None,mid-size,clean,automatic,pickup,625
ford fusion,2011,None,new,6 cylinders,fwd,gas,black,91000,mid-size,salvage,other,sedan,6500
chevy cobalt,2007,None,None,None,None,gas,None,141000,None,clean,automatic,None,2400
jeep liberty sport 4wd,2008,None,excellent,6 cylinders,4wd,gas,black,98000,None,clean,automatic,SUV,7099
jeep liberty 4x4,2008,None,excellent,6 cylinders,4wd,gas,black,98000,None,clean,automatic,SUV,7099
Nissan Murano,2012,None,None,6 cylinders,4wd,gas,None,76000,None,clean,automatic,SUV,15500
toyota sienna le,2008,5TDZK23C08S184612,good,6 cylinders,fwd,gas,silver,None,None,clean,automatic,mini-van,3600
BMW 645I CONVERTIBLE,2006,None,good,8 cylinders,None,gas,black,None,None,clean,automatic,None,13490
nissan maxima,2017,None,new,6 cylinders,fwd,gas,white,1000,mid-size,missing,automatic,sedan,12000
hyunday santa fe,2010,None,excellent,4 cylinders,fwd,gas,white,72500,compact,clean,automatic,SUV,9000
chevrolet 1500 silverado,1993,None,fair,8 cylinders,rwd,gas,green,305000,full-size,clean,automatic,pickup,1500
dodge journey,2009,None,good,6 cylinders,None,gas,None,89000,None,clean,automatic,SUV,6000
kia optima ex,2015,None,None,None,None,gas,None,30000,None,clean,automatic,None,15000
Honda,2002,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,900
dodge caravan sxt,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
Chevelle,1971,None,None,None,None,gas,None,None,None,clean,other,None,4500
Ford Fusion,2007,None,None,None,None,gas,None,172000,None,clean,automatic,None,3200
