make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
chevrolet 1500 silverado,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,10000
ford ranger,1997,None,good,6 cylinders,rwd,gas,green,None,mid-size,clean,automatic,pickup,625
Ford winstar,1998,2FMDA5149WBB89828,fair,6 cylinders,None,gas,blue,194639,full-size,clean,automatic,mini-van,1300
GMC ENVOY XL,2005,1GKET16S556207472,None,5 cylinders,4wd,gas,white,243000,None,clean,automatic,SUV,2000
chrysler 200,2015,None,excellent,4 cylinders,fwd,gas,white,10700,full-size,lien,automatic,sedan,13500
pontiac grand prix gt,2003,None,good,6 cylinders,fwd,gas,white,144000,None,clean,automatic,sedan,1700
Ford Fusion,2011,None,None,None,None,gas,None,11700,None,clean,automatic,None,6500
Chevrolet Silverado,2014,None,like new,8 cylinders,4wd,gas,black,107000,full-size,lien,automatic,truck,28000
gmc 1500 sierra,2012,1gtr2ve71cz152549,good,8 cylinders,4wd,gas,grey,92000,full-size,lien,automatic,truck,18500
Ford,1976,None,None,None,None,gas,None,None,None,clean,manual,None,1750
cadillac coupe de ville,1982,None,None,None,None,gas,None,None,None,clean,automatic,None,2800
ford mustang,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
Volvo s80,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,600
Chevy camaro,1985,None,None,6 cylinders,rwd,gas,red,71000,None,clean,automatic,None,1000
GMC 1500 Sierra,2016,None,None,None,None,gas,None,30391,None,lien,automatic,None,36000
Chevrolet Bel Air,1957,None,None,8 cylinders,None,gas,black,None,None,clean,automatic,convertible,41985
Chevy Malibu,2000,None,None,None,None,gas,None,114000,None,clean,automatic,None,1700
Cooker,2017,None,None,None,None,other,None,None,None,clean,other,None,3000
gmc yukon denali,2000,None,good,8 cylinders,4wd,gas,brown,234527,full-size,clean,automatic,wagon,2800
pontiac g6,2005,None,None,6 cylinders,None,gas,black,164000,mid-size,clean,automatic,None,400
chevrolet malibu,2014,None,like new,None,fwd,gas,red,None,None,rebuilt,automatic,None,13000
SAAB 97-X V8,2005,None,None,None,None,gas,None,138000,None,clean,automatic,None,4900
pontiac g6,2006,None,good,None,None,gas,red,165000,None,salvage,other,None,1000
GMC CANYON,2007,None,excellent,4 cylinders,None,gas,None,90500,None,clean,automatic,pickup,5400
volvo s40,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
mercury sable ls,2002,None,good,6 cylinders,fwd,gas,None,70000,None,clean,automatic,None,2500
Ford fairlane 500,1967,Ford 123456,None,8 cylinders,rwd,gas,None,None,None,clean,manual,None,6500
chevrolet 1500 silverado,2011,None,excellent,8 cylinders,4wd,gas,grey,None,full-size,lien,automatic,truck,18500
Ford fairlane 500,1967,Ford 123456,None,8 cylinders,rwd,gas,None,None,None,clean,manual,None,6500
Pontiac grand prix gt,2002,None,good,6 cylinders,fwd,gas,black,208000,mid-size,clean,automatic,sedan,2000
chevy suburban 1500,2002,upon request,good,8 cylinders,4wd,gas,black,300000,full-size,clean,automatic,SUV,2400
gmc sierra,2013,1GTR2VE70DZ335457,None,None,None,gas,None,43000,None,clean,automatic,None,23000
Pontiac Vibe,2008,None,good,4 cylinders,None,gas,red,126000,None,clean,automatic,hatchback,4900
Ford escape,2005,None,good,6 cylinders,4wd,gas,silver,None,None,clean,automatic,SUV,4095
Jeep Patriot,2009,None,good,4 cylinders,fwd,gas,black,None,compact,clean,automatic,SUV,3800
chevy belair,1955,None,salvage,other,None,gas,None,None,None,missing,manual,None,1
vw passat,2004,None,None,None,None,diesel,None,None,None,clean,automatic,None,3500
Honda Accord,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
ford f-150,2006,None,good,8 cylinders,4wd,gas,white,212720,full-size,clean,automatic,truck,9500
dodge charger,2016,2C3CDXJG0GH293883,like new,6 cylinders,4wd,gas,grey,6000,full-size,clean,automatic,sedan,29000
vw jetta,2015,None,None,None,None,gas,None,36000,None,clean,automatic,None,10900
Ram Promaster 3500,2015,None,None,None,None,diesel,None,62000,None,rebuilt,automatic,None,19900
Corsair Deluxe,1953,None,None,None,None,gas,None,None,None,clean,automatic,None,35000
Freightliner,2005,1FVACWDC35HU55473,good,None,None,diesel,white,None,None,clean,manual,van,8000
ford f-250,1997,None,fair,8 cylinders,4wd,diesel,None,292214,full-size,lien,automatic,pickup,2250
dodge charger r/t,2007,None,good,8 cylinders,rwd,gas,black,None,None,clean,other,None,4000
Honda Accord,2011,None,None,None,None,gas,silver,198000,None,clean,automatic,sedan,6800
Chevy Silverado,2000,None,excellent,None,None,gas,None,None,None,clean,automatic,truck,1000
dodge ram 2500,2001,None,good,6 cylinders,4wd,diesel,silver,197230,full-size,clean,automatic,pickup,6700
Cadillac deville dhs,2004,None,like new,8 cylinders,fwd,gas,white,50000,None,clean,automatic,None,6500
