make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford mustang,2004,None,None,None,None,gas,None,53202,None,clean,automatic,None,9000
chevrolet s-10,1998,None,good,4 cylinders,rwd,gas,silver,None,mid-size,clean,manual,None,2600
nissan altima 2.5,2006,None,excellent,4 cylinders,fwd,gas,silver,98000,mid-size,clean,automatic,sedan,1499
ford f250 truck,2007,None,None,8 cylinders,4wd,gas,None,None,None,clean,automatic,truck,6100
mercury milan,2007,None,good,6 cylinders,fwd,gas,None,179000,None,salvage,automatic,sedan,1
camper shell,1994,None,None,None,None,other,None,None,None,missing,other,None,600
chevy tahoe lt,2001,None,good,8 cylinders,4wd,gas,None,204000,None,clean,automatic,SUV,3000
chrysler pacifica,2007,None,None,None,None,gas,None,142000,None,clean,automatic,None,1
dodge sprinter van,2005,None,None,5 cylinders,None,diesel,None,None,None,clean,automatic,van,6500
JEEP PATRIOT,2009,None,good,None,None,gas,None,None,None,clean,automatic,None,4575
SATURN VUE,2007,None,good,6 cylinders,4wd,gas,None,None,None,clean,automatic,None,2900
FORD flex,2009,None,good,None,None,gas,None,None,None,clean,automatic,None,4890
jeep liberty 4wd 4dr sport,2008,None,excellent,6 cylinders,4wd,gas,black,98000,None,clean,automatic,SUV,7099
Grand Cherokee,2000,None,fair,6 cylinders,4wd,gas,blue,175000,None,clean,automatic,SUV,2500
jeep wrangler,2005,None,good,6 cylinders,4wd,gas,green,162000,None,clean,manual,None,10000
FORD EXPLOER,2003,None,good,6 cylinders,4wd,gas,None,None,None,clean,automatic,None,2675
vw passat glx,2003,None,excellent,None,None,gas,None,None,None,clean,manual,None,2375
DODGE CARAVAN,2006,None,good,None,None,gas,None,None,None,clean,automatic,None,1475
HONDA ACCORD,2003,None,good,4 cylinders,None,gas,None,None,None,clean,automatic,None,2577
chevrolet trail blazer,2005,None,good,None,None,gas,None,None,None,clean,automatic,None,2590
DODGE DAKOTA,1993,None,good,None,None,gas,None,None,None,clean,automatic,None,1175
MERCURY MILAN,2007,None,good,None,None,gas,None,None,None,clean,automatic,None,1699
chrysler pacifica,2004,None,good,None,None,gas,None,None,None,clean,automatic,None,1975
Chevy Impala,2001,None,good,6 cylinders,fwd,gas,grey,None,mid-size,clean,automatic,coupe,1300
toyota camry,1999,None,good,4 cylinders,fwd,gas,brown,174000,mid-size,clean,automatic,sedan,1600
dodge dakota,1988,None,None,6 cylinders,4wd,gas,None,None,None,clean,automatic,None,1500
Honda Pilot EX-L 4wd,2006,None,good,6 cylinders,fwd,gas,None,185000,full-size,clean,automatic,SUV,5700
ford f350 diesel,2004,None,good,8 cylinders,4wd,diesel,white,108000,full-size,clean,automatic,truck,14000
ford f250,2002,None,good,8 cylinders,4wd,diesel,None,203400,None,clean,automatic,None,7000
chyrlser 300,2006,None,None,None,4wd,diesel,blue,None,compact,clean,automatic,None,3600
Pontiac Grand AM,2003,None,fair,6 cylinders,fwd,gas,silver,173500,None,clean,automatic,sedan,1000
Dodge Charger sxt,2007,None,excellent,6 cylinders,rwd,gas,black,118700,full-size,clean,automatic,sedan,4000
Gmc topkick,1994,None,good,None,rwd,diesel,None,170,None,clean,automatic,None,7500
volkswagen gti,2008,None,fair,4 cylinders,fwd,gas,grey,148000,compact,clean,automatic,hatchback,4000
chevrolet cobalt lt,2010,None,good,None,None,gas,None,None,None,parts only,automatic,sedan,650
Iong van full size,1967,None,good,8 cylinders,rwd,gas,white,None,full-size,clean,manual,van,5000
Mercedes Benz,1999,None,like new,8 cylinders,rwd,gas,red,25000,None,clean,automatic,convertible,19500
2007 Pontiac G6 GT,2007,1G2ZH58N274237674,good,6 cylinders,fwd,gas,silver,194000,mid-size,clean,automatic,sedan,3450
ford f350,2000,None,good,None,None,gas,None,None,None,clean,automatic,None,6800
Jeep Liberty,2012,None,good,6 cylinders,4wd,gas,black,115000,None,clean,automatic,SUV,11999
Chevrolet truck,1979,None,good,None,4wd,gas,None,65000,full-size,clean,automatic,pickup,3500
Toyota Camry Le,2008,None,None,4 cylinders,fwd,gas,None,213000,None,clean,automatic,None,4450
chevrolet camaro,1993,None,None,8 cylinders,rwd,gas,black,127000,None,clean,automatic,coupe,2200
Audi a8l,2001,None,good,8 cylinders,4wd,gas,blue,221000,None,clean,automatic,coupe,850
honda civic,1997,None,fair,None,None,gas,black,234000,None,clean,automatic,None,800
chevrolet silverado 2500hd,2004,None,good,8 cylinders,4wd,diesel,blue,200000,None,clean,automatic,truck,12500
Volkswagen Passat,2009,None,good,4 cylinders,None,gas,None,109843,None,clean,automatic,None,5500
Chevy Avalanche,2002,None,good,8 cylinders,4wd,gas,black,221000,None,clean,automatic,truck,3700
cadillac deville,2007,None,None,None,None,gas,None,None,None,clean,manual,None,2500
Ford F150,2013,None,None,6 cylinders,4wd,gas,white,165000,None,clean,automatic,pickup,13500
Honda civic,2003,None,None,None,fwd,gas,None,84000,None,clean,automatic,None,3600
ford explorer xlt,2005,None,excellent,8 cylinders,4wd,gas,grey,120000,mid-size,clean,manual,None,1000
lexus rx 300,2000,None,None,None,None,gas,None,204000,None,clean,automatic,None,2500
dodge grand caravan,2000,None,like new,6 cylinders,fwd,gas,silver,84000,None,clean,automatic,None,3300
Olds silhouette,1997,None,good,None,fwd,gas,None,117,None,clean,automatic,None,1800
Corvette,2018,None,None,None,None,gas,None,None,None,clean,manual,None,500
chevrolet equinox,2011,None,excellent,None,None,gas,None,None,None,clean,automatic,None,9500
jeep commander,2006,None,excellent,8 cylinders,fwd,gas,None,200000,full-size,clean,automatic,SUV,4100
ford escape,2011,None,excellent,6 cylinders,fwd,gas,None,None,None,rebuilt,automatic,None,6700
nissan 300zx 2+2,1990,None,good,6 cylinders,rwd,gas,black,117000,None,clean,manual,hatchback,5500
dodge ram 1500,1999,None,None,None,None,gas,None,190000,None,clean,automatic,None,950
Toyota RAV4 SUV,1998,None,None,None,None,gas,black,None,None,clean,automatic,None,2960
dodge ram 1500 slt,2003,None,good,8 cylinders,4wd,gas,None,165000,None,clean,automatic,pickup,5000
Volkswagen Jetta,1986,None,good,4 cylinders,fwd,gas,grey,110000,compact,clean,manual,sedan,1100
Nissan Altima 2.5S,2015,None,good,4 cylinders,fwd,gas,black,87000,mid-size,clean,automatic,sedan,10900
ford escape,2008,None,good,6 cylinders,4wd,gas,black,110000,None,clean,automatic,None,7600
chevrolet malibu,2003,None,salvage,6 cylinders,fwd,gas,black,129000,compact,salvage,automatic,sedan,500
chrysler town & country,2007,None,None,6 cylinders,fwd,gas,black,150500,None,clean,automatic,mini-van,4000
chevrolet suburban,2007,None,excellent,8 cylinders,4wd,gas,None,214525,None,clean,automatic,SUV,8500
Chevrolet silverado,2004,None,None,8 cylinders,4wd,gas,black,206000,None,clean,automatic,None,5500
Plow,1990,None,None,None,None,other,None,None,None,clean,other,None,200
