make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Oldsmobile,1985,None,excellent,None,None,gas,None,None,None,clean,automatic,None,5100
Ford F150,1994,None,None,None,None,gas,None,None,None,clean,automatic,None,2600
chev uplander,2008,None,good,6 cylinders,None,gas,None,150000,None,clean,automatic,None,2600
Pontiac Grand Prix,2004,None,good,None,None,gas,silver,196000,None,clean,automatic,None,1900
nissan quest,2006,None,good,6 cylinders,fwd,gas,black,110000,full-size,clean,automatic,mini-van,1000
TOYOTA,2006,None,None,None,None,gas,white,None,None,clean,automatic,sedan,2027
Toyota Camry,1993,None,fair,4 cylinders,fwd,gas,white,161000,mid-size,clean,automatic,sedan,1200
Hyundai Sonata limited,2011,None,None,4 cylinders,fwd,gas,None,146000,None,clean,automatic,None,6750
mazda 626,1994,None,None,None,None,gas,None,None,None,parts only,automatic,None,175
gmc envoy xl,2002,None,None,None,None,other,None,None,None,clean,automatic,SUV,35
Chevy Cavalier,2000,None,fair,4 cylinders,fwd,gas,green,180000,compact,clean,automatic,other,600
Limited AWD MSRP,2015,None,excellent,None,None,gas,None,None,None,clean,automatic,None,20511
volvo 780,2007,None,good,None,None,diesel,blue,1200000,None,clean,manual,None,22000
chevy silverado,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
Ford Pickup,1978,None,good,None,None,gas,None,191430,None,clean,manual,None,3000
ACURA TL EFKJE,2005,None,like new,6 cylinders,fwd,gas,white,None,full-size,clean,automatic,None,1031
dodge grand caravan,2013,None,None,None,None,gas,blue,None,None,clean,automatic,None,20000
toyota 4runner,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,3100
chevy Bel Air,1954,None,fair,6 cylinders,rwd,gas,green,None,full-size,clean,automatic,sedan,4900
Ford F 150 extended,1998,None,fair,8 cylinders,None,gas,green,165200,full-size,clean,automatic,pickup,1590
Chevy Suburban K2500,1993,None,good,8 cylinders,4wd,gas,blue,156070,full-size,clean,automatic,SUV,2500
honda civic ex,2003,None,excellent,4 cylinders,fwd,gas,white,146000,compact,clean,manual,sedan,4100
"Cgevt, Tracker",1998,None,like new,4 cylinders,4wd,gas,blue,None,sub-compact,clean,manual,None,4500
chevy traverse,2010,None,None,None,None,gas,None,None,None,lien,automatic,None,10300
Gmc,1987,None,None,None,None,gas,None,None,None,clean,automatic,None,7000
Jeep Wrangler,2001,None,excellent,6 cylinders,4wd,gas,red,131500,None,rebuilt,automatic,SUV,8800
Dodge Grand Caravan,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,13750
1991 Chevy Caprice wagon,1991,1G1BL83EOMW250009,good,8 cylinders,rwd,gas,blue,72000,full-size,clean,automatic,wagon,3500
ford escape,2003,1FMYU93113KD39533,good,6 cylinders,4wd,gas,brown,90000,compact,clean,automatic,SUV,3500
kia spectra,2008,None,good,4 cylinders,fwd,gas,red,162000,None,clean,automatic,None,2700
HONDA ACCORD 4 DOOR,2013,MAY TRADE !!!!,excellent,4 cylinders,fwd,gas,silver,53000,mid-size,clean,automatic,sedan,14000
Bmw 530i,2002,None,excellent,6 cylinders,rwd,gas,grey,160,full-size,clean,other,None,4500
buick lesabre,2002,None,good,6 cylinders,fwd,gas,silver,144000,full-size,clean,automatic,sedan,1800
Subaru Impreza sport,2014,None,excellent,4 cylinders,4wd,gas,red,72000,None,clean,automatic,None,14000
ford f150,2000,None,fair,6 cylinders,rwd,gas,white,180000,full-size,clean,automatic,pickup,2000
chevy silverado,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
volkswagen jetta,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
Chevy Trailblazer LS 4WD,2004,None,good,6 cylinders,4wd,gas,green,216100,None,clean,automatic,SUV,3000
Lincoln,1996,None,good,8 cylinders,None,gas,white,108000,None,clean,automatic,coupe,3600
Toyota Highlander Limited,2008,JTEES42A982072761,like new,6 cylinders,4wd,gas,black,174635,full-size,clean,automatic,SUV,9500
yukon,2003,None,good,8 cylinders,4wd,gas,None,202000,full-size,clean,automatic,SUV,3500
Silverado,2000,None,None,8 cylinders,4wd,gas,None,None,None,clean,automatic,None,1000
chevrolet silverado 3500,2009,None,excellent,8 cylinders,4wd,diesel,white,239000,None,clean,automatic,None,18500
ford mustang convertible gt,1995,None,good,8 cylinders,None,gas,None,None,None,clean,automatic,None,3900
Corvette,1999,None,excellent,8 cylinders,rwd,gas,red,None,None,clean,automatic,None,11400
buick rendevous,2002,None,good,4 cylinders,fwd,gas,blue,267000,None,clean,automatic,None,1200
hyundai elantra gls,2005,None,None,None,None,gas,None,None,None,clean,manual,hatchback,2900
ford windstar,2003,Xxx,good,6 cylinders,fwd,gas,black,None,mid-size,clean,automatic,mini-van,1295
toyota sienna xle,2004,None,fair,None,fwd,gas,white,232522,mid-size,clean,manual,mini-van,3000
dodge ram 2500 laramie,2008,None,like new,6 cylinders,4wd,diesel,red,35000,full-size,lien,automatic,truck,38000
ford fusion,2006,None,excellent,6 cylinders,fwd,gas,None,114000,None,clean,automatic,None,4450
pontiac grand prix,2003,None,fair,None,fwd,gas,None,161000,None,clean,automatic,None,1
Jeep Wrangler,2002,None,fair,6 cylinders,4wd,gas,black,200500,None,clean,automatic,None,5200
audi a4 2.0t quattro premium,2006,WAUDF78E96A198070,excellent,4 cylinders,4wd,gas,black,153000,mid-size,clean,automatic,sedan,6000
jeep wrangler sport,2012,1c4ajwag1cl182052,like new,6 cylinders,4wd,gas,black,87397,compact,clean,manual,SUV,18500
Ford,2007,None,None,None,None,gas,None,226000,None,clean,automatic,None,3500
honda crv,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,4900
Ford Fusion,2011,None,good,4 cylinders,None,gas,blue,180000,None,clean,automatic,None,4000
Volkswagen Jetta,2006,None,good,5 cylinders,fwd,gas,blue,125500,mid-size,clean,automatic,sedan,4999
accord sedan honda,2004,None,fair,4 cylinders,fwd,gas,grey,None,mid-size,clean,automatic,None,1450
Toyota Camry LE,2008,None,None,4 cylinders,fwd,gas,None,213000,None,clean,automatic,None,4450
Buick Enclave,2012,None,excellent,6 cylinders,4wd,gas,silver,96000,None,clean,automatic,None,14999
chevy express 3500,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
mitsubishi eclipse rs,2000,None,good,None,None,gas,None,93315,None,clean,manual,None,2700
Ford E350 SuperDuty,1996,None,good,None,None,gas,white,None,None,clean,automatic,bus,8000
ford fusion sel,2008,None,good,6 cylinders,fwd,gas,black,182000,None,clean,automatic,sedan,4250
2000 Chevy,2000,None,fair,None,None,gas,None,170000,None,clean,automatic,None,1100
Chevrolet S 10,2000,None,good,4 cylinders,None,gas,silver,113000,None,clean,automatic,truck,2000
oldsmobile cutlass calais,1981,None,None,None,None,gas,silver,None,full-size,clean,automatic,None,5980
oldsmobile cutlass calais,1981,None,None,None,None,gas,silver,None,full-size,clean,automatic,None,5980
pontiac grand prix gt,2004,None,None,None,None,gas,None,114000,None,clean,automatic,None,5400
chevy elcamino,1985,None,None,None,None,gas,None,106500,None,clean,automatic,None,5800
bmw 530xi,2007,None,None,None,None,gas,None,132605,None,clean,automatic,None,7680
chrysler pacifica,2006,2a8gf68496r798819,good,6 cylinders,fwd,gas,silver,218000,mid-size,clean,automatic,None,2499
