make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Lexus SC430,2010,JTHFN2EY3A9021880,like new,8 cylinders,rwd,gas,black,25200,None,rebuilt,automatic,convertible,24950
jaguar xk8 convertible,1999,None,good,8 cylinders,rwd,gas,None,121000,None,clean,automatic,convertible,2200
Toyota Tacoma,2000,4TAWN74N5YZ617486,fair,6 cylinders,4wd,gas,black,183000,mid-size,clean,automatic,pickup,4000
mitsubishi mirage,1997,None,None,None,None,gas,None,200047,None,clean,automatic,None,1600
mini cooper,2009,None,like new,6 cylinders,rwd,gas,brown,70000,full-size,clean,manual,wagon,6000
chevy blazer,1998,None,fair,6 cylinders,4wd,gas,None,128000,None,clean,automatic,SUV,1000
Honda Civic LX Sedan,2007,upon request,excellent,4 cylinders,fwd,gas,white,180,mid-size,clean,automatic,sedan,3800
nissan sentra 2.0 sl,2007,upon request,like new,4 cylinders,fwd,gas,red,130,mid-size,clean,automatic,sedan,3900
Ford Edge SEL,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,8900
dodge ram 1500,1995,None,fair,8 cylinders,rwd,gas,green,240461,None,clean,automatic,pickup,2000
bmw 328i,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
dodge grand caravan,1999,2B4GP2433XR295974,None,None,None,gas,None,150000,None,clean,automatic,None,870
chevrolet impala,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
sedan,1999,None,excellent,8 cylinders,fwd,gas,silver,None,None,clean,automatic,sedan,1200
buick rendezvous,2006,3G5DB03L66S652745,excellent,None,None,gas,None,179000,None,clean,automatic,None,2600
Ford Mustang GT Convertible,1998,None,excellent,8 cylinders,None,gas,black,None,None,clean,automatic,None,5400
ford ranger,1994,None,fair,6 cylinders,rwd,gas,green,None,mid-size,clean,manual,truck,3000
Internacional,1999,None,good,None,None,diesel,white,None,None,clean,manual,None,15000
nissan altima 2.5 s,2007,None,None,None,None,gas,None,140000,None,clean,manual,None,3888
toyota 4runner,2012,None,excellent,6 cylinders,4wd,gas,None,118564,None,clean,automatic,None,22500
toyota tacoma,2002,None,excellent,4 cylinders,rwd,gas,None,212140,None,clean,automatic,None,4800
chevrolet cruze,2013,None,excellent,4 cylinders,None,gas,None,113425,None,clean,automatic,None,6800
toyota rav4,2008,None,excellent,4 cylinders,4wd,gas,None,146475,None,clean,automatic,None,7500
mercedes-benz ML 320 CDI,2008,None,excellent,6 cylinders,4wd,diesel,None,167362,None,clean,automatic,None,9900
any,1994,None,None,None,None,other,None,None,None,clean,other,None,1500
dodge grand caravan,1999,2B4GP2433XR295974,None,None,None,gas,None,150000,None,clean,automatic,None,870
For delux,1941,None,good,8 cylinders,rwd,gas,blue,8700,full-size,clean,manual,coupe,15000
chevrolet cobalt se,2008,None,good,4 cylinders,fwd,gas,black,125000,None,clean,manual,coupe,2500
toyota camry le,2001,None,good,6 cylinders,None,gas,white,220000,None,clean,automatic,other,1000
jaguar x-type 2.5,2002,None,None,None,None,gas,None,161000,None,clean,automatic,None,2300
Nissan,2007,None,excellent,6 cylinders,4wd,gas,silver,180150,mid-size,clean,automatic,SUV,5000
Chevrolet  silverado,2015,None,like new,other,4wd,diesel,white,8000,full-size,clean,automatic,pickup,53000
Mercedes E320,1998,None,salvage,8 cylinders,fwd,gas,custom,None,full-size,parts only,automatic,sedan,1100
ford taurus,2011,1FAHP2EW9BG131046,like new,6 cylinders,fwd,gas,silver,28500,full-size,rebuilt,automatic,sedan,9800
ford f-150,2015,1FTEW1EG4FFB41787,excellent,6 cylinders,4wd,gas,silver,37000,full-size,clean,automatic,truck,31990
honda civic lx,2011,None,excellent,None,None,gas,None,154000,None,clean,automatic,None,5100
Toyota Tundra,2005,On request!,excellent,8 cylinders,fwd,gas,None,185564,None,clean,automatic,None,7500
Land Rover LR2,2009,SALFT24NX9H130880,excellent,6 cylinders,None,gas,None,120200,None,clean,automatic,SUV,9000
buick rendezvous,2006,3G5DB03L66S652745,excellent,None,None,gas,None,179000,None,clean,automatic,None,2600
honda civic hatchback,1992,None,good,4 cylinders,fwd,gas,black,120000,compact,clean,manual,None,4200
