make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford f-250,2002,None,None,None,None,diesel,None,None,None,clean,automatic,None,9999
Chevy C10,1963,3C144A129211,excellent,8 cylinders,rwd,gas,None,3400,full-size,clean,automatic,None,24900
Lexus RX300 4x4,2000,None,None,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,1650
Chevrolet Silverado 3500,1988,None,None,None,None,gas,None,None,None,clean,manual,None,2495
Ford F-150,2002,None,good,8 cylinders,4wd,gas,red,175960,None,clean,automatic,truck,4900
dodge ram 1500 4x4,1996,None,None,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,truck,1000
buick terraza cxl,2008,None,like new,6 cylinders,None,gas,None,None,None,clean,automatic,None,2000
oldsmobile alero,2003,None,fair,4 cylinders,fwd,gas,red,170000,sub-compact,clean,automatic,sedan,500
Saturn Aura,2008,None,excellent,6 cylinders,None,gas,None,194000,None,clean,automatic,None,2000
saturn ion,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,500
Hyundai Elantra,2008,None,None,4 cylinders,fwd,gas,None,162000,None,clean,automatic,None,2950
oil changes,2012,None,excellent,4 cylinders,fwd,gas,silver,None,compact,clean,automatic,sedan,3065
Honda Accord,1993,None,fair,4 cylinders,fwd,gas,red,186000,None,clean,manual,None,500
chevy uplander,2008,None,good,None,None,gas,None,150000,None,clean,automatic,None,2600
( CHRYSLER),1941,None,good,6 cylinders,rwd,gas,grey,None,full-size,clean,manual,sedan,12500
( Chrysler,1938,None,fair,6 cylinders,rwd,gas,grey,None,full-size,rebuilt,manual,sedan,12500
( 1936 ),1936,None,fair,6 cylinders,rwd,gas,yellow,None,full-size,clean,manual,sedan,14500
FORD,1999,None,fair,None,None,diesel,None,None,None,clean,automatic,truck,5000
chevy avalanche,2002,None,fair,8 cylinders,4wd,gas,None,None,None,clean,automatic,None,3800
chrysler 300,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
Buick Regal,2012,None,excellent,4 cylinders,fwd,gas,white,96500,mid-size,lien,automatic,sedan,10500
jeep cherokee,2005,None,None,None,None,gas,None,None,None,clean,automatic,SUV,1055
chevrolet impala ls,2005,None,excellent,6 cylinders,fwd,gas,red,193700,None,clean,automatic,sedan,3400
dodge durango,2002,None,salvage,8 cylinders,4wd,gas,blue,249000,None,clean,automatic,SUV,500
dodge grand caravan se,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
cadillac escalade esv,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,8900
chevrolet impala,2004,None,None,None,None,gas,None,180000,None,clean,automatic,None,1950
honda accord lx,2008,None,excellent,4 cylinders,fwd,gas,red,88900,mid-size,clean,automatic,sedan,7900
Buick Roadmaster,1995,None,good,8 cylinders,rwd,gas,white,190000,full-size,clean,automatic,None,2000
Volvo S80 T6,2002,None,None,6 cylinders,fwd,gas,None,193000,None,clean,automatic,None,2000
dodge charger r/t,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
ford f-250 super duty,2002,None,like new,8 cylinders,4wd,diesel,grey,188000,full-size,clean,automatic,truck,16500
BMW 325e,1985,None,excellent,6 cylinders,rwd,gas,None,130000,None,clean,automatic,coupe,4000
buick lacrosse cx,2007,None,excellent,6 cylinders,fwd,gas,silver,55000,full-size,clean,automatic,sedan,5900
vw beetle,2003,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2575
HONDA PILOT EX,2004,None,good,None,None,gas,None,None,None,clean,automatic,None,2990
dodge dakota,2007,None,excellent,6 cylinders,4wd,gas,silver,159000,mid-size,clean,automatic,None,6500
DODGE RAM 4DR,2004,None,good,6 cylinders,4wd,gas,None,None,compact,clean,automatic,None,3100
ford flex,2009,None,good,None,4wd,gas,None,None,None,clean,automatic,None,4790
Jeep Wrangler,1997,1J4FY29PXVP545159,good,4 cylinders,4wd,gas,white,None,None,clean,manual,None,2500
ford f-150,2007,None,good,8 cylinders,4wd,gas,black,170000,full-size,clean,automatic,truck,8500
chevrolet silverado,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,5650
ford mustang,1994,None,excellent,None,rwd,gas,white,125,None,clean,automatic,None,2450
Ford mustang,2004,None,like new,8 cylinders,rwd,gas,yellow,145,None,clean,automatic,convertible,5750
Chevy Malibu ls,2010,None,None,4 cylinders,fwd,gas,None,238000,None,clean,automatic,None,2950
dodge caravan,2008,None,excellent,6 cylinders,fwd,gas,silver,None,None,clean,automatic,None,4250
ford mustang,1994,None,excellent,None,rwd,gas,white,125,None,clean,automatic,None,2450
Ford mustang,2004,None,like new,8 cylinders,rwd,gas,yellow,145,None,clean,automatic,convertible,5750
Ford Explorer Limited,2000,1FMZU5E5YZB77848,excellent,6 cylinders,4wd,gas,grey,110903,mid-size,clean,automatic,SUV,3000
Mazda rx8,2005,None,None,None,fwd,gas,None,137000,None,clean,automatic,None,2500
Pontiac Grand Prix,2005,None,None,6 cylinders,fwd,gas,None,213000,None,clean,automatic,None,1800
cadillac eldorado,1985,None,None,8 cylinders,fwd,gas,custom,90000,None,clean,automatic,coupe,4500
Toyota Sienna LE,2009,Upon request,excellent,6 cylinders,fwd,gas,blue,104000,full-size,clean,automatic,van,9000
toyota avalon,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
Hummer H2,2005,None,None,None,None,gas,None,None,None,clean,manual,None,34400
Honda Civic,2000,None,None,None,None,gas,None,124000,None,clean,automatic,None,1800
Mercury sable,2005,None,None,None,None,gas,None,152000,None,clean,automatic,None,1500
saturn ion,2004,None,excellent,4 cylinders,fwd,gas,None,158000,None,clean,automatic,None,2400
subaru impreza 2.5i premium awd,2011,None,None,None,None,gas,None,58000,None,rebuilt,manual,None,9150
honda element,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,950
ford explorer,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,800
chevy,1997,None,good,None,None,diesel,None,177422,None,clean,automatic,truck,3500
Volkswagen Jetta 2.5L SE,2010,3VWRX7AJ9AM056968,excellent,5 cylinders,fwd,gas,blue,90000,mid-size,clean,automatic,None,6400
kia soul,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,6300
chevy silverado 1500,1998,None,fair,8 cylinders,4wd,gas,red,None,None,clean,automatic,truck,3700
Chevy tahoe,2003,None,good,None,None,gas,blue,199,full-size,rebuilt,automatic,truck,3000
jeep j10,1979,None,None,None,None,gas,None,None,None,clean,automatic,truck,900
pontiac sunfire,2002,None,None,None,None,gas,None,140,None,clean,automatic,None,1
ford focus,2000,None,good,4 cylinders,fwd,gas,blue,None,None,parts only,automatic,sedan,650
57,1957,None,None,None,None,gas,None,None,None,clean,manual,None,40000
ford f-250,2003,None,excellent,8 cylinders,4wd,diesel,white,149000,None,clean,automatic,pickup,14500
dodge neon,2004,None,None,None,None,gas,None,None,None,clean,manual,None,2250
Toyota Sienna,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2005
Ford flex,2011,None,excellent,6 cylinders,fwd,gas,silver,55,None,clean,automatic,None,11900
ford escape,2003,None,excellent,6 cylinders,4wd,gas,None,None,None,clean,automatic,None,2500
highlander toyota,2003,None,good,6 cylinders,4wd,gas,brown,147000,mid-size,clean,manual,SUV,3800
pontiac,2006,None,excellent,None,None,gas,blue,148000,None,clean,automatic,van,2200
Lincoln MKZ,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,6480
Toyota Tacoma,2007,5TEPX42N77Z345773,excellent,4 cylinders,4wd,gas,red,124000,None,clean,manual,None,9500
Jeep,2013,None,good,None,None,gas,None,None,None,clean,automatic,None,17255
chrysler 300 limo,2006,None,good,6 cylinders,None,gas,custom,None,full-size,clean,automatic,other,7947
bmw 7-series 750li,2008,None,excellent,8 cylinders,rwd,gas,black,285040,full-size,clean,automatic,sedan,4950
vw tiguan s,2009,None,excellent,4 cylinders,fwd,gas,None,139100,None,clean,automatic,SUV,6600
volvo s60,2001,None,None,5 cylinders,fwd,gas,black,192500,mid-size,clean,automatic,None,1500
saturn l300,2005,None,good,6 cylinders,fwd,gas,black,186000,None,clean,automatic,None,1100
subaru outback awd,2005,None,good,4 cylinders,4wd,gas,None,105000,None,clean,automatic,SUV,5500
buick enclave,2012,None,excellent,6 cylinders,4wd,gas,white,105000,mid-size,clean,automatic,SUV,17500
Pontiac Vibe,2005,5Y2SL63855Z457488,excellent,4 cylinders,fwd,gas,silver,263000,compact,clean,automatic,wagon,2700
ford f-150,2005,None,None,None,None,gas,None,181000,None,clean,automatic,None,8000
dodge grand caravan,2007,None,good,6 cylinders,fwd,gas,blue,147000,full-size,clean,automatic,mini-van,3495
dodge grand caravan,2007,None,good,6 cylinders,fwd,gas,blue,147000,full-size,clean,automatic,mini-van,3495
dodge grand caravan,2007,None,good,6 cylinders,fwd,gas,blue,147000,full-size,clean,automatic,mini-van,3495
chevrolet suburban,1989,None,good,8 cylinders,rwd,gas,white,104526,full-size,clean,automatic,SUV,3000
98' Chevy S10 LS,1998,None,good,6 cylinders,rwd,gas,blue,163000,None,clean,automatic,pickup,1800
2011 Ford Edge SEL,2011,None,like new,6 cylinders,fwd,gas,blue,61000,mid-size,rebuilt,automatic,SUV,9900
Pontiac Vibe GT,2003,None,good,4 cylinders,fwd,gas,None,152000,None,clean,manual,hatchback,2500
GMC,2005,None,good,8 cylinders,4wd,gas,black,181500,None,lien,automatic,SUV,5700
Dodge Durango SLT,2002,None,excellent,8 cylinders,4wd,gas,red,191000,full-size,clean,automatic,SUV,3500
Chevrolet Crew Cab,2007,None,excellent,8 cylinders,4wd,gas,blue,176111,full-size,clean,automatic,pickup,8500
dodge ram 1500 sport,2000,None,good,8 cylinders,4wd,gas,red,160000,full-size,clean,automatic,pickup,6000
volkswagen passat,2003,None,excellent,None,None,gas,None,None,None,clean,manual,None,2395
saturn vue,2007,None,good,6 cylinders,rwd,gas,None,None,None,clean,automatic,None,2975
CHRYSLER PACIFICA,2004,None,good,None,None,gas,None,None,None,clean,automatic,None,1900
chevrolet trailblazer,2005,None,good,6 cylinders,4wd,gas,None,None,None,clean,automatic,None,2675
chevrolet trailblazer,2005,None,good,6 cylinders,4wd,gas,None,None,None,clean,automatic,None,2675
bmw 6 series convertible,2006,None,good,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,13599
JEEEP PATRIOT,2009,None,good,None,None,gas,None,None,None,clean,automatic,None,4675
ford ranger,2001,None,None,None,None,gas,None,116000,None,clean,automatic,None,3500
Ford Van,1972,None,good,6 cylinders,rwd,gas,grey,None,mid-size,clean,automatic,None,3700
volkswagen,1968,None,good,4 cylinders,rwd,gas,brown,None,compact,clean,manual,mini-van,6000
mercury sable,2002,None,good,6 cylinders,fwd,gas,green,207000,mid-size,clean,automatic,None,1399
ford focus ses,2007,None,excellent,4 cylinders,fwd,gas,black,60000,compact,clean,automatic,sedan,5995
toyota tacoma,1996,None,None,4 cylinders,4wd,gas,None,None,None,clean,manual,pickup,500
honda civic ex,2004,None,good,4 cylinders,None,gas,None,None,None,clean,manual,None,3100
cadillac cts sedan,2012,None,like new,6 cylinders,4wd,gas,silver,59500,full-size,clean,automatic,sedan,14900
Meyer,2002,None,like new,None,None,other,None,None,None,clean,other,None,1250
Toyota Camry,2007,None,excellent,4 cylinders,fwd,gas,blue,117300,mid-size,clean,automatic,sedan,6900
dodge ram 2500,1997,None,good,10 cylinders,rwd,gas,black,None,full-size,clean,automatic,pickup,1800
Dodge Stratus,2004,None,good,6 cylinders,fwd,gas,None,122000,mid-size,clean,automatic,sedan,750
pontiac grand am,2002,None,good,None,None,gas,None,150000,None,clean,automatic,None,800
pontiac grand am,2002,None,good,None,None,gas,None,150000,None,clean,automatic,None,800
chevrolet 1500 silverado,2010,None,excellent,8 cylinders,None,gas,grey,70682,None,clean,automatic,truck,15700
honda pilot ex,2006,2HKYF18476H501784,excellent,6 cylinders,4wd,gas,white,140000,full-size,clean,automatic,SUV,6900
Ford F 450,1988,None,good,8 cylinders,rwd,diesel,red,None,full-size,clean,manual,None,11000
chevy caviler,1991,None,fair,4 cylinders,fwd,gas,brown,80000,None,clean,automatic,None,1100
lincoln town car,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
volkswagen jetta,2009,None,excellent,5 cylinders,fwd,gas,None,None,None,clean,automatic,None,6500
Ford F-150 xlt fx4,2003,None,excellent,8 cylinders,4wd,gas,black,204000,full-size,clean,automatic,pickup,4500
Town and Country,2000,None,good,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,1500
nissan altima 2.5,2007,None,good,4 cylinders,fwd,gas,blue,None,None,clean,automatic,None,3500
mercury cougar xr7,1997,None,fair,8 cylinders,rwd,gas,red,158000,mid-size,clean,automatic,coupe,1000
Hyundai Elantra,2008,None,None,4 cylinders,fwd,gas,None,162000,None,clean,automatic,None,2950
Mercedes Benz e350,2006,None,None,6 cylinders,4wd,gas,None,150000,None,clean,automatic,None,6000
