make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Honda Accord Sport,2016,1HGCR2F59GA223810,like new,4 cylinders,fwd,gas,white,16287,mid-size,clean,manual,sedan,19900
Chevrolet K20,1987,None,fair,None,None,gas,None,None,None,clean,manual,truck,1000
dodge d100,1980,None,good,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,pickup,4900
Bmw 325i,2003,None,excellent,6 cylinders,rwd,gas,red,175,None,clean,manual,sedan,4000
Bmw 325i,2003,None,excellent,6 cylinders,rwd,gas,red,174,None,clean,manual,sedan,4000
Bmw 325i,2003,None,excellent,6 cylinders,rwd,gas,red,175,None,clean,manual,sedan,4000
Dodge Challenger SRT8,2012,None,None,8 cylinders,rwd,gas,None,23000,None,rebuilt,manual,None,19900
Ford L8000,1987,None,good,None,None,diesel,white,None,None,clean,manual,truck,11900
Chevrolet Corvette,1996,None,good,8 cylinders,rwd,gas,red,7400,full-size,clean,automatic,coupe,6900
ford ranger xlt,2001,None,good,6 cylinders,4wd,gas,green,198000,None,clean,manual,pickup,3000
ford f-150,1996,None,good,8 cylinders,4wd,gas,black,223000,full-size,clean,automatic,truck,3500
S7,2016,WAUW2AFCXGN031729,excellent,8 cylinders,4wd,gas,white,26000,full-size,lien,automatic,sedan,68500
Honda Civic SI,2013,None,like new,4 cylinders,fwd,gas,black,56000,None,clean,manual,sedan,15750
Dodge Ram 2500,2006,None,None,None,None,diesel,None,182000,None,clean,automatic,None,22900
Dodge Ram 2500,2006,None,None,None,None,diesel,None,182000,None,clean,automatic,None,22900
bmw 325i,2003,None,like new,6 cylinders,rwd,gas,silver,200000,mid-size,clean,automatic,wagon,3750
bmw 3-series 328i,1996,None,good,6 cylinders,rwd,gas,black,237000,mid-size,clean,automatic,sedan,2300
subaru crosstrek,2013,None,good,4 cylinders,4wd,gas,black,106000,mid-size,clean,automatic,SUV,12000
Jeep Grand Wagoneer,1989,1J4GS5875KP110330,good,8 cylinders,4wd,gas,purple,129565,full-size,clean,automatic,None,6700
Toyota,2002,None,good,6 cylinders,fwd,gas,silver,154,mid-size,clean,automatic,convertible,4900
Honda Pilot 4 wd,2004,None,good,6 cylinders,4wd,gas,silver,181000,full-size,clean,automatic,SUV,5500
Chevrolet Impala ss,1996,None,like new,8 cylinders,rwd,gas,None,54000,full-size,clean,automatic,sedan,16750
Chevrolet Scottsdale,1988,None,salvage,8 cylinders,rwd,gas,None,200000,None,salvage,automatic,pickup,1000
Honda Accord  DX,2001,1HGCF86641A08I295,good,4 cylinders,fwd,gas,green,211187,full-size,salvage,automatic,sedan,2000
ford crown victoria,1996,None,good,8 cylinders,rwd,gas,silver,150000,full-size,clean,automatic,None,2500
Cadillac STS V8,2005,None,None,None,None,gas,None,132000,None,clean,automatic,None,3800
Pontiac Grand Am GT,2001,None,fair,6 cylinders,fwd,gas,green,170000,None,clean,automatic,coupe,2500
4D,2014,1N4AA5APXEC497743,good,6 cylinders,rwd,gas,grey,52300,full-size,salvage,automatic,sedan,8250
4D,2014,1N4AA5APXEC497743,good,6 cylinders,rwd,gas,grey,52300,full-size,salvage,automatic,sedan,8250
toyota camry,2010,None,good,None,None,gas,None,59000,None,clean,automatic,None,9200
F 350,1979,None,good,8 cylinders,rwd,gas,red,73000,full-size,clean,manual,truck,3000
dodge ram 1500 4x4,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,3100
Dodge Ram 3500,1995,None,None,None,None,diesel,None,None,None,clean,automatic,None,12000
Chevy Silverado,2009,None,None,None,None,diesel,None,None,None,clean,automatic,None,1
Chevy avalanche,2004,None,None,None,None,gas,None,216,None,salvage,automatic,None,5300
Ford focus,2014,None,excellent,None,None,gas,None,98000,None,clean,automatic,None,6700
Jeep wrangler,1999,None,None,None,None,gas,None,None,None,clean,manual,None,7200
jetti,2009,None,fair,None,fwd,diesel,None,None,None,clean,automatic,None,1000
Jeep Grand Laredo Cherokee,1998,None,good,6 cylinders,rwd,gas,brown,369000,mid-size,clean,automatic,SUV,1650
Nissan Xterra,2010,None,excellent,None,4wd,gas,white,129000,mid-size,clean,automatic,SUV,13000
Mazda B4000,1997,None,good,6 cylinders,4wd,gas,green,140000,mid-size,clean,manual,pickup,3500
ford expedition,2007,None,excellent,8 cylinders,4wd,gas,custom,176000,full-size,clean,automatic,SUV,9995
saturn vue,2003,None,good,6 cylinders,fwd,gas,red,133000,sub-compact,clean,automatic,SUV,2650
Show polishing,2018,None,None,None,None,other,None,None,None,clean,other,None,1
volvo xc60,2012,None,excellent,6 cylinders,fwd,gas,silver,140000,mid-size,clean,automatic,SUV,9450
nissan pathfinder le 4wd,1999,None,None,None,None,gas,silver,None,None,salvage,automatic,SUV,2300
nissan xterra,2000,None,good,6 cylinders,rwd,gas,red,203837,None,clean,automatic,SUV,4000
chevy c10,1983,None,good,8 cylinders,rwd,gas,brown,None,full-size,clean,automatic,pickup,3500
cadillac cts,2006,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,3400
GMC Sierra,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,1200
gmc sierra 1500 crew cab,2000,None,fair,None,None,gas,silver,265000,None,clean,automatic,truck,4500
bmw x5 4.4i,2003,None,None,None,None,gas,white,None,None,clean,automatic,None,3500
nissan versa,2012,None,excellent,4 cylinders,fwd,gas,white,64000,mid-size,rebuilt,automatic,sedan,5700
Dodge Journey crew,2013,None,like new,6 cylinders,fwd,gas,white,56000,full-size,rebuilt,automatic,SUV,12900
toyota tacoma,1996,None,good,4 cylinders,4wd,gas,None,None,None,clean,manual,None,6900
toyota prius,2009,JTDKB20UX97833665,good,None,fwd,hybrid,green,226000,compact,clean,automatic,hatchback,1900
81 z28 camaro,1981,None,None,None,None,gas,black,None,None,clean,manual,None,6200
Chevrolet blazer LS,2000,None,good,6 cylinders,4wd,gas,red,180000,mid-size,clean,automatic,SUV,3500
ford excursion,2002,None,good,10 cylinders,4wd,gas,white,104235,None,clean,automatic,None,13900
Ram 1500 4x4 Express,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,21900
Kia Sorento AWD,2017,5XYPGDA58HG221394,excellent,6 cylinders,4wd,gas,blue,16000,None,clean,automatic,None,24900
subaru impreza,2008,JF1GE61678H525534,excellent,4 cylinders,4wd,gas,grey,117,None,clean,automatic,None,6195
Jeep grand cherokee,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
toyota mr2 spyder,2003,None,excellent,4 cylinders,None,gas,black,91200,None,clean,automatic,None,5950
dodge nitro,2007,None,excellent,6 cylinders,4wd,gas,white,111555,None,clean,automatic,None,8800
ford f500,1968,None,fair,8 cylinders,rwd,gas,white,None,full-size,clean,manual,truck,3999
ford escape titanium,2014,None,like new,4 cylinders,4wd,gas,white,53300,None,clean,automatic,None,16600
bmw 1-series,2010,None,like new,6 cylinders,rwd,gas,blue,55060,None,clean,automatic,None,11900
Hummer H3,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,11500
vw vanagon,1985,None,fair,4 cylinders,rwd,gas,white,None,full-size,clean,manual,van,1650
BMW M3,2008,None,excellent,8 cylinders,rwd,gas,red,92000,None,clean,manual,None,29500
toyota tacoma,2003,None,excellent,6 cylinders,4wd,gas,green,None,None,clean,automatic,pickup,8500
buick lesabre,1996,None,good,6 cylinders,None,gas,None,157000,None,clean,automatic,None,1750
ford focus,2014,None,good,4 cylinders,fwd,gas,grey,88000,None,clean,automatic,sedan,8000
toyota rav4,2012,None,None,4 cylinders,4wd,gas,None,42825,None,clean,automatic,None,14000
Chevrolet Corvette,1981,None,good,8 cylinders,rwd,gas,white,62000,None,clean,manual,None,22500
jeep wrangler,1994,None,good,4 cylinders,4wd,gas,green,159000,mid-size,salvage,manual,SUV,4600
infiniti g37x,2010,None,None,6 cylinders,4wd,gas,grey,108000,None,rebuilt,automatic,sedan,7900
Honda Civic coupe,2001,None,None,None,None,gas,None,None,None,clean,manual,None,750
Specially Constructed,2011,None,None,None,None,gas,None,None,None,clean,manual,None,12500
jeep cherokee,1996,None,None,6 cylinders,4wd,gas,None,234000,None,clean,automatic,None,2800
Toyota Pickup,1994,None,excellent,4 cylinders,rwd,gas,green,139000,compact,clean,automatic,pickup,1500
Chevy Cruze,2013,None,like new,4 cylinders,fwd,gas,white,42000,None,rebuilt,automatic,None,7795
vw passat,2002,None,excellent,4 cylinders,fwd,gas,green,114000,mid-size,clean,automatic,sedan,4200
F150 4 X4,1978,None,None,None,None,gas,blue,None,None,clean,automatic,None,2800
toyota camry,1993,None,None,4 cylinders,fwd,gas,None,260000,None,clean,automatic,None,400
Dodge Challenger SRT8,2010,None,good,8 cylinders,rwd,gas,purple,69900,None,lien,manual,None,25000
BMW 328i,2008,None,excellent,6 cylinders,rwd,gas,silver,108000,mid-size,clean,automatic,sedan,7500
Subaru-Forester,2006,JF1SG69676H721740,good,4 cylinders,4wd,gas,blue,155250,full-size,clean,automatic,SUV,4900
Toyota,1993,None,fair,4 cylinders,4wd,gas,None,None,None,clean,manual,None,1850
Chevrolet Chevy C10,1970,None,excellent,8 cylinders,rwd,gas,red,None,None,clean,manual,pickup,17500
ford mustang,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,6000
Nissan Titan Se,2005,None,None,None,None,gas,None,135000,None,clean,automatic,None,8950
