make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford f-150,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
chevy bel air,1955,-----,good,other,rwd,gas,grey,None,full-size,missing,other,sedan,10500
volkswagen beetle,2000,3VWCD21C3YM409282,good,None,None,gas,grey,145338,None,clean,automatic,coupe,3000
infiniti g 35,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2600
Ford freestyle,2005,None,good,6 cylinders,4wd,gas,black,160000,None,clean,automatic,SUV,3600
lexus es 300,1999,None,None,None,fwd,gas,None,None,None,clean,automatic,None,1350
chevy uplander,2007,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2000
toyota tacoma 4x4,2005,None,None,None,None,gas,None,None,None,clean,manual,None,8
vw cc,2010,WVWML7AN1AE528971,like new,4 cylinders,fwd,gas,None,118000,None,clean,automatic,sedan,6500
chevrolet cobalt,2007,1G1AK18F787286714,like new,None,fwd,gas,None,107000,None,clean,manual,coupe,3800
chrysler town & country,2005,None,None,None,None,gas,None,180,None,clean,automatic,None,1500
toyota corolla,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,3650
ram promaster city cargo van,2015,None,good,4 cylinders,fwd,gas,None,27000,None,clean,automatic,None,14900
Lexus IS 250,2014,JTHCF1D2XE5015224,excellent,6 cylinders,4wd,gas,black,32000,mid-size,rebuilt,automatic,sedan,22500
Saturn ion,2007,None,excellent,4 cylinders,None,gas,None,144,None,clean,automatic,None,2500
Ford F150,2014,1FTFW1EF3EFA75288,excellent,8 cylinders,4wd,gas,silver,61000,None,rebuilt,automatic,pickup,29500
chrysler pt cruiser,2010,None,like new,4 cylinders,None,gas,black,93000,None,clean,automatic,None,4500
freightliner,1995,None,excellent,6 cylinders,rwd,diesel,white,154,full-size,clean,manual,None,3100
mazda rx-8,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,700
Ford f150,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,40000
Toyota Avalon Limited,2005,None,excellent,6 cylinders,fwd,gas,silver,195,None,clean,automatic,None,3900
chevrolet camaro,1967,None,like new,8 cylinders,None,gas,blue,None,None,clean,manual,None,40000
buick riviera,1969,None,like new,8 cylinders,None,gas,red,201054,full-size,clean,automatic,None,12000
Jeep Wagoneer,1988,None,excellent,None,4wd,gas,white,None,None,clean,automatic,None,5000
Chevrolet Bel Air,1957,None,good,None,None,gas,red,None,full-size,clean,manual,None,12000
chevrolet nova,1974,None,good,8 cylinders,None,gas,blue,None,None,clean,automatic,None,9000
chevrolet el camino,1974,None,excellent,8 cylinders,None,gas,black,None,None,clean,automatic,None,5000
mercedes benz s550,2007,WDDNG71X07A041860,like new,8 cylinders,rwd,gas,silver,89509,full-size,rebuilt,automatic,sedan,16995
chevrolet chevelle,1971,None,like new,8 cylinders,None,gas,red,None,None,clean,manual,None,35000
hyundai genesis,2010,None,like new,None,None,gas,black,None,None,clean,manual,None,9000
oldsmobile delta 88 royale,1974,None,like new,8 cylinders,rwd,gas,white,61897,full-size,clean,automatic,convertible,16995
Nissan altima,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,3800
honda civic,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,5700
honda accord crosstour ex-l,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,7900
tiguan volkswagen,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
ford focus,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,3900
ford focus,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,3900
mercury grand marquis gs,2001,2MEFM74W81X604659,excellent,8 cylinders,rwd,gas,blue,68000,full-size,clean,automatic,sedan,3500
mecury grand marquis gs,2001,2MEFM74W81X604659,excellent,8 cylinders,rwd,gas,green,68000,full-size,clean,automatic,sedan,3500
mercury grand marquis gs,2001,2MEFM74W81X604659,excellent,8 cylinders,rwd,gas,green,68000,full-size,clean,automatic,sedan,3500
Honda Pilot,2005,None,good,6 cylinders,4wd,gas,red,221000,full-size,clean,automatic,SUV,4200
jeep cherokee,1999,None,None,None,None,gas,None,None,None,parts only,other,None,300
Cadillac Escalade ESV,2003,None,excellent,None,rwd,gas,white,198000,full-size,clean,automatic,SUV,7300
ford ranger xlt,1998,None,good,4 cylinders,fwd,gas,white,174000,full-size,clean,automatic,pickup,2500
infiniti g35,2007,Jnkcv54e97m909860,excellent,6 cylinders,rwd,gas,blue,None,compact,rebuilt,automatic,coupe,6500
Gmc w3500,2001,None,good,8 cylinders,rwd,gas,white,141000,None,clean,automatic,other,7500
chevrolet 1500 silverado,2014,None,good,8 cylinders,rwd,gas,white,123830,full-size,clean,automatic,truck,23995
ford f-150,2011,None,excellent,6 cylinders,rwd,gas,blue,149630,full-size,clean,automatic,truck,17995
bmw x5,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,10800
jaguar xf luxury,2010,None,good,8 cylinders,fwd,gas,None,98000,full-size,clean,automatic,sedan,7500
