make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
BMW Z3,1999,None,good,6 cylinders,rwd,gas,silver,81000,compact,clean,automatic,convertible,6000
honda accord,2015,None,like new,4 cylinders,fwd,gas,white,16800,None,clean,automatic,sedan,19200
El Camino,1981,None,None,None,None,gas,None,None,None,clean,manual,None,1800
ford fusion,2011,None,good,4 cylinders,fwd,gas,silver,None,None,lien,automatic,None,7900
mercury mountaineer,2003,None,good,8 cylinders,4wd,gas,silver,201000,None,clean,automatic,None,3200
toyota prius,2010,None,excellent,4 cylinders,fwd,hybrid,white,108000,mid-size,clean,automatic,sedan,7900
gmc sierra 3500,1983,None,None,None,None,diesel,None,None,None,missing,manual,None,3800
pontiac firebird,1978,2U87L8N196596,fair,8 cylinders,rwd,gas,black,187000,mid-size,clean,automatic,coupe,1850
jeep wrangler,1988,None,None,6 cylinders,4wd,gas,red,None,None,clean,manual,None,5500
mercury cougar,1968,8F91C535275,excellent,8 cylinders,fwd,gas,blue,48000,mid-size,clean,manual,coupe,24900
Ford Edge SEL,2013,None,excellent,6 cylinders,fwd,gas,black,None,full-size,clean,automatic,SUV,4000
subaru forester,1998,None,good,4 cylinders,4wd,gas,None,None,None,clean,automatic,None,2300
Sion,2009,None,excellent,4 cylinders,fwd,gas,grey,158000,None,clean,automatic,None,5000
jeep liberty,2005,None,good,4 cylinders,4wd,diesel,None,105000,None,clean,automatic,None,5000
CHEVY,1956,None,good,8 cylinders,rwd,gas,red,None,mid-size,clean,manual,None,17500
subaru impreza 2.5rs,2000,None,good,None,4wd,gas,grey,94000,None,clean,manual,None,3500
toyota camry le 4dr sedan,2012,4T1BF1FK0CU517720,good,4 cylinders,rwd,gas,white,107000,full-size,clean,automatic,sedan,8500
ford f150 4wd,2008,None,good,8 cylinders,4wd,gas,white,204000,full-size,clean,automatic,pickup,6400
chevrolet equinox,2005,None,good,6 cylinders,4wd,gas,silver,129432,mid-size,clean,automatic,SUV,3900
mini cooper s,2003,None,excellent,4 cylinders,fwd,gas,blue,None,compact,clean,manual,hatchback,5000
Jeep Cherokee Sport XJ,1997,None,excellent,6 cylinders,4wd,gas,white,230690,None,clean,manual,SUV,1349
jeep wrangler,1988,None,good,6 cylinders,4wd,gas,red,None,None,clean,manual,None,5500
Jeep,2010,None,None,None,None,other,None,None,None,clean,other,None,14
Ford,2008,None,None,None,None,other,None,None,None,clean,other,None,12
honda accord ex,1999,None,good,4 cylinders,fwd,gas,green,134300,full-size,clean,automatic,sedan,3000
Silverado,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
volkswagen,2012,3VWDX7AJ0CM422524,excellent,4 cylinders,fwd,gas,silver,37500,mid-size,clean,automatic,sedan,9600
GMC Caballero,1978,None,good,8 cylinders,None,gas,None,None,None,clean,automatic,None,3500
mitsubishi lancer es,2017,None,new,4 cylinders,4wd,gas,blue,9500,mid-size,lien,automatic,sedan,18500
subaru legacy,1998,None,None,None,None,gas,None,250000,None,clean,manual,None,1000
Ford F-150,2010,None,excellent,8 cylinders,4wd,gas,black,137000,None,clean,automatic,None,14000
jeep cherokee,1990,None,fair,6 cylinders,4wd,gas,blue,140000,mid-size,clean,automatic,SUV,700
Honda Civic,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
chevrolet malibu,2016,None,new,4 cylinders,fwd,gas,white,10000,None,lien,automatic,sedan,27000
1997 Chevy suburban,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
kia optima,2004,None,good,4 cylinders,fwd,gas,brown,145718,mid-size,clean,automatic,sedan,1500
Chevy Silverado,1998,None,like new,8 cylinders,4wd,gas,None,None,None,clean,automatic,truck,1012
mercedes benz c280,2007,WDBRF92H57F930110,good,6 cylinders,4wd,gas,silver,236000,mid-size,clean,automatic,None,3000
cadillac deville,1999,None,excellent,8 cylinders,fwd,gas,None,109000,full-size,clean,automatic,coupe,1800
jeep wrangler,1993,None,None,None,None,gas,None,114000,None,clean,manual,None,3500
ford coupe,1926,None,good,4 cylinders,rwd,gas,None,None,mid-size,clean,other,None,8500
saturn,2003,None,good,4 cylinders,fwd,gas,blue,185000,None,clean,automatic,sedan,1900
Mercedes SLK 350,2006,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,10900
Ford,1999,None,good,8 cylinders,4wd,diesel,black,209000,None,clean,manual,pickup,12800
Cadillac Seville STS,1991,None,new,8 cylinders,fwd,gas,white,171443,mid-size,clean,automatic,sedan,2350
dodge ram 2500,2002,None,good,6 cylinders,4wd,diesel,blue,134000,full-size,clean,automatic,None,14500
01 x5 bmw,2001,None,None,6 cylinders,4wd,gas,None,193781,None,clean,automatic,None,4500
Dodge challenger,2013,None,good,8 cylinders,rwd,gas,silver,60000,None,clean,manual,coupe,20000
