make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
cadillac escalade,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,17900
CHEVROLET NOVA SS,1964,40447NXXXXXXX,fair,8 cylinders,rwd,gas,red,None,mid-size,missing,manual,coupe,2250
Ford Econoline E-450,2003,1FDXE45S93HA42136,good,10 cylinders,rwd,gas,white,72505,full-size,clean,automatic,bus,19900
Dodge w250,1991,None,good,6 cylinders,4wd,diesel,red,258000,full-size,clean,automatic,pickup,6500
Plymouth Fury III,1966,None,good,8 cylinders,rwd,gas,None,None,None,clean,automatic,coupe,7500
Subaru wrx,2003,None,None,None,None,gas,None,218000,None,clean,manual,None,5200
Subaru Forester,2001,None,None,None,None,gas,None,176000,None,clean,automatic,None,3500
Ford mustang,2000,None,like new,6 cylinders,rwd,gas,blue,225000,mid-size,clean,manual,coupe,4500
CHEVROLET SS,1968,None,good,8 cylinders,rwd,gas,blue,None,None,clean,manual,coupe,11500
led,2017,None,None,None,None,electric,None,None,None,clean,other,None,50
CHEVROLET SS,1968,None,good,8 cylinders,rwd,gas,blue,None,None,clean,manual,coupe,11500
CHEVROLET SS,1968,None,good,8 cylinders,rwd,gas,blue,None,None,clean,manual,coupe,11500
jaguar s-type,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,4995
Dodge Ram,2003,None,None,None,None,diesel,None,None,None,clean,automatic,None,13000
Dodge 3500,1999,None,good,6 cylinders,rwd,diesel,silver,293000,full-size,rebuilt,manual,truck,7600
CHEVROLET CHEVELLE,1968,136XXXXXXX,None,8 cylinders,rwd,gas,None,None,mid-size,missing,automatic,coupe,4500
CHEVROLET NOVA SS,1964,40447NXXXXXXX,fair,8 cylinders,rwd,gas,red,None,mid-size,missing,manual,coupe,2250
bmw z3,1998,None,None,None,None,gas,green,147575,None,clean,manual,None,5000
ford f150 fx4,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,13900
Honda Accord,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
toyota corolla,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,3650
Chevy impala,2001,None,None,None,None,gas,None,None,None,parts only,automatic,None,400
Subaru Outback 2.5i,2005,4S4BP61CX56361624,good,None,None,gas,None,170000,None,clean,manual,None,3000
nissan 240sx,1992,None,good,4 cylinders,None,gas,None,None,None,clean,manual,None,1
Chevrolet Sonic LT,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,6975
hyundai veloster,2012,None,good,4 cylinders,None,gas,None,51000,compact,rebuilt,automatic,None,7200
Dodge Challenger SRT8,2012,None,None,8 cylinders,rwd,gas,None,23000,None,rebuilt,manual,None,19900
Chevy 1500,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
Acura Rsx,2005,None,good,4 cylinders,fwd,gas,grey,160000,None,rebuilt,automatic,None,3500
Dodge 1500,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3700
Chevy Tahoe,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,9000
Acura TL,2002,None,fair,6 cylinders,fwd,gas,white,286000,compact,clean,automatic,sedan,700
kenworth t 660,2013,None,excellent,None,None,diesel,None,None,None,clean,automatic,None,38000
volvo xc90,2007,YV4CZ982971354369,good,6 cylinders,4wd,gas,blue,123500,full-size,clean,automatic,SUV,6500
Chevy C10 trade,1972,None,None,None,None,gas,None,None,None,clean,automatic,None,33000
jeep comanche,1991,None,fair,6 cylinders,4wd,gas,black,None,None,clean,manual,None,2500
chevy s10 pickup,1995,2468097531,good,4 cylinders,rwd,gas,custom,158000,mid-size,clean,automatic,pickup,3500
nissan 350z roadster,2004,None,good,6 cylinders,fwd,gas,silver,130099,sub-compact,clean,automatic,convertible,5500
Volkswagen Super Beetle,1974,None,fair,4 cylinders,rwd,gas,blue,74000,sub-compact,clean,manual,coupe,1000
bmw 325i sport wagon,2001,None,like new,6 cylinders,rwd,gas,black,194000,mid-size,clean,automatic,wagon,3500
bmw 325i sport wagon,2001,None,like new,6 cylinders,rwd,gas,black,194000,mid-size,clean,automatic,wagon,3500
bmw 325i,2000,None,like new,6 cylinders,rwd,gas,grey,108000,mid-size,clean,automatic,wagon,4500
mercedes-benz c240,2001,None,good,6 cylinders,rwd,gas,red,153600,mid-size,clean,automatic,sedan,3995
Mercedes c320 wagon,2002,None,good,6 cylinders,rwd,gas,white,None,mid-size,clean,automatic,wagon,4000
Mercedes 300e,1990,None,like new,6 cylinders,rwd,gas,grey,None,mid-size,clean,automatic,sedan,2500
Jeep Wrangler,1995,None,None,None,None,gas,None,None,None,clean,manual,None,4500
nissan xterra,2003,None,excellent,6 cylinders,fwd,gas,yellow,198000,full-size,clean,automatic,SUV,3100
nissan xterra,2002,None,good,6 cylinders,4wd,gas,custom,234000,None,clean,manual,SUV,3500
toyota tacoma 4x4,2016,None,like new,6 cylinders,4wd,gas,red,74825,mid-size,clean,automatic,truck,25995
gmc 1500 sierra,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,9995
Ford,1963,None,None,None,None,other,None,None,None,clean,other,None,40
mg,1964,None,good,None,None,gas,red,None,None,missing,manual,convertible,4000
ford,1947,None,fair,8 cylinders,rwd,gas,None,None,None,missing,other,None,2800
jeep commander,2006,100000000,good,6 cylinders,rwd,gas,black,148000,mid-size,clean,automatic,other,7300
Acura,2014,5FRYD4H26EB009474,excellent,8 cylinders,4wd,gas,grey,88246,full-size,clean,automatic,SUV,22000
ford explorer,2000,None,fair,6 cylinders,None,gas,black,None,None,clean,automatic,None,1000
ford ranger,1993,None,good,6 cylinders,rwd,gas,yellow,99050,mid-size,clean,automatic,truck,1195
Blue Head,2008,None,good,None,None,gas,None,None,None,clean,other,None,27900
ford f-150,2008,None,excellent,8 cylinders,4wd,gas,white,None,full-size,clean,automatic,None,11900
ford f250,2011,None,excellent,None,None,diesel,None,None,None,clean,automatic,None,24999
dodge dakota slt,2001,None,like new,8 cylinders,rwd,gas,red,None,None,clean,automatic,None,4000
chevrolet cheyenne,1996,None,good,8 cylinders,rwd,gas,white,186000,full-size,clean,automatic,truck,3500
GMC Ventura 2500 Van,1986,None,fair,None,None,gas,custom,None,full-size,clean,automatic,van,1500
Oldsmobile Aurora,2002,1G3GR64H324244440,excellent,6 cylinders,fwd,gas,None,134776,None,clean,automatic,sedan,2500
GMC Yukon Denali,2007,None,good,8 cylinders,None,gas,custom,None,full-size,clean,automatic,SUV,10000
buick regal gs,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
chevrolet colorado,2005,None,None,None,None,gas,None,None,None,clean,manual,None,1200
toyota sequoia limited,2005,None,good,8 cylinders,rwd,gas,custom,198000,full-size,clean,automatic,SUV,8350
Chevrolet Silverado 1500,2010,None,good,8 cylinders,4wd,gas,blue,46000,full-size,clean,automatic,pickup,17950
ford expedition eddie bauer,2004,None,good,8 cylinders,rwd,gas,red,182000,full-size,clean,automatic,SUV,5900
volvo xc90,2005,None,good,None,4wd,gas,grey,105000,None,clean,automatic,None,6700
dodge ram 1500 slt,2007,None,None,None,None,gas,None,160000,None,rebuilt,automatic,None,8900
mazda 2,2014,None,excellent,4 cylinders,fwd,gas,black,61000,compact,clean,automatic,hatchback,10600
Dodge Ram,1997,None,salvage,None,None,gas,None,None,None,missing,other,None,1
