make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
honda accord lx,2006,None,good,6 cylinders,fwd,gas,grey,210225,mid-size,clean,automatic,sedan,4795
gmc sonoma,1994,None,excellent,4 cylinders,rwd,gas,blue,None,None,clean,manual,truck,2300
Ford Ranger,2001,None,None,None,None,gas,None,236000,None,clean,automatic,None,1700
nissan quest,2006,None,good,None,None,gas,blue,126000,None,clean,automatic,None,3799
ford f150 xlt,1993,None,good,8 cylinders,4wd,gas,green,None,full-size,clean,automatic,pickup,6400
Hyundai Azera,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1526
ford f350,2003,None,None,None,None,diesel,None,112600,None,lien,automatic,None,7000
toyota tacoma,1990,Xxxxxxxxxxxx,good,6 cylinders,fwd,gas,white,300123,mid-size,clean,manual,truck,3800
ford taurus se,2000,None,fair,4 cylinders,fwd,gas,silver,259789,full-size,clean,automatic,sedan,625
lexus ls 430 4dr sedan,2002,None,good,None,None,gas,black,184743,full-size,clean,automatic,sedan,1500
ford f-150,1995,None,good,8 cylinders,4wd,gas,red,303000,full-size,clean,automatic,pickup,2700
ford taurus,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
dodge avenger,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,5300
chevrolet astro,2003,None,excellent,None,None,gas,white,None,None,clean,automatic,None,7000
bmw 325i,2005,None,good,6 cylinders,rwd,gas,silver,215000,None,clean,manual,None,3500
saturn sl,2002,None,None,None,None,gas,None,None,None,clean,manual,None,600
ford ranchero,1977,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
Ford F750,2000,None,excellent,None,None,diesel,None,None,None,clean,manual,None,22000
toyota camry le 4dr sedan,2012,4T1BF1FK0CU517720,good,4 cylinders,rwd,gas,white,107000,full-size,clean,automatic,sedan,8500
toyota tacoma,2007,None,None,None,None,gas,None,78000,None,clean,automatic,None,8800
gmc 1500 yukon denali,2005,None,None,None,4wd,gas,None,None,None,clean,automatic,None,6500
Chevrolet,1983,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,4500
toyota 4runner,1989,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
dodge ram 1500 4x4,2001,None,None,8 cylinders,4wd,gas,None,None,None,clean,automatic,None,4500
mitsubishi lancer es,2017,None,new,4 cylinders,4wd,gas,blue,9500,mid-size,lien,automatic,sedan,18500
any and all,2017,None,None,None,None,gas,None,None,None,clean,automatic,None,999
Honda Civic,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
ford e350 van,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1100
Ford f550,2008,None,None,None,4wd,diesel,None,None,None,clean,manual,None,17900
kia sportage,2005,None,fair,6 cylinders,None,gas,white,175000,None,clean,automatic,SUV,4000
dodge ram,1997,None,fair,6 cylinders,None,gas,None,None,None,clean,automatic,van,2500
ford taurus,2006,None,fair,6 cylinders,None,gas,None,None,full-size,clean,automatic,None,3800
Nissan,2005,None,new,6 cylinders,rwd,gas,silver,155000,compact,clean,manual,coupe,9000
ford f250,1988,None,None,None,None,diesel,None,None,None,clean,manual,None,1900
model A,1930,None,None,None,None,gas,None,None,None,clean,manual,None,19500
Ford F-250,2007,None,None,None,None,diesel,None,None,None,clean,automatic,None,21995
gmc sierra 2500,2001,None,good,8 cylinders,4wd,diesel,green,196000,None,clean,automatic,None,7900
Nissan Hardbody Pickup,1994,None,good,4 cylinders,4wd,gas,red,158,mid-size,clean,manual,pickup,4500
TOYOTA AVALON XLS,1998,None,excellent,6 cylinders,rwd,gas,custom,233,mid-size,clean,automatic,sedan,16
bmw 5-series,1991,None,good,6 cylinders,rwd,gas,custom,130,mid-size,clean,automatic,sedan,11
LEXUS GS350,2008,None,good,8 cylinders,rwd,gas,grey,136,full-size,clean,automatic,sedan,10
GMC Sierra 1500,1997,None,good,8 cylinders,rwd,gas,None,250000,None,clean,automatic,None,3500
ford f-150,1994,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
NISSAN,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,600
Dodge,2000,None,good,8 cylinders,4wd,gas,yellow,None,mid-size,clean,automatic,pickup,3750
ford f-250,1999,None,excellent,8 cylinders,4wd,gas,white,None,full-size,clean,automatic,truck,1
Toyota,1993,None,None,None,None,gas,None,None,None,clean,manual,None,2000
bmw 328i,2009,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,8500
Dodge Charger,2012,2C3CDXBGXCH302274,excellent,None,None,gas,red,99643,None,clean,automatic,sedan,12500
ford f-250,1999,None,None,None,None,diesel,None,None,None,clean,automatic,None,5000
chevy avalanche,2002,None,good,8 cylinders,4wd,gas,black,186000,full-size,clean,automatic,pickup,10500
honda accord,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
volkswagen jetta,2006,None,None,None,None,diesel,black,None,mid-size,clean,automatic,None,1000
chevrolet cruze,2014,None,excellent,None,None,gas,None,None,None,lien,automatic,None,10000
bmw 525i,1995,None,fair,6 cylinders,None,gas,None,None,None,clean,automatic,None,1
Mercury Cougar,1969,None,excellent,None,None,gas,blue,None,None,clean,automatic,None,17000
ford mustang,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,3600
hyundai tiburon,2002,None,None,4 cylinders,None,gas,red,148000,None,clean,automatic,None,1200
pontiac trans am,1994,None,good,6 cylinders,rwd,gas,black,None,mid-size,clean,manual,coupe,6000
camaro rs,1968,12437BN409943,excellent,8 cylinders,rwd,gas,red,77890,mid-size,clean,manual,coupe,35000
jeep wrangler,2008,None,like new,6 cylinders,4wd,gas,white,17700,None,clean,manual,None,16500
Chevrolet 1500,1997,None,fair,None,4wd,gas,None,222000,None,clean,automatic,None,5900
chevy trailblazer,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,4200
Saturn,2000,1g8zk5278yz124785,good,4 cylinders,fwd,gas,green,176888,mid-size,clean,automatic,sedan,1000
Ford Excursion,2000,None,excellent,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,2800
dodge ram,1996,None,excellent,8 cylinders,4wd,gas,white,278000,full-size,clean,automatic,None,5000
Honda Accord Lx,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2600
Honda Accord Lx,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2800
Nissan Maxima,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2800
Honda Accord,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Honda Accord,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
honda odyssey,2006,5fnrl38757b005904,None,None,None,gas,None,175426,None,clean,automatic,mini-van,5000
plymouth belvedere,1964,None,None,8 cylinders,rwd,gas,orange,None,None,clean,manual,None,23000
jeep,2003,None,None,None,None,gas,None,150,None,clean,automatic,None,4800
jeep wrangler,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,16654
ford mustang 5.0,1987,None,None,None,None,gas,None,None,None,clean,manual,None,9750
honda civic ex,1998,None,None,None,None,gas,None,None,None,clean,manual,None,600
dodge  ram cummins 3500,2004,None,excellent,6 cylinders,4wd,diesel,None,101000,None,lien,automatic,None,22500
Chevy Ton Truck,2006,None,like new,8 cylinders,4wd,gas,white,12000,full-size,clean,automatic,truck,22500
Chevelle,1968,None,None,None,None,gas,None,None,None,clean,manual,None,40000
ford crown vic,2001,None,excellent,None,None,gas,red,113000,None,clean,automatic,None,4500
Saab 9-3 Convertible,2002,YS3DF75k427007667,fair,4 cylinders,rwd,gas,black,171000,full-size,clean,manual,None,1250
gmc sierra 2500,2001,None,good,8 cylinders,4wd,diesel,green,196000,None,clean,automatic,None,7900
ford f250,2000,None,good,10 cylinders,4wd,gas,white,249000,None,clean,manual,truck,6300
