make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Chevy Camaro SS,1999,None,excellent,8 cylinders,rwd,gas,red,141200,mid-size,clean,manual,coupe,8500
Gmc Sonoma,2003,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,1
Chevrolet Silverado,2004,None,good,8 cylinders,4wd,gas,blue,225000,full-size,clean,automatic,truck,5500
gmc 1500 sierra denali,2002,None,None,8 cylinders,None,gas,None,None,None,rebuilt,automatic,None,5850
Trd,2009,None,None,None,None,gas,None,None,None,clean,manual,None,18900
honda crv,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
chevrolet corvette,1978,None,None,None,None,gas,None,85000,None,clean,automatic,None,15000
RANCHEROS,1979,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,1800
FORD  A,1931,432167,excellent,8 cylinders,rwd,gas,blue,9999999,None,clean,automatic,None,16000
ford f250,1997,None,None,None,None,diesel,None,304000,None,clean,automatic,None,2900
gmc 1500 sierra,2005,None,None,None,None,gas,None,132000,None,clean,automatic,None,9300
ford explorer,2005,1FMZU73KX5UA47078,good,8 cylinders,4wd,gas,blue,251060,full-size,clean,automatic,SUV,2950
Chevrolet 1500 Silverado,2014,None,like new,8 cylinders,4wd,gas,red,41000,None,rebuilt,automatic,pickup,31000
Ford F350,2015,None,excellent,8 cylinders,4wd,diesel,white,89344,None,clean,automatic,None,47000
pontiac g5,2007,None,good,4 cylinders,fwd,gas,silver,115000,mid-size,clean,automatic,None,3500
dodge ram 1500,2011,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,13000
dodge ramcharger,1989,None,fair,8 cylinders,4wd,gas,black,132000,full-size,clean,automatic,SUV,2200
chevrolet 1500 silverado,2000,None,good,8 cylinders,4wd,gas,white,248000,full-size,clean,automatic,truck,3500
chrysler 200,2012,None,excellent,6 cylinders,fwd,gas,blue,None,mid-size,rebuilt,automatic,sedan,8500
Mercedes Benz ML 320,2000,None,excellent,6 cylinders,4wd,gas,white,202000,None,clean,automatic,SUV,2700
ford f350,2006,None,None,None,None,diesel,None,None,None,clean,automatic,None,25000
hyundai elantra,2016,None,excellent,4 cylinders,fwd,gas,blue,43000,mid-size,clean,automatic,sedan,14500
Gmc,1972,None,good,8 cylinders,rwd,gas,black,00000000,full-size,clean,automatic,pickup,3900
