make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Chevy,1994,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
honda cr-v,1997,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,1900
honda cr-v,2005,None,None,None,4wd,gas,None,132000,None,clean,automatic,None,5200
chevy trailblazer,2006,None,good,6 cylinders,4wd,gas,white,143000,mid-size,clean,automatic,SUV,5600
Honda Fit,2007,None,like new,None,None,gas,None,52000,None,clean,automatic,None,5700
oldsmobile cutless supreme,1994,None,good,6 cylinders,fwd,gas,white,190000,mid-size,clean,automatic,coupe,2100
nissan titan,2006,None,None,None,None,gas,None,138500,None,clean,automatic,None,9300
oldsmobile cutless supreme,1994,None,good,6 cylinders,fwd,gas,white,190000,mid-size,clean,automatic,coupe,2100
oldsmobile cutless supreme,1994,None,good,6 cylinders,fwd,gas,white,190000,mid-size,clean,automatic,coupe,2100
ford f250 super duty,2001,None,excellent,None,4wd,diesel,white,52000,None,clean,automatic,pickup,25000
Mustang gt,2000,None,good,None,None,gas,None,None,None,clean,manual,None,4500
dodge dakota quad cab slt,2004,None,None,None,None,gas,None,165000,None,clean,automatic,None,4200
chevy malibu,2000,None,good,6 cylinders,fwd,gas,brown,124000,mid-size,clean,automatic,None,2300
chevrolet 1500 silverado,1994,None,fair,8 cylinders,rwd,gas,green,None,full-size,clean,manual,pickup,150
chevrolet blazer,1999,None,good,6 cylinders,rwd,gas,grey,None,mid-size,missing,automatic,None,800
chevrolet colorado,2006,None,excellent,4 cylinders,rwd,gas,white,250000,None,clean,automatic,pickup,3500
Hyundai Sonata GLS,2006,None,excellent,6 cylinders,rwd,gas,white,17187,full-size,clean,automatic,sedan,3900
nissan altima,2005,None,None,6 cylinders,None,gas,grey,None,None,rebuilt,automatic,sedan,2650
dodge ram,1987,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
Chevrolet 1500 silverado,2003,None,None,8 cylinders,4wd,gas,None,217000,None,clean,automatic,None,5500
jeep grand cherokee limited,2004,None,None,8 cylinders,4wd,gas,None,212000,None,clean,automatic,None,2600
ford escape,2011,None,None,None,None,gas,None,98000,None,salvage,automatic,None,5000
honda accord,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,5200
bmw 328i,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,5200
chevy impala ltz,2004,None,fair,6 cylinders,fwd,gas,white,None,mid-size,clean,automatic,sedan,550
ford ranger,1998,None,good,6 cylinders,rwd,gas,white,None,mid-size,clean,automatic,None,2345
pontiac grand am,2001,None,good,6 cylinders,fwd,gas,black,199000,mid-size,clean,automatic,coupe,1695
chevy trailblazer,1999,None,good,6 cylinders,rwd,gas,red,None,mid-size,clean,automatic,SUV,1456
chevy impala ls,2005,None,good,6 cylinders,fwd,gas,silver,None,mid-size,clean,automatic,sedan,2365
chevy trailblazer,2004,None,good,6 cylinders,fwd,gas,silver,None,mid-size,clean,automatic,None,2445
chevy impala,1964,None,None,None,None,gas,None,None,None,clean,automatic,None,6800
