make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
dodge dakota quad cab,2004,None,None,None,None,gas,None,165000,None,clean,automatic,None,4200
honda accord lx,2001,None,good,4 cylinders,fwd,gas,silver,300000,mid-size,clean,automatic,sedan,1300
vw passat,2000,None,fair,6 cylinders,fwd,gas,None,108000,mid-size,rebuilt,automatic,sedan,1400
jeep cj 7,1984,None,like new,8 cylinders,4wd,gas,red,94000,mid-size,clean,manual,None,10500
Ford Ranger,1969,None,None,None,None,gas,None,None,None,clean,automatic,None,19500
ford expedition,2006,None,None,8 cylinders,4wd,gas,white,139000,None,clean,automatic,None,6900
Hyundai Azera,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1555
toyota tacoma 4x4,1998,None,None,None,None,gas,None,None,None,clean,manual,None,7500
ford taurus ses,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
honda accord lx,1998,None,fair,6 cylinders,fwd,gas,silver,220330,compact,clean,automatic,sedan,600
chevrolet s10 pickup,1999,None,None,None,None,gas,None,170000,None,clean,manual,None,2600
Dodge Charger SXT,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,6000
chevrolet corvette,1979,None,good,8 cylinders,rwd,gas,white,None,None,clean,automatic,None,12000
Tacoma,2005,None,excellent,6 cylinders,4wd,gas,blue,None,full-size,clean,automatic,pickup,2000
ford ranger,2004,None,good,6 cylinders,rwd,gas,grey,169000,mid-size,clean,automatic,pickup,4000
nissan maxima,2012,None,None,None,None,gas,None,78000,None,clean,automatic,None,25
toyota camry xle,2002,None,good,6 cylinders,fwd,gas,None,97000,None,clean,automatic,None,4500
chevy sedan delivery,1953,D53b040946,fair,8 cylinders,rwd,gas,grey,None,full-size,clean,automatic,wagon,3250
Integra GSR 2 door,1996,None,excellent,None,None,gas,green,None,None,clean,manual,None,498
Nissan Rogue,2009,None,good,6 cylinders,fwd,gas,silver,151000,mid-size,clean,automatic,SUV,3995
toyota tacoma,1987,None,None,None,None,gas,None,None,None,clean,manual,None,3000
mercury cyclone,1966,None,good,8 cylinders,rwd,gas,None,None,full-size,salvage,automatic,sedan,2000
Ford Mustang,1993,None,None,None,None,gas,None,None,None,clean,manual,None,7500
Jeep Grand Cherokee Limited,2004,1J4GW58N74C397411,good,8 cylinders,4wd,gas,silver,None,full-size,clean,automatic,SUV,4750
chevrolet tahoe z71,2006,None,None,None,rwd,gas,None,None,None,clean,automatic,SUV,6850
Freightliner FLD,1990,None,good,8 cylinders,None,diesel,white,None,None,clean,manual,truck,10000
volkswagen passat,2003,None,None,None,None,gas,None,None,None,rebuilt,manual,None,600
chevy tahoe lt,2007,None,None,None,None,gas,None,204000,None,clean,automatic,None,13500
ford thunderbird,1964,None,excellent,None,None,gas,blue,None,full-size,clean,automatic,None,10900
gmc yukon,2009,None,excellent,8 cylinders,rwd,gas,red,160000,full-size,clean,automatic,SUV,14995
crown vic police interceptor,2002,None,None,None,None,gas,green,103227,None,clean,automatic,None,2100
Chevrolet Cavalier,1995,None,None,4 cylinders,fwd,gas,blue,167200,compact,clean,automatic,coupe,850
geo prism,1996,1Y1SK5266TZ019570,fair,4 cylinders,fwd,gas,None,116000,None,clean,automatic,sedan,500
