make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
infiniti g37 coupe,2008,None,like new,6 cylinders,rwd,gas,red,None,mid-size,clean,automatic,coupe,12500
Ford mustang,1985,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
jeep grand cherokee laredo 4x4,1998,None,None,None,None,gas,None,156000,None,clean,automatic,None,1800
ford taurus sel,2007,None,good,6 cylinders,None,gas,green,138000,None,clean,automatic,None,2800
nissan murano,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
dodge ram 3500,1995,None,fair,6 cylinders,4wd,diesel,None,256000,full-size,clean,automatic,pickup,5500
mitsubishi montero sport,2002,None,good,6 cylinders,4wd,gas,black,150000,mid-size,clean,automatic,SUV,3000
lincoln town car,1988,None,fair,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,None,1700
bmw 325i,2005,None,good,6 cylinders,rwd,gas,silver,None,None,clean,automatic,None,4500
Acura tsx,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3600
scion xb,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
Bmw,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,3700
Corolla,2008,None,excellent,4 cylinders,None,gas,None,None,None,clean,automatic,None,2800
Chevrolet nova,1970,None,None,None,None,gas,None,None,None,clean,automatic,None,15500
toyota matrix xr,2005,None,None,None,None,gas,None,164000,None,clean,automatic,None,4000
hyundai accent gs,2015,KMHCT5AE6FU216301,excellent,4 cylinders,fwd,gas,white,33000,sub-compact,clean,automatic,hatchback,9700
Toyota Camry,2009,None,excellent,4 cylinders,None,gas,grey,105000,full-size,rebuilt,automatic,sedan,5999
BMW 328i,2007,None,good,6 cylinders,fwd,gas,white,175000,full-size,clean,automatic,coupe,5000
Ford Ranger,2005,None,excellent,4 cylinders,fwd,gas,white,None,None,rebuilt,automatic,None,3600
chevrolet malibu,2004,None,good,4 cylinders,None,gas,silver,150000,mid-size,rebuilt,automatic,sedan,2000
Ford Explorer,2010,None,excellent,6 cylinders,4wd,gas,white,71000,None,clean,automatic,None,3500
Pontiac Grand Prix,1995,None,fair,6 cylinders,None,gas,white,106450,None,clean,automatic,None,660
Ford,2003,None,good,6 cylinders,fwd,gas,black,135000,full-size,clean,automatic,sedan,2500
international,1988,None,None,None,None,diesel,None,None,None,clean,manual,None,7900
chevrolet malibu,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Dodge Ram 1500,1996,None,None,8 cylinders,4wd,gas,blue,None,mid-size,clean,manual,pickup,3000
Dodge w250 ram,1992,None,None,6 cylinders,4wd,diesel,None,None,None,clean,manual,None,3500
Jeep,1991,None,None,None,None,gas,None,None,None,clean,manual,None,1
honda accord 2-door coupe,2008,None,excellent,4 cylinders,fwd,gas,black,108000,compact,clean,automatic,coupe,8500
Dodge Ram 3500,2008,None,good,None,4wd,diesel,red,None,full-size,clean,manual,truck,25000
Toyota Prius,2009,None,None,None,None,hybrid,None,104000,None,clean,automatic,None,7500
Nissan Truck,1995,None,None,None,None,gas,None,230000,None,clean,manual,None,850
ford taurus,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
porsche boxster,2004,wp0CA298X4U620514,good,None,None,gas,blue,98062,None,clean,automatic,convertible,10000
jeep grand cherokee,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3850
bmw x5 3.0i awd,2015,None,excellent,6 cylinders,4wd,gas,white,52000,full-size,clean,automatic,SUV,33800
Mercedes Benz SLK 250,2012,None,like new,4 cylinders,rwd,gas,blue,32492,full-size,clean,automatic,convertible,27990
land rover range rover evoque,2012,None,excellent,4 cylinders,4wd,gas,black,92775,full-size,clean,automatic,SUV,24500
porsche 911 cabriolet,2016,None,like new,6 cylinders,4wd,gas,orange,None,mid-size,clean,automatic,convertible,188000
ford fiesta,2015,None,excellent,4 cylinders,fwd,gas,black,47050,compact,clean,manual,sedan,14990
bmw x5 3.0i awd,2012,None,excellent,6 cylinders,4wd,gas,brown,95574,full-size,clean,automatic,SUV,18999
cadillac srx luxury,2013,None,excellent,6 cylinders,fwd,gas,white,83390,full-size,clean,automatic,SUV,18500
Mercedes Benz SL 550 AMG,2005,None,excellent,8 cylinders,rwd,gas,silver,82788,mid-size,clean,automatic,convertible,20990
chevy sonic,2017,None,like new,4 cylinders,fwd,gas,green,28268,compact,clean,automatic,hatchback,15990
vw beetle,2015,None,excellent,4 cylinders,fwd,gas,brown,45583,compact,clean,automatic,convertible,16500
chevrolet silverado,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,9850
Chevrolet Corvette L79 Edition,1968,None,good,8 cylinders,rwd,gas,blue,16700,sub-compact,clean,manual,convertible,12500
Dodge w250,1991,None,good,6 cylinders,4wd,diesel,red,258000,full-size,clean,automatic,pickup,6500
acura tl,2013,None,excellent,6 cylinders,None,gas,None,23000,None,salvage,automatic,None,12950
bmw 3-series 325i sedan,2005,WBAET37495NJ88872,None,6 cylinders,rwd,gas,blue,177000,None,clean,automatic,sedan,4750
chevrolet silverado 2500hd,2004,None,good,8 cylinders,rwd,diesel,black,154000,full-size,rebuilt,automatic,truck,18000
subaru forester,2010,JF2SH6AC4AH731628,excellent,4 cylinders,None,gas,green,208500,None,clean,automatic,SUV,4000
Toyota Corolla,2003,None,None,None,None,gas,None,None,None,parts only,other,None,1
chevrolet equinox,2008,None,excellent,6 cylinders,fwd,gas,red,108,mid-size,clean,automatic,SUV,4900
Chevrolet Silverado,2004,None,good,8 cylinders,4wd,gas,blue,225000,full-size,clean,automatic,truck,5500
Ford f-350,1971,None,None,None,None,gas,None,None,None,clean,manual,None,1700
ford e150 econoline,1990,1FDEE14N9LHA43241,good,8 cylinders,rwd,gas,white,113820,full-size,clean,automatic,van,2500
chevrolet blazer,2000,1GNDT13W7Y2239454,fair,6 cylinders,4wd,gas,brown,None,mid-size,clean,automatic,SUV,1000
f100,1966,None,None,None,None,gas,None,None,None,clean,manual,None,21000
cadillac xlr,2004,None,None,None,None,gas,None,93000,None,clean,automatic,None,9800
thomas bus,1995,None,good,None,None,gas,custom,None,None,clean,automatic,bus,2700
Pontiac,1933,None,excellent,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,sedan,16000
Buick Regal,1982,None,None,None,None,gas,None,None,None,clean,automatic,None,1650
Nissan,1994,None,None,None,None,gas,None,None,None,clean,manual,None,1500
saturn sl,1998,None,good,4 cylinders,fwd,gas,green,172000,None,clean,manual,None,1500
jeep wrangler x,2008,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,15200
LEXUS,2002,1FAHP60A74Y103441,like new,8 cylinders,rwd,gas,black,110219,None,clean,automatic,None,9990
ford f350,2004,None,good,8 cylinders,4wd,diesel,black,None,None,clean,automatic,None,17900
Acura Rsx,2005,None,good,4 cylinders,fwd,gas,grey,160000,None,rebuilt,automatic,coupe,3500
Ford Roadster,1932,None,None,None,None,gas,None,None,None,clean,manual,None,22000
accord sedan honda,2011,None,excellent,4 cylinders,fwd,gas,grey,102000,full-size,rebuilt,automatic,sedan,6000
honda accord,2011,None,good,4 cylinders,fwd,gas,grey,103000,full-size,rebuilt,automatic,sedan,6000
gmc 1500 sierra denali,2002,None,None,8 cylinders,None,gas,None,None,None,rebuilt,automatic,None,5850
jeep cj 7,1984,None,like new,8 cylinders,4wd,gas,red,None,None,clean,manual,None,10500
dodge ram 2500,1999,None,excellent,6 cylinders,4wd,diesel,white,109000,full-size,clean,automatic,truck,1600
dodge challenger srt8,2012,None,None,8 cylinders,rwd,gas,None,23000,None,rebuilt,manual,None,19900
toyota tacoma,2003,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,6300
Chevy s10,1990,None,None,None,None,gas,None,None,None,clean,manual,None,1000
Streetbeasts,2016,None,new,None,None,gas,None,None,None,clean,other,None,8500
Ford F-250,2005,None,None,None,4wd,diesel,None,None,None,clean,automatic,None,14500
mercury grand marquis,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,3800
Chevy pickup,1940,?,excellent,8 cylinders,rwd,gas,silver,10000,full-size,clean,automatic,pickup,9000
Jeep Cherokee xj,1990,None,fair,6 cylinders,4wd,gas,None,160,None,clean,automatic,None,1600
buick lacrosse cx,2005,None,None,None,None,gas,None,60000,None,clean,automatic,None,6200
chrysler 300,2005,None,excellent,6 cylinders,None,gas,white,None,None,clean,automatic,None,4100
dodge dakota,1998,None,good,6 cylinders,rwd,gas,yellow,260000,mid-size,clean,automatic,truck,1300
FORD  A,1931,653972,excellent,8 cylinders,rwd,gas,blue,9999999,None,clean,automatic,None,16000
Ford,1960,None,None,None,None,gas,None,None,None,clean,automatic,None,800
nissan titan,2006,None,excellent,8 cylinders,4wd,gas,silver,172000,None,rebuilt,automatic,None,7500
mazda rx8,2004,None,good,None,None,gas,None,None,None,clean,automatic,None,2200
mercedes-benz c-class c230 sport,2007,None,excellent,None,None,gas,None,160000,None,clean,automatic,None,4800
dodge ram 2500 cummins,2001,None,good,None,rwd,diesel,white,364000,full-size,clean,automatic,truck,8500
chevy s10 pickup,1995,2468097531,good,4 cylinders,rwd,gas,custom,158000,mid-size,clean,automatic,pickup,4500
jeep wrangler,2004,None,None,None,None,gas,None,None,None,clean,manual,None,1
FORD F-150,2000,None,good,8 cylinders,4wd,gas,white,188000,full-size,clean,automatic,pickup,3500
