make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Toyota Tundra,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1593
infiniti g37 coupe,2008,None,like new,6 cylinders,rwd,gas,red,75000,mid-size,clean,automatic,coupe,12800
infiniti g37,2008,None,like new,6 cylinders,rwd,gas,red,None,mid-size,clean,automatic,coupe,12800
Shelby Mustang,2006,None,excellent,None,None,gas,None,18700,None,clean,automatic,None,35000
chevy avalanche,2005,None,None,8 cylinders,4wd,gas,None,250000,full-size,clean,automatic,truck,4000
buick lesabre,1997,None,good,None,rwd,gas,custom,118000,full-size,clean,automatic,None,1200
acura 3.2tl,2003,None,like new,6 cylinders,None,gas,green,125600,mid-size,clean,automatic,None,3750
toyota camry,2017,None,good,4 cylinders,fwd,gas,silver,44000,mid-size,clean,automatic,sedan,15500
Toyota Camry SE,2014,None,good,4 cylinders,fwd,gas,silver,89000,mid-size,clean,automatic,sedan,12500
chevrolet tahoe lt 4wd,2007,None,good,8 cylinders,4wd,gas,brown,135000,full-size,clean,automatic,SUV,10500
Toyota Sequoia,2006,None,excellent,8 cylinders,4wd,gas,black,202000,full-size,clean,automatic,SUV,8000
Jeep Wrangler,2007,None,fair,6 cylinders,rwd,gas,black,167381,None,clean,manual,None,9300
lincoln town car,1994,None,good,8 cylinders,fwd,gas,blue,155000,full-size,clean,automatic,None,1
chevy s10 pickup,2003,1gccs19h238254868,like new,4 cylinders,rwd,gas,white,37800,full-size,rebuilt,automatic,pickup,4500
Isuzu humre,1996,None,good,4 cylinders,rwd,gas,green,None,mid-size,clean,manual,pickup,1500
Hillman EZ Clone,2016,None,None,None,None,other,None,None,None,clean,other,None,750
Hillman EZ Clone,2016,None,None,None,None,other,None,None,None,clean,other,None,750
chevrolet monte carlo ss,1988,None,excellent,8 cylinders,rwd,gas,red,2000,full-size,clean,automatic,coupe,16500
jeep grand cherokee,2012,None,excellent,8 cylinders,4wd,gas,None,None,None,rebuilt,automatic,None,15500
ford f150 4wd,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1
Toyota Sienna XLE,2006,None,excellent,6 cylinders,fwd,gas,green,None,mid-size,clean,automatic,van,5950
mitsubishi eclipse gs 2dr hatchb,2005,None,None,4 cylinders,fwd,gas,red,193000,compact,clean,automatic,hatchback,3500
Nissan Armada,2006,5N1AA08C68N608809,good,8 cylinders,4wd,gas,silver,184774,None,clean,automatic,None,6000
dodge charger,2008,None,None,None,None,gas,black,None,None,clean,automatic,None,4800
Chevy s10,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,500
mazda protege,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1200
toyota tacoma,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,9450
cadillac dts,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,7000
jeep grand cherokee limited,2005,None,None,None,None,gas,None,94000,None,rebuilt,automatic,None,7200
Honda Accord EX,2014,ask if interested,excellent,4 cylinders,fwd,gas,silver,40300,mid-size,rebuilt,automatic,sedan,11700
cadillac cts,2006,1G6DP577960125572,good,6 cylinders,rwd,gas,white,153206,None,clean,automatic,None,3500
Chevrolet blazer,2000,None,None,None,None,gas,None,290000,None,clean,automatic,None,1200
Ford coupe,1934,None,excellent,8 cylinders,rwd,gas,red,4000,full-size,clean,automatic,coupe,36000
cadillac escalade,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,123456
chevrolet 1500 tahoe,2009,None,excellent,8 cylinders,4wd,gas,None,148500,None,clean,automatic,None,1234567
chevrolet 1500 tahoe,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,1234567
Ford Econoline,1990,None,None,None,None,gas,None,None,None,clean,automatic,None,600
jeep commander,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
dodge challenger,2014,None,excellent,6 cylinders,rwd,gas,silver,None,mid-size,clean,automatic,coupe,16500
Honda Odyssey,2008,None,good,None,None,gas,grey,173800,None,clean,automatic,None,5500
mercury grand marquis,2003,None,good,8 cylinders,rwd,gas,None,None,full-size,clean,automatic,None,1500
Chevy Tahoe,1999,None,excellent,8 cylinders,4wd,gas,white,149000,full-size,clean,automatic,SUV,4500
saturn outlook xr awd,2008,None,good,6 cylinders,4wd,gas,grey,173604,None,clean,automatic,None,6500
Chevolet Silverado,2004,None,good,8 cylinders,4wd,gas,blue,225000,full-size,clean,automatic,truck,5500
dodge ram 1500 4x4,2014,None,excellent,6 cylinders,4wd,gas,brown,None,None,clean,automatic,truck,28000
nissan altima 2.5 sl,2008,None,good,4 cylinders,fwd,gas,white,155000,full-size,clean,automatic,sedan,8000
Volvo 850,1996,None,None,5 cylinders,fwd,gas,white,300000,full-size,clean,automatic,sedan,1500
topper,2000,None,None,None,None,other,None,None,None,clean,other,None,250
chevy impala,2013,None,like new,6 cylinders,fwd,gas,silver,48000,full-size,clean,automatic,sedan,13000
dodge ramcharger,1989,None,fair,8 cylinders,4wd,gas,black,135000,full-size,clean,automatic,SUV,2200
