make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
honda civic,2002,None,None,None,None,gas,None,None,None,salvage,automatic,None,1500
chevy silverado 1500,1989,None,good,8 cylinders,rwd,gas,custom,112000,full-size,clean,automatic,truck,1400
Jeep Liberty,2011,None,excellent,6 cylinders,4wd,gas,grey,93893,mid-size,clean,automatic,None,11500
ford f-250,1960,None,good,8 cylinders,4wd,gas,None,None,None,missing,manual,None,5600
1957 210 2 door,1957,None,None,None,None,gas,None,None,None,clean,other,None,5500
AMC Hornet,1977,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
mitsubishi eclipse GT,2008,None,good,None,None,gas,None,None,None,salvage,automatic,None,2000
Ford mustang,1991,None,good,8 cylinders,rwd,gas,grey,160000,None,clean,manual,hatchback,7999
hyundai elantra,2007,None,fair,4 cylinders,fwd,gas,brown,None,None,salvage,automatic,sedan,1100
toyota corolla ce,2004,None,excellent,4 cylinders,rwd,gas,black,162,mid-size,clean,automatic,sedan,2700
acura tl,2004,None,excellent,6 cylinders,fwd,gas,white,None,full-size,clean,automatic,sedan,1000
Subaru Forester wagon,2006,None,None,None,None,gas,None,207000,None,clean,automatic,None,3400
chevrolet silverado,2008,None,like new,8 cylinders,4wd,diesel,grey,None,full-size,clean,automatic,None,40000
jaguar xf luxury,2014,SAJWJ0EF7E8U30316,good,6 cylinders,4wd,gas,red,25500,mid-size,salvage,automatic,sedan,17995
smiling all the way home.,2003,None,excellent,6 cylinders,fwd,gas,white,None,full-size,clean,automatic,sedan,1000
Mercedes Benz,1969,None,excellent,None,None,gas,None,None,None,clean,automatic,None,17000
chevrolet 1500 silverado,1988,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
kia optima,2005,None,None,None,None,gas,None,148655,None,clean,automatic,None,1600
dodge caravan,2002,None,None,None,None,gas,None,173322,None,clean,automatic,None,2200
honda odyssey lx,2005,None,None,None,None,gas,None,131856,None,clean,automatic,None,3600
toyta camry,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
Mini Cooper S,2012,WMWSV3C52CTY29056,excellent,4 cylinders,fwd,gas,blue,61800,compact,clean,manual,coupe,9950
chevy 2500hd,2002,None,good,8 cylinders,4wd,gas,silver,262330,None,clean,automatic,None,3500
mitsubishi lancer evolution evo,2003,None,good,4 cylinders,4wd,gas,silver,140000,mid-size,clean,manual,sedan,7500
CHEVY SPARK LT,2013,None,None,None,None,gas,None,98550,None,clean,automatic,None,4800
ford ranger,1997,None,None,None,None,gas,None,None,None,clean,manual,None,2200
Toyota Camry,2002,None,excellent,6 cylinders,fwd,gas,grey,94900,full-size,clean,automatic,sedan,6250
Dodge RAM LE 150 Short Bed,1990,None,good,8 cylinders,rwd,gas,red,119000,None,clean,manual,None,3500
chrysler town & country lx,2008,2A8HR44H48R721691,good,6 cylinders,fwd,gas,silver,141000,mid-size,clean,automatic,mini-van,3950
Lexus IS350,2008,JTHBE262585017503,good,6 cylinders,rwd,gas,grey,149000,mid-size,clean,automatic,sedan,6950
ford f250 super duty,2014,None,excellent,None,4wd,diesel,white,104744,None,lien,automatic,truck,40000
Ford Hot Rod,1940,None,excellent,8 cylinders,rwd,gas,red,None,None,clean,automatic,None,55000
Subaru WRX Impreza,2003,None,good,4 cylinders,None,gas,black,90000,None,clean,manual,sedan,7500
Lincoln LS,2004,None,excellent,6 cylinders,rwd,gas,None,99800,mid-size,clean,automatic,sedan,2500
jeep wrangler unlimited,2006,None,excellent,6 cylinders,4wd,gas,white,30200,None,clean,automatic,None,23500
Acura RSX,2006,None,excellent,4 cylinders,fwd,gas,grey,None,compact,clean,automatic,None,5500
subaru impreza wagon wrx,2005,None,fair,6 cylinders,4wd,gas,red,130000,compact,clean,manual,wagon,7800
honda pilot,2008,None,like new,6 cylinders,4wd,gas,None,102,None,clean,automatic,None,7250
Chrysler 300,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,5400
honda civic lx,2001,None,good,4 cylinders,fwd,gas,None,None,None,clean,manual,None,2000
chevrolet 1500 silverado,2006,None,excellent,8 cylinders,4wd,gas,white,None,None,salvage,automatic,pickup,3900
DODGE DAKOTA,2003,None,good,8 cylinders,4wd,gas,None,116200,None,salvage,manual,None,5500
Bmw,1998,None,None,12 cylinders,None,gas,None,None,None,clean,automatic,None,700
saturn vue,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1250
toyota camry,2005,None,None,6 cylinders,None,gas,None,None,None,clean,automatic,None,3950
chevy impala ltz,2009,None,None,None,None,gas,None,None,None,salvage,automatic,None,4500
Buick,1994,None,None,None,None,gas,None,None,None,salvage,automatic,None,1200
Dodge Ram 1500,2012,None,like new,8 cylinders,fwd,gas,black,75156,None,clean,automatic,truck,18750
chevy monte carlo,1981,None,good,8 cylinders,rwd,gas,red,10000,mid-size,clean,automatic,coupe,3000
honda crx si,1991,None,None,None,None,gas,None,None,None,clean,manual,None,3800
ford f-150,2003,None,fair,8 cylinders,4wd,gas,red,177000,full-size,clean,automatic,truck,5900
GMC Sonoma,1991,None,None,None,None,gas,None,None,None,clean,automatic,None,15000
ford expedition,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1850
acura integra,1994,None,None,None,None,gas,None,None,None,clean,manual,None,3500
mini cooper,2012,None,None,None,None,gas,None,None,None,clean,manual,None,9900
Pontiac Grand Prix,1994,None,good,6 cylinders,None,gas,red,138241,None,clean,automatic,None,650
ford f-150,2006,None,good,8 cylinders,None,gas,None,None,full-size,clean,automatic,pickup,6500
Mitsubishi Eclipse GS,2007,None,good,4 cylinders,None,gas,None,105700,None,salvage,automatic,None,4000
