make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford mustang,2007,None,fair,6 cylinders,rwd,gas,blue,None,None,clean,automatic,coupe,2000
honda accord,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2100
dodge ram 1500,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
Nissan versa,2014,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,6300
kia forte,2010,None,None,4 cylinders,None,gas,None,120000,None,rebuilt,automatic,None,3800
Toyota Tacoma,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1581
Ford F-150,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2532
GMC 2500 HIGH SIERRA,1986,None,good,8 cylinders,rwd,gas,white,138000,full-size,clean,automatic,truck,3500
GMC 2500 HIGH SIERRA,1986,None,good,8 cylinders,rwd,gas,white,138000,full-size,clean,automatic,truck,3500
ford escape limited,2005,None,like new,6 cylinders,4wd,gas,None,200000,None,clean,automatic,None,33
kia sedona,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2450
alero oldsmobile,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,2250
Toyota FJ Cruiser,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1538
Toyota Tacoma,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1535
any,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,15000
Volvo XC90,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1513
Toyota,1986,None,None,4 cylinders,fwd,gas,None,None,None,clean,manual,None,2000
toyota land cruiser,1992,None,good,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,offroad,1200
toyota land cruiser,1992,None,good,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,offroad,1200
ford explorer xlt,2005,None,excellent,6 cylinders,None,gas,white,None,None,clean,automatic,SUV,5700
ford f350,2006,None,good,8 cylinders,4wd,diesel,white,170000,full-size,clean,automatic,pickup,5000
Mazda Rx8,2005,None,good,None,rwd,gas,black,115000,None,clean,automatic,coupe,2500
Ford P.U.,1968,None,None,None,None,gas,None,None,None,clean,manual,None,2900
hyundai accent,2012,None,excellent,None,None,gas,None,70000,full-size,rebuilt,automatic,None,5500
honda civic,2009,None,excellent,None,None,gas,None,70000,full-size,rebuilt,automatic,None,5500
Volkswagen Jetta,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1595
Dodge ram,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1
Nissan Murano,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,2016
Chevy,1936,None,None,None,None,gas,None,None,None,clean,manual,None,7500
chevrolet 1500 silverado,2010,None,None,6 cylinders,None,gas,black,None,None,clean,automatic,None,7500
chevrolet 1500,1997,None,None,6 cylinders,None,gas,None,163000,None,clean,automatic,None,3300
Chevrolet El Camino,1984,None,good,other,None,gas,None,None,None,clean,automatic,None,9500
Bmw x5,2011,None,excellent,8 cylinders,4wd,gas,silver,74000,full-size,clean,automatic,SUV,18500
gmc,1995,None,good,4 cylinders,None,gas,blue,180000,None,clean,manual,pickup,2500
Chevy Corvair Monza,1965,None,salvage,None,None,gas,red,None,mid-size,salvage,other,coupe,10000
hyundai santa fe,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,5200
jeep wrangler unlimited,2015,None,like new,5 cylinders,4wd,gas,blue,56600,None,clean,automatic,SUV,31000
mini cooper s countryman,2014,None,excellent,4 cylinders,fwd,gas,silver,36000,compact,clean,automatic,hatchback,17000
nissan maxima,2004,None,excellent,6 cylinders,fwd,gas,blue,None,None,clean,automatic,None,1400
hyundai sonata gls,2008,SNPET46C28H357667,good,4 cylinders,fwd,gas,silver,150000,mid-size,clean,automatic,sedan,5000
jaguar x-type,2002,None,None,6 cylinders,None,gas,None,113000,None,clean,automatic,None,2800
ford aerostar van,1993,None,None,6 cylinders,rwd,gas,None,138000,None,clean,automatic,None,1000
Jeep Wrangler,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2525
nissan murano,2011,JN8AZ1MUXBW054147,excellent,6 cylinders,fwd,gas,white,104404,full-size,clean,automatic,SUV,10999
nissan maxima,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,1545
Ford Fusion,2011,None,good,6 cylinders,None,gas,black,126000,None,clean,automatic,sedan,9750
ford f250,1966,None,fair,None,None,gas,None,None,None,clean,manual,None,1800
maxima,2004,None,excellent,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,1400
Volvo XC90,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1598
Toyota Tacoma,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1522
Toyota Camry,2009,None,excellent,4 cylinders,None,gas,None,73000,full-size,clean,automatic,None,1500
Volkswagen Jetta,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1590
GMC C7500,2007,None,excellent,6 cylinders,rwd,diesel,white,128000,None,clean,automatic,None,21900
Cadillac CTS,2014,1G6AV5S89E0172477,like new,6 cylinders,None,gas,red,10500,mid-size,clean,automatic,None,39500
Toyota FJ Cruiser,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1598
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1574
hyndai accent,2012,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,5500
mitsubishi mirage,2015,None,like new,4 cylinders,None,gas,red,30000,full-size,clean,automatic,hatchback,4500
ford f100,1978,None,good,8 cylinders,4wd,gas,blue,None,None,clean,automatic,pickup,2500
Roadster,1929,None,excellent,8 cylinders,rwd,gas,yellow,None,None,clean,manual,other,17000
hyundai elantra,2014,None,excellent,None,None,gas,None,79000,full-size,rebuilt,automatic,None,6000
