make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
vw passat,2007,None,excellent,6 cylinders,None,gas,black,134000,full-size,clean,automatic,sedan,4800
CADILLAC CTS AWD,2010,None,like new,6 cylinders,4wd,gas,red,50250,mid-size,rebuilt,automatic,None,8500
CHEVROLET MALIBU,2016,None,like new,4 cylinders,fwd,gas,grey,10500,full-size,rebuilt,automatic,None,10990
FORD ESCAPE TITANIUM,2013,None,like new,4 cylinders,4wd,gas,red,43570,sub-compact,clean,automatic,None,12995
HONDA CIVIC,2014,None,like new,4 cylinders,fwd,gas,blue,11650,compact,rebuilt,automatic,None,6995
Nissan sentra,2015,None,like new,4 cylinders,fwd,gas,black,17650,compact,clean,automatic,None,9995
NISSAN VERSA,2014,None,like new,4 cylinders,fwd,gas,grey,54300,compact,rebuilt,automatic,None,4995
Jeep Cherokee 4x4,1999,None,excellent,6 cylinders,4wd,gas,white,201000,mid-size,clean,automatic,None,2990
any,2018,None,None,None,None,gas,None,None,None,clean,manual,None,10
scion tc,2007,None,None,None,None,gas,None,130000,None,clean,manual,None,3100
toyota corolla,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,800
Honda Civic Ex,2012,None,like new,None,None,gas,grey,105000,None,salvage,automatic,coupe,1
jeep wrangler TJ,2003,None,None,6 cylinders,4wd,gas,None,175000,None,clean,manual,None,10500
Honda Odyssey Touring,2005,None,good,6 cylinders,fwd,gas,blue,210000,full-size,clean,automatic,mini-van,3400
chevrolet camaro,1967,None,good,8 cylinders,rwd,gas,blue,None,mid-size,clean,automatic,coupe,27500
ford f250 super duty diesel,2000,None,fair,8 cylinders,rwd,diesel,white,318000,full-size,clean,manual,truck,5850
nissan versa,2016,None,like new,4 cylinders,rwd,gas,blue,11000,compact,rebuilt,automatic,sedan,6000
nissan maxima,2003,None,excellent,None,None,gas,grey,None,None,clean,automatic,None,2500
FORD,1950,None,None,None,None,gas,None,None,None,clean,manual,None,10
ford f150,2001,None,None,None,None,gas,None,None,None,salvage,automatic,None,3500
Range Rover Supercharged,2008,None,excellent,8 cylinders,4wd,gas,black,None,None,clean,automatic,SUV,16000
dodge dakota,1996,None,like new,None,None,gas,blue,65000,mid-size,clean,automatic,None,2200
jeep wrangler,1988,None,good,4 cylinders,4wd,gas,green,None,None,rebuilt,manual,offroad,3500
P Torrent,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,4250
audi a4,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,5750
Chevy Silverado,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,11500
chevrolet suburban,1994,None,good,8 cylinders,4wd,gas,silver,None,full-size,clean,automatic,SUV,3650
Dodge Durango,2012,None,good,6 cylinders,rwd,gas,grey,97000,mid-size,clean,automatic,SUV,14500
Chevrolet impala,2013,None,good,6 cylinders,fwd,gas,black,76000,mid-size,rebuilt,automatic,sedan,5200
P g6,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
mazda tribute,2006,None,excellent,4 cylinders,fwd,gas,grey,100000,mid-size,rebuilt,automatic,SUV,2995
subaru forester awd,2004,None,None,None,None,gas,None,None,None,clean,manual,None,2650
infiniti g35,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
Audi a4,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,5450
ford ranchero,1968,None,fair,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,3500
ford expedition,2018,None,None,None,None,gas,None,None,None,clean,automatic,None,50
Dodge Challenger,2013,None,None,None,None,gas,None,None,None,salvage,automatic,None,9000
c10 chevy,1986,None,good,8 cylinders,4wd,gas,black,123456,full-size,clean,automatic,pickup,123456
chrysler town and country,2007,None,None,None,None,gas,white,None,None,clean,automatic,mini-van,2300
nissan altima,2005,None,good,4 cylinders,None,gas,red,159000,full-size,clean,automatic,sedan,2800
jeep wrangler sahara,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
mitsubishi mirage,2015,None,like new,3 cylinders,fwd,gas,black,41300,compact,rebuilt,automatic,hatchback,4300
chevy uplander,2006,None,None,None,None,gas,None,None,None,salvage,automatic,None,1000
CHEVY,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
Chevrolet Equinox LS,2016,None,excellent,4 cylinders,fwd,gas,grey,30996,None,rebuilt,automatic,SUV,9500
dodge durango slt,1999,None,good,8 cylinders,4wd,gas,green,None,None,clean,automatic,None,2000
chevrolet equinox LTZ,2015,None,excellent,6 cylinders,fwd,gas,red,15970,None,rebuilt,automatic,SUV,8500
chevrolet equinox,2016,None,excellent,4 cylinders,fwd,gas,silver,6400,None,rebuilt,automatic,SUV,10500
volkswagen passat,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,8999
honda odyssey 5dr ex-l,2006,None,excellent,6 cylinders,fwd,gas,grey,204000,mid-size,clean,automatic,mini-van,3800
MAZDA PROTEGE 5 HATCHBACK,2003,None,excellent,4 cylinders,rwd,gas,silver,None,compact,clean,automatic,hatchback,2895
Ford Focus,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
chevrolet camaro,2014,None,excellent,6 cylinders,None,gas,white,66248,compact,rebuilt,automatic,coupe,9900
Ford Excursion,2000,None,excellent,8 cylinders,4wd,diesel,None,250000,None,clean,automatic,None,12900
Ford,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,995
Ford F250 XL,1995,None,good,None,None,gas,white,None,None,clean,manual,truck,3295
Honda Accord,2001,None,None,None,None,gas,None,110000,None,clean,automatic,None,4000
chevy 2500hd,2002,None,good,8 cylinders,4wd,gas,silver,262330,None,clean,automatic,None,3500
jeep liberty,2005,None,good,6 cylinders,4wd,gas,None,None,None,clean,automatic,offroad,2800
chevrolet tahoe lt,2003,None,excellent,8 cylinders,rwd,gas,black,127131,full-size,rebuilt,manual,SUV,3500
mitsubishi lancer,2008,None,None,4 cylinders,fwd,gas,blue,113000,mid-size,clean,manual,sedan,2700
ONE TIME $60,2018,None,None,None,None,gas,None,None,None,clean,automatic,None,60
dodge neon sxt,2004,None,None,None,None,gas,None,136000,None,clean,manual,None,1900
Dodge LE 150 RAM,1990,None,good,8 cylinders,rwd,gas,red,119000,None,clean,manual,None,3500
ford f150 xlt,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
saab 9-3 aero convertible,2007,None,good,6 cylinders,fwd,gas,black,94195,None,salvage,automatic,convertible,4000
ford mustang gt,2016,1FA6P8CF2G5225107,excellent,8 cylinders,rwd,gas,white,24589,None,lien,manual,coupe,29500
HONDA,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Ford Mustang GT 45th ann,2004,None,good,8 cylinders,rwd,gas,red,107000,None,clean,manual,coupe,4500
Hyundai Azera,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1522
cadillac deville,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,8000
jeep cherokee,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
nissan versa 1.8 s,2012,None,excellent,4 cylinders,None,gas,None,87000,None,clean,automatic,None,5900
Chevy astro,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,995
dodge ram 1500,2003,None,good,8 cylinders,None,gas,red,109000,full-size,clean,automatic,pickup,8200
Chevrolet,1977,None,None,8 cylinders,rwd,gas,green,None,full-size,clean,automatic,mini-van,14000
FORD FUSION SEL,2009,None,good,6 cylinders,fwd,gas,white,120518,compact,rebuilt,automatic,sedan,3550
Chevrolet,1977,None,None,8 cylinders,rwd,gas,green,None,full-size,clean,automatic,mini-van,14000
FORD FOCUS,2016,None,None,None,None,gas,None,37000,None,rebuilt,automatic,None,5650
saturn vue awd v6,2004,None,good,6 cylinders,4wd,gas,blue,1740000,mid-size,clean,automatic,SUV,1900
chrysler town and country,2011,None,excellent,None,None,gas,white,99000,None,clean,automatic,mini-van,7800
chevy silverado 3500hd,2008,None,like new,other,rwd,diesel,white,110000,full-size,parts only,other,pickup,1500
Nissan Sentra SR,2012,None,None,None,None,gas,None,None,None,salvage,automatic,None,6000
volkswagen beetle,2004,None,good,4 cylinders,None,gas,grey,12000,None,clean,automatic,convertible,1200
Utility,2004,None,None,None,None,other,None,None,None,clean,other,None,9500
hunday,2003,None,good,4 cylinders,None,gas,black,None,None,salvage,manual,None,850
Mercedes S550,2013,WDDNG9EB5DA505,like new,8 cylinders,4wd,gas,black,1900,full-size,clean,automatic,sedan,60000
mercedes benz s550 4matic,2013,None,like new,8 cylinders,4wd,gas,black,1900,full-size,clean,automatic,None,60000
chevrolet 1500 silverado,2008,None,None,None,4wd,gas,None,None,None,clean,automatic,None,8500
ford fusion,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
Toyota Camry,2007,None,good,4 cylinders,None,gas,None,None,None,clean,automatic,None,4350
nissan murano,2004,None,excellent,None,fwd,gas,blue,121312,None,rebuilt,automatic,sedan,2500
Saab,2004,None,good,4 cylinders,None,gas,None,None,None,salvage,automatic,None,1550
Ram 1500 LoneStar 4X4,2013,None,excellent,8 cylinders,4wd,gas,black,74200,full-size,clean,automatic,pickup,23500
GMC Sierra SLT,2017,None,like new,8 cylinders,4wd,gas,grey,11800,full-size,rebuilt,automatic,None,35250
ford ranger,2002,None,good,6 cylinders,rwd,gas,white,190000,compact,clean,automatic,truck,1900
ford focus se,2012,None,excellent,4 cylinders,fwd,gas,black,45000,mid-size,rebuilt,automatic,sedan,3850
Hyundai Accent,2008,KMHCN46CX8U261322,like new,4 cylinders,None,gas,white,70646,compact,clean,automatic,sedan,3500
subaru impreza wrx,2002,None,None,4 cylinders,4wd,gas,None,151000,None,rebuilt,manual,wagon,6000
Aura,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,2250
Aveo,2007,None,None,None,None,gas,None,130000,None,clean,automatic,None,1500
nissan altima,2013,None,excellent,4 cylinders,fwd,gas,grey,None,mid-size,clean,automatic,sedan,10500
mini cooper,2003,None,None,None,None,gas,None,None,None,clean,manual,None,1600
mitsubishi eclipse,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,3700
FORD EDGE AWD SE EDITION,2008,None,excellent,6 cylinders,None,gas,black,None,None,clean,automatic,None,5295
chevrolet malibu,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1100
buick,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,750
nissan altima,2013,None,excellent,4 cylinders,fwd,gas,grey,None,mid-size,clean,automatic,sedan,10500
volkswagen passat,2012,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,5999
GMC C7500,2006,None,good,6 cylinders,rwd,diesel,white,None,full-size,clean,manual,other,11500
Nissan Sentra,2007,None,excellent,4 cylinders,fwd,gas,green,109755,mid-size,clean,automatic,sedan,3200
DODGE CALIBER,2012,None,good,4 cylinders,fwd,gas,black,160000,mid-size,salvage,automatic,hatchback,2695
Ford XLT,2007,None,like new,None,None,gas,None,None,None,clean,automatic,None,4800
ford f-250,1970,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Chevy Impala,2014,None,excellent,None,None,gas,None,None,None,clean,automatic,sedan,3100
ford focus,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
infinity q50,2014,None,like new,6 cylinders,fwd,gas,red,64211,None,rebuilt,automatic,sedan,13950
ford focus,2012,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,4100
mur,2009,None,None,None,None,gas,None,None,None,salvage,automatic,None,6500
DODGE RAM 1500 4X4,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
ford f-150,1999,None,good,8 cylinders,4wd,gas,blue,None,full-size,clean,automatic,truck,999
mercedes benz S 500,2000,None,good,8 cylinders,rwd,gas,white,134000,full-size,rebuilt,automatic,sedan,3900
pontiac grand prix,2004,None,None,6 cylinders,None,gas,silver,164000,None,rebuilt,automatic,None,2500
oldsmobile aurora,2001,None,excellent,6 cylinders,None,gas,silver,None,None,clean,automatic,None,5700
caddilac cts,2007,None,None,None,None,gas,None,850000,None,rebuilt,automatic,None,3300
chevrolet express,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
Infiniti I30,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1300
Dodge Ram 1500,1999,3B7hc13y2xg230744,good,8 cylinders,None,gas,white,167354,full-size,clean,automatic,truck,1100
