make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Gmc Sierra,2005,None,good,None,None,gas,None,149567,None,clean,automatic,None,12000
Tacoma,2005,None,None,None,4wd,gas,None,162567,None,clean,manual,None,8500
gmc high sierra,1978,None,good,8 cylinders,4wd,gas,None,102000,None,clean,manual,truck,4000
jeep wrangler,2008,None,excellent,None,None,gas,None,None,None,clean,other,None,700
pontiac grand prix,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,600
ford ranger,2001,None,None,6 cylinders,None,gas,white,158000,None,clean,automatic,pickup,1850
Dodge 150,1979,None,fair,8 cylinders,4wd,gas,blue,180000,full-size,clean,automatic,truck,2500
toyota pick up,1989,None,good,6 cylinders,4wd,gas,white,166000,mid-size,clean,manual,pickup,4800
honda prelude,1999,None,good,4 cylinders,fwd,gas,white,130000,compact,clean,automatic,coupe,3000
subaru impreza wagon,1998,None,good,4 cylinders,4wd,gas,green,196700,mid-size,clean,automatic,wagon,2550
Acura Integra,1996,None,None,None,None,gas,None,None,compact,clean,manual,coupe,499
ford escape,2005,None,None,None,None,gas,None,None,None,salvage,automatic,None,2600
Heated windshield,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,16800
ford ranger xlt,1994,None,fair,6 cylinders,rwd,gas,white,None,mid-size,clean,manual,pickup,2000
ford f250,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Dodge Promaster,2015,None,excellent,None,fwd,gas,white,26000,None,lien,automatic,None,28000
chevy equinox,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3300
honda odyssey,2006,None,good,None,None,gas,None,None,None,clean,automatic,None,5800
chevrolet 1500 silverado,2000,UPON REQUEST,excellent,8 cylinders,fwd,gas,None,170,full-size,clean,automatic,pickup,9900
pontiac bonneville se,1995,None,fair,6 cylinders,fwd,gas,None,135000,None,clean,automatic,sedan,400
chevy scottsdale 20,1979,None,fair,8 cylinders,None,gas,None,None,None,clean,automatic,truck,1200
chrysler town and country,2013,None,None,6 cylinders,None,gas,white,101,None,salvage,automatic,None,10900
isuzu axiom,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
mercury grand marquis,1988,2MEBM75F3JX714497,good,8 cylinders,rwd,gas,white,None,full-size,clean,automatic,sedan,550
450SL,1980,None,good,8 cylinders,rwd,gas,grey,None,None,clean,automatic,coupe,7500
ford escape,2011,None,excellent,4 cylinders,fwd,gas,red,90000,full-size,clean,automatic,SUV,7900
Ford,1956,None,None,None,rwd,other,None,None,None,missing,manual,None,1200
chevy k10,1985,None,None,8 cylinders,4wd,gas,black,134000,None,clean,automatic,pickup,7
Chevy,1936,None,None,None,None,gas,None,None,None,clean,manual,None,7500
nissan versa,2010,None,None,4 cylinders,fwd,gas,grey,104000,compact,clean,automatic,hatchback,3700
chevrolet silverado,2008,None,excellent,8 cylinders,None,diesel,white,270000,mid-size,clean,automatic,pickup,16500
mazda rx-8,2005,JM1FE173150151941,excellent,None,rwd,gas,black,55000,compact,clean,manual,coupe,8995
nissan altima se 3.5,2005,None,excellent,6 cylinders,fwd,gas,black,None,full-size,clean,automatic,sedan,100
dodge 3500,2001,None,fair,6 cylinders,4wd,diesel,silver,193750,full-size,clean,manual,pickup,13000
Chevy Van,1979,None,None,None,None,diesel,None,None,None,clean,manual,None,500
Jeep Cherokee,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
looking for,2016,None,None,None,None,other,None,None,None,clean,other,None,4000
Ford 450 Super Duty,1991,None,good,8 cylinders,rwd,diesel,white,143000,None,clean,manual,None,5500
Ford Bronco II,1985,None,good,6 cylinders,4wd,gas,blue,133000,mid-size,clean,manual,SUV,4500
mitsubishi eclipse gs,1996,None,None,None,None,gas,black,None,None,clean,manual,None,1800
F 550,2007,None,good,None,None,other,white,17000,None,clean,other,None,12500
Volkswagen Vanagon Syncro,1986,WV2YB0256GG104789,good,4 cylinders,4wd,diesel,green,170695,full-size,clean,manual,None,65000
ford explorer,1999,None,good,8 cylinders,4wd,gas,None,None,full-size,clean,automatic,SUV,3700
Ford Bronco,1978,None,good,8 cylinders,4wd,gas,orange,96295,full-size,clean,automatic,SUV,12500
toyota camry le,2005,None,None,None,None,gas,None,178837,None,clean,automatic,None,4000
subaru impreza wrx sti,2006,None,excellent,4 cylinders,4wd,gas,black,134000,full-size,clean,manual,sedan,19000
Mustang,1965,None,None,None,None,gas,None,None,None,parts only,other,None,1
lincoln mkx awd,2013,2LMDJ8JK3DBL03792,excellent,6 cylinders,None,gas,black,92807,mid-size,lien,automatic,SUV,20175
Mercedes CLK550,2007,WDBTJ72HX7F218863,excellent,8 cylinders,rwd,gas,red,90000,mid-size,lien,automatic,coupe,9600
ford edge sel,2013,None,excellent,6 cylinders,fwd,gas,black,96000,full-size,clean,automatic,SUV,4000
izusu ascender,2003,None,good,8 cylinders,4wd,gas,white,190000,full-size,clean,automatic,SUV,4700
Hummer H2,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,15000
nissan versa 1.6 sv,2013,3N1CN7APXDL892417,excellent,4 cylinders,fwd,gas,red,60000,None,clean,automatic,sedan,10000
GMC,1988,None,good,8 cylinders,4wd,gas,None,None,full-size,clean,automatic,pickup,5000
dodge ram 2500,2011,None,None,None,None,diesel,None,None,None,clean,automatic,None,28
Mazda CX-7,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
jeep patriot,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,5200
chevrolet silverado,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
chevrolet suburban,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
dodge grand caravan,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3100
GMC C-7500,2007,None,excellent,6 cylinders,rwd,diesel,white,127785,full-size,clean,automatic,None,21900
toyota camry hybrid XLE,2012,4T1BD1FK3CU056065,like new,4 cylinders,fwd,gas,green,58000,compact,clean,automatic,sedan,14100
dodge ram 1500 slt,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
Driver Memory,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,20522
Chevrolet Tahoe,2004,None,excellent,None,None,gas,None,None,None,clean,automatic,None,1500
Flatbed tandem trailer,2018,None,new,None,None,other,black,None,None,clean,other,None,1470
buick lesabre 4dr sdn custom,2001,None,None,6 cylinders,None,gas,None,200000,None,clean,automatic,None,1800
silverado,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1504
volkswagen passat 2.5l se at,2013,None,None,None,None,gas,None,None,None,salvage,automatic,None,6500
