make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
volkswagen new Beetle,2005,None,None,None,None,gas,None,131000,None,clean,automatic,None,3100
CADILLAC CTS AWD,2010,None,like new,6 cylinders,4wd,gas,red,50350,mid-size,rebuilt,automatic,None,8500
mazda tribute,2006,None,None,None,None,gas,None,None,None,salvage,automatic,None,2995
Cutlass,1976,None,good,8 cylinders,rwd,gas,white,None,full-size,clean,automatic,coupe,3300
Honda Civic,2004,None,good,4 cylinders,fwd,gas,grey,140000,compact,clean,automatic,sedan,2950
chevrolet corvette,1979,None,None,None,None,gas,None,120000,None,clean,automatic,None,12000
Ford Excursion,2000,None,excellent,8 cylinders,4wd,diesel,None,None,None,clean,automatic,None,12900
gmc,1961,None,None,None,None,gas,None,None,None,clean,manual,None,2500
honda civic ex,2006,None,None,4 cylinders,None,gas,grey,195000,None,clean,automatic,None,3900
chevrolet 1500 silverado,1988,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
chevy 2500hd,2002,None,good,8 cylinders,4wd,gas,silver,262330,None,clean,automatic,None,3500
Dodge Ram LE 150,1990,None,good,8 cylinders,rwd,gas,red,119000,None,clean,manual,None,3500
Trailer,1986,None,excellent,other,rwd,other,black,0000000,compact,clean,other,None,875
ford f-150,2013,None,good,6 cylinders,4wd,gas,grey,87500,None,clean,automatic,truck,25000
Chevy Lumina,1995,None,good,4 cylinders,None,gas,green,97600,None,clean,automatic,sedan,850
Ford Truck,1972,None,None,None,None,gas,None,None,None,clean,other,None,375
suzuki reno,2008,None,good,4 cylinders,fwd,gas,red,89500,compact,clean,manual,hatchback,3800
ford f-150,1995,None,good,8 cylinders,rwd,gas,blue,159000,full-size,clean,automatic,truck,3000
Saturn Relay3,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3400
jeep cherokee,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3400
GMC Sierra SLT,2017,None,like new,8 cylinders,4wd,gas,grey,11800,full-size,rebuilt,automatic,None,35250
GMC,2012,None,excellent,4 cylinders,fwd,gas,None,65000,None,clean,automatic,SUV,2000
honda accord ex,1999,None,good,4 cylinders,None,gas,black,172000,None,clean,automatic,sedan,999
chrysler crossfire,2004,1C3AN69L44X020842,excellent,None,rwd,gas,red,43000,compact,clean,automatic,coupe,6500
chrysler 300,2008,2C3KA53G18H258342,good,6 cylinders,None,gas,grey,136000,full-size,clean,automatic,sedan,4900
Chevy Suburban 2500,2001,None,good,8 cylinders,4wd,gas,black,217387,full-size,clean,automatic,SUV,3500
chevy bel air,1964,None,like new,8 cylinders,rwd,gas,blue,86000,None,clean,automatic,None,10000
Jeep Wrangler Sport,1999,1J4FY19S3XP464103,excellent,6 cylinders,4wd,gas,red,84000,None,clean,automatic,None,9350
chevrolet sonic,2012,None,like new,4 cylinders,fwd,gas,orange,70123,compact,rebuilt,automatic,sedan,4750
jeep commander,2008,None,excellent,8 cylinders,4wd,gas,brown,100000,full-size,rebuilt,automatic,SUV,7295
chevrolet 1500 silverado,2006,None,excellent,8 cylinders,None,gas,None,136000,None,clean,automatic,None,14
Dodge Charger,2007,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,4300
Chevy,1958,None,None,None,None,gas,None,None,None,clean,automatic,None,2300
GMC DOMPE,1991,None,good,8 cylinders,None,gas,yellow,153578,None,clean,automatic,None,6000
