make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Chevy Silverado,2007,None,None,None,None,other,None,None,None,clean,other,None,325
nissan pathfinder armada,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
Dodge LE 150,1990,None,good,8 cylinders,rwd,gas,red,119000,None,clean,manual,None,3500
chevy 2500hd,2002,None,good,8 cylinders,4wd,gas,silver,262330,full-size,clean,automatic,truck,3500
Dodge PU,1998,None,excellent,None,None,other,None,000,None,clean,other,None,150
4X7 Trailer,1986,None,excellent,other,rwd,other,black,000000,None,clean,other,None,875
Chevy Lumina,1995,None,good,4 cylinders,None,gas,green,97600,None,clean,automatic,None,850
nissan versa,2014,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,6300
kia forte,2010,None,None,4 cylinders,None,gas,None,120000,None,rebuilt,automatic,None,3800
all,2018,None,None,None,None,other,None,None,None,clean,other,None,1
chevy belair,1964,None,None,None,None,gas,None,None,None,clean,automatic,None,9000
Jeep Wrangler,1991,None,None,None,None,gas,None,None,None,clean,manual,None,5500
ford escape limited,2005,None,like new,6 cylinders,4wd,gas,None,200000,None,clean,automatic,None,3300
X3,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
mAZDA mpv,2005,None,good,6 cylinders,fwd,gas,white,160000,full-size,rebuilt,automatic,van,2500
Chevy Silverado,1991,None,None,None,None,gas,None,None,None,clean,automatic,None,800
Ram 2500,1996,None,good,8 cylinders,4wd,gas,black,190000,full-size,clean,automatic,offroad,1999
chevrolet cruze,2011,None,None,None,None,gas,None,None,None,clean,manual,None,7000
dodge neon sxt,2003,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,350
Volvo XC90,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1562
ford expedition,1998,None,good,8 cylinders,4wd,gas,white,167000,full-size,clean,automatic,SUV,3000
Dodge Ram 2500,2004,None,None,None,4wd,diesel,None,None,None,clean,automatic,None,21000
TOWN AND COUNTRY TOURING,2013,None,None,6 cylinders,None,gas,white,101,None,salvage,automatic,None,10900
hyundai accent,2012,None,excellent,None,None,gas,None,70000,full-size,rebuilt,automatic,None,5500
honda civic,2009,None,excellent,None,None,gas,None,70000,full-size,rebuilt,automatic,None,5500
Chevy,1936,None,None,None,None,gas,None,None,None,clean,manual,None,7500
Chevy camaro,1978,None,None,None,None,gas,None,None,None,clean,manual,None,10500
Subaru wrx,2002,None,fair,4 cylinders,None,gas,white,165345,compact,clean,manual,sedan,6000
Chevrolet El Camino,1984,None,good,8 cylinders,rwd,gas,white,None,None,clean,automatic,pickup,9500
jeep wrangler sahara,1999,None,None,4 cylinders,4wd,gas,None,None,None,clean,manual,None,7500
honda civic lx 4dr sedan,1995,None,good,4 cylinders,fwd,gas,white,128000,compact,clean,automatic,sedan,1900
hyundai santa fe,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,5200
Ford,1933,None,None,None,None,gas,None,None,None,clean,manual,None,13350
Hyundai Sonata,2008,SNPET46C28H357667,good,4 cylinders,fwd,gas,grey,150000,mid-size,clean,automatic,sedan,5000
Nissan Altima 2.5 S,2012,None,excellent,4 cylinders,fwd,gas,black,108500,mid-size,clean,automatic,sedan,7150
chrysler sebring lx 4dr sedan,2004,None,None,None,None,gas,white,None,None,clean,automatic,sedan,400
ford aerostar van,1993,None,None,6 cylinders,rwd,gas,None,138000,None,clean,automatic,None,1000
audi a4,2005,None,excellent,4 cylinders,4wd,gas,silver,159000,mid-size,clean,automatic,sedan,3800
Chevy Monte Carlo,1973,None,like new,8 cylinders,rwd,gas,None,27000,None,clean,automatic,None,12000
Toyota tundra,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,15991
Ford Model A,1929,None,None,None,None,gas,None,None,None,parts only,manual,None,1
Chevy Silverado,1991,None,None,None,None,gas,None,None,None,clean,automatic,None,850
honda,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,1
GMC C7500,2007,None,excellent,6 cylinders,rwd,diesel,white,128000,None,clean,automatic,None,21900
chrysler lebaron convertible,1992,None,None,None,None,gas,None,None,None,clean,automatic,None,750
Ford F-350,2010,None,None,8 cylinders,None,diesel,black,38613,None,clean,automatic,truck,29000
hundai accent,2012,None,like new,None,None,gas,None,None,None,rebuilt,automatic,None,5500
Mitsubishi Mirage,2015,None,like new,4 cylinders,None,gas,red,None,full-size,clean,automatic,hatchback,4500
honda pilot,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
gmc 1500 sierra,1996,1GTEC14M4TE538899,good,8 cylinders,rwd,gas,white,227500,full-size,clean,automatic,pickup,3550
Ford LTD,1973,3J66S155125,good,8 cylinders,rwd,gas,white,68900,full-size,clean,automatic,sedan,2200
ford f-150,2004,2FTRX17W24CA24219,good,8 cylinders,rwd,gas,silver,273440,full-size,clean,automatic,pickup,2050
cadillac dts,2011,None,like new,8 cylinders,fwd,gas,white,105,full-size,clean,automatic,sedan,11900
saturn vue,2007,None,excellent,4 cylinders,fwd,gas,red,117123,mid-size,clean,manual,SUV,3200
chevy c10,1972,None,new,8 cylinders,rwd,gas,black,None,None,clean,automatic,None,800
audi a4,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,200
hyundai elantra,2014,None,excellent,None,None,gas,None,79000,None,rebuilt,automatic,None,6000
dodge dart,1975,None,None,None,None,hybrid,None,None,None,clean,other,None,900
Buick,1936,None,None,None,None,gas,None,None,None,clean,manual,None,9000
honda civic,2012,None,excellent,None,None,gas,None,100000,full-size,rebuilt,automatic,None,5500
Yamaha YZ250R,1985,None,None,None,None,gas,None,None,None,clean,manual,None,2100
Lincoln Navigator,1998,None,fair,8 cylinders,4wd,gas,None,225,None,clean,automatic,None,1500
doge ram 1500,2009,None,good,8 cylinders,None,gas,None,118000,None,clean,automatic,None,13000
chevy s10,1992,None,good,6 cylinders,rwd,gas,red,None,compact,clean,manual,None,2500
Chevy suburban,1992,None,good,8 cylinders,4wd,gas,white,330571,full-size,clean,automatic,SUV,2800
chevy hhr,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,4300
Dodge Caravan,2007,None,good,6 cylinders,fwd,gas,blue,102066,None,clean,automatic,mini-van,3200
Ford Mustang,2002,None,None,None,None,gas,None,None,None,clean,manual,None,3800
Dodge Durango,2005,None,excellent,8 cylinders,rwd,gas,blue,135581,full-size,clean,automatic,SUV,9800
Toyota 4Runner,1998,None,None,6 cylinders,None,gas,silver,None,mid-size,clean,automatic,SUV,3250
Chevy sonic,2012,None,None,None,None,gas,None,55000,None,clean,automatic,None,5500
chevy k20,1986,None,fair,8 cylinders,4wd,gas,grey,None,full-size,missing,manual,offroad,1350
Lincoln,2002,None,good,8 cylinders,rwd,gas,silver,None,full-size,clean,automatic,sedan,1650
Honda Civic si,2003,None,None,4 cylinders,None,gas,blue,None,None,clean,manual,None,3950
Military duece1/2,1966,None,good,6 cylinders,4wd,diesel,green,None,None,clean,manual,None,5500
mistubishi mirage,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
Kia sorento,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Ford,1981,None,fair,8 cylinders,rwd,gas,None,791000,None,clean,automatic,None,1700
hyundai elantra,2014,None,excellent,None,None,gas,None,79000,full-size,rebuilt,automatic,None,6000
honda civic,2009,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,5500
CutlassSupremeClassicBrougham,1988,None,like new,8 cylinders,rwd,gas,blue,10400,None,clean,automatic,coupe,18999
honda pilot,2007,None,excellent,6 cylinders,None,gas,None,None,None,salvage,automatic,None,4000
Cadilllac,1995,None,None,None,rwd,gas,None,120000,None,salvage,automatic,None,1400
chevy silverado 2500,2001,None,good,8 cylinders,4wd,gas,brown,192000,full-size,clean,automatic,None,7800
ford mustang,2002,None,good,8 cylinders,rwd,gas,black,130000,mid-size,clean,manual,coupe,5500
dodge ram 1500,1997,None,fair,8 cylinders,rwd,gas,yellow,225000,full-size,clean,automatic,truck,1500
Yamaha virago,1987,None,good,None,None,gas,black,None,None,clean,manual,None,1200
Nissan,2000,None,None,None,None,gas,None,None,None,clean,manual,None,1300
Cadillac Escalade ESV AWD,2004,None,good,8 cylinders,4wd,gas,white,175000,full-size,clean,automatic,SUV,8500
Ooooo,2015,None,new,None,None,other,None,None,None,clean,other,None,45
1999 Ford Explorer,1999,None,good,6 cylinders,4wd,gas,white,106000,mid-size,clean,automatic,SUV,1750
Toyota  pickup,1985,None,fair,4 cylinders,rwd,gas,red,220000,mid-size,clean,manual,pickup,1800
vw beetle bug,1973,None,None,None,None,gas,None,None,None,clean,manual,None,3000
nissan versa note,2014,None,None,None,None,gas,None,None,None,salvage,automatic,None,5800
hyundai accent,2012,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,5500
ford f-150,1999,None,None,None,None,gas,None,224000,None,clean,automatic,None,2200
ford f-150,1999,None,good,8 cylinders,4wd,gas,silver,224000,None,clean,automatic,truck,2200
ford f150,2001,None,None,None,None,gas,None,None,None,clean,manual,None,2500
nissan cube 1.8,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
Ford Fusion,2012,None,like new,6 cylinders,fwd,gas,blue,66000,mid-size,clean,automatic,sedan,7450
hyundai elantra,2009,None,good,4 cylinders,fwd,gas,white,101000,mid-size,clean,automatic,sedan,4500
Ford Mustang,1966,None,excellent,None,rwd,gas,blue,200,None,clean,automatic,coupe,16000
cadillac srx,2012,None,excellent,6 cylinders,fwd,gas,black,101000,mid-size,clean,automatic,SUV,13999
hyundai elantra,2009,None,good,4 cylinders,fwd,gas,white,101000,mid-size,clean,automatic,sedan,4500
hyundai tucson,2011,None,good,4 cylinders,4wd,gas,black,None,mid-size,clean,automatic,SUV,10900
dodge durango,2006,None,excellent,8 cylinders,4wd,gas,silver,99000,full-size,clean,automatic,SUV,5900
chevrolet 1500 silverado,2011,None,good,8 cylinders,4wd,gas,white,112000,full-size,clean,automatic,truck,13900
toyota corola,2017,VIN5YFBURHE5HP704,like new,4 cylinders,fwd,gas,silver,9700,mid-size,clean,automatic,sedan,13999
