make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Nissan sentra,1990,None,good,4 cylinders,fwd,gas,blue,145000,compact,clean,automatic,sedan,550
Chevrolet,1990,None,fair,6 cylinders,4wd,gas,black,198000,compact,clean,manual,SUV,500
buick regal,1995,None,good,6 cylinders,fwd,gas,silver,100000,mid-size,clean,automatic,sedan,350
Jeep Patriot,2012,None,excellent,None,fwd,gas,silver,45000,None,clean,automatic,None,9500
nissan frontier,2007,None,excellent,None,None,gas,None,172,None,clean,manual,None,5900
ford f350,1994,None,good,8 cylinders,rwd,diesel,None,188000,full-size,clean,automatic,pickup,2100
CHEV.C-10,1969,None,good,8 cylinders,rwd,gas,None,None,full-size,clean,automatic,None,2300
toyota tacoma,2003,None,good,None,None,gas,None,None,None,clean,automatic,None,1800
toyota camry,2017,None,new,6 cylinders,fwd,gas,None,2040,None,clean,automatic,sedan,19500
Chevrolet Van,1994,None,excellent,8 cylinders,rwd,gas,white,196367,None,clean,automatic,None,3900
toyota tacoma,2005,5TENX22N25Z099000,good,4 cylinders,rwd,gas,black,200700,mid-size,clean,automatic,pickup,5250
Dodge durango,1999,None,excellent,8 cylinders,4wd,gas,red,207000,mid-size,clean,automatic,SUV,1450
chevy silverado 1500,1997,None,good,8 cylinders,4wd,gas,red,183736,full-size,clean,automatic,truck,5000
jeep liberty,2006,None,excellent,6 cylinders,4wd,gas,black,120000,mid-size,clean,automatic,SUV,6550
subaru impreza wagon,1998,None,good,4 cylinders,4wd,gas,green,196700,mid-size,clean,automatic,wagon,2550
ford explorer eddie bauer,2003,None,excellent,None,4wd,gas,white,172,None,clean,automatic,None,3400
saturn,2001,None,good,None,fwd,gas,grey,183861,None,clean,automatic,None,1000
Ford F350,1995,None,good,8 cylinders,rwd,diesel,blue,144000,full-size,clean,automatic,truck,10500
chevrolet 1500 silverado,2010,1GCSCSE07AZ181020,good,8 cylinders,rwd,gas,white,81902,full-size,clean,automatic,pickup,12500
Ford F-350 crew cab,1994,None,good,8 cylinders,rwd,gas,white,248000,None,clean,manual,None,3500
mercury sable ls,1998,None,good,6 cylinders,None,gas,blue,161000,mid-size,clean,automatic,sedan,400
chevy c10,1970,None,None,other,rwd,gas,green,40000,full-size,clean,manual,pickup,1500
Chevy Silverado,1985,None,good,8 cylinders,rwd,gas,brown,85000,full-size,clean,automatic,pickup,3500
honda crv ex,2007,None,excellent,4 cylinders,4wd,gas,black,None,compact,clean,automatic,SUV,2000
ford mustang,2001,None,good,6 cylinders,rwd,gas,silver,202780,None,clean,automatic,coupe,2100
ford f-150,1979,None,excellent,8 cylinders,rwd,gas,None,10200,None,clean,automatic,None,8100
dodge ram 2500,2004,None,None,None,None,diesel,None,144245,None,clean,manual,None,22500
ford f150,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,9200
chevrolet 1500 silverado,2015,None,like new,8 cylinders,4wd,gas,grey,8600,full-size,clean,automatic,truck,34500
Nissan,1983,None,excellent,None,None,gas,None,None,None,clean,automatic,None,5000
gmc 1500 sierra,1996,None,excellent,8 cylinders,rwd,gas,green,109000,full-size,clean,automatic,pickup,5000
CHEVY SUBURBAN 2500,1999,None,good,None,None,gas,None,None,None,clean,automatic,SUV,2700
CHEVY MALIBU,2003,None,good,None,fwd,gas,silver,None,None,clean,automatic,None,2600
CHEVY CAVALIER,2005,None,good,4 cylinders,fwd,gas,None,None,None,clean,automatic,None,1700
infinity G35 Sedan,2008,JNKBV61E58M211396,excellent,6 cylinders,rwd,gas,black,54000,full-size,clean,automatic,sedan,9900
ford expedition,2009,None,excellent,None,4wd,gas,white,203000,None,clean,automatic,None,4900
dodge w150,1984,None,None,8 cylinders,4wd,gas,None,None,None,clean,manual,None,1500
