make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
pontiac g6 gt,2006,1G2ZH558X64117425,good,6 cylinders,fwd,gas,green,79444,mid-size,clean,automatic,sedan,3999
volkswagen jetta,2015,3VWB17AJ8FM287824,excellent,4 cylinders,fwd,gas,red,45710,mid-size,clean,manual,sedan,9500
ford roadster,1927,None,good,None,None,gas,red,None,None,clean,automatic,None,14500
honda cr-v,2007,None,like new,4 cylinders,4wd,gas,blue,131,mid-size,clean,automatic,SUV,6500
bmw 5-series,2007,None,excellent,6 cylinders,4wd,gas,None,111000,None,clean,automatic,sedan,7700
ford f-150,2004,None,None,8 cylinders,4wd,gas,green,244,None,clean,automatic,None,2000
ford f-350,1999,None,good,8 cylinders,4wd,diesel,black,None,full-size,clean,automatic,pickup,3000
ford explorer,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,700
Volkswagen Passat,1999,None,good,4 cylinders,fwd,gas,silver,None,None,clean,manual,None,1200
honda civic ex,2001,None,excellent,4 cylinders,fwd,gas,silver,70000,compact,clean,automatic,coupe,3500
Plymouth Street Rod,1932,12k34x12453,excellent,8 cylinders,rwd,gas,red,None,full-size,clean,automatic,coupe,34000
A6,1998,None,good,6 cylinders,4wd,gas,None,121333,None,clean,automatic,wagon,2500
Kia,2011,None,None,4 cylinders,fwd,gas,None,None,full-size,clean,automatic,None,9000
Chevy 4500,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
Honda Civic,2012,2HGFB2F56CH549531,excellent,4 cylinders,fwd,gas,blue,45011,full-size,clean,automatic,sedan,8500
jeep cherokee,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,8000
chevy colorado,2008,None,good,5 cylinders,4wd,gas,blue,105000,None,clean,manual,pickup,3500
Factory Five,1933,None,None,None,None,gas,None,None,None,clean,automatic,None,37500
weston,2015,None,None,None,None,gas,None,None,None,clean,manual,None,225
Ford Super Deluxe,1941,None,None,8 cylinders,rwd,gas,None,None,full-size,clean,manual,sedan,3500
ford mustang 5.0,2014,None,like new,None,None,gas,None,None,None,clean,manual,None,34900
Jeep Wrangler,1994,None,None,None,None,gas,None,None,None,clean,manual,None,2800
Ct sounds,2016,None,like new,None,None,gas,None,None,None,clean,other,None,150
Skar audio,2018,None,new,None,None,other,None,None,None,clean,other,None,150
