make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Rabbit,2007,None,good,5 cylinders,fwd,gas,red,135000,compact,clean,manual,hatchback,3300
Rabbit,2007,None,good,5 cylinders,fwd,gas,red,135000,compact,clean,manual,hatchback,3300
toyota camry le,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
toyota avalon limited,2007,None,excellent,6 cylinders,fwd,gas,white,73000,full-size,clean,automatic,sedan,8600
Toyota Highlander Hybrid Limited,2007,None,None,None,4wd,hybrid,None,107000,None,clean,automatic,None,11700
jaguar xf,2011,None,good,8 cylinders,None,gas,None,68670,None,clean,automatic,None,12500
2009 Toyota Corolla,2009,None,excellent,4 cylinders,fwd,gas,black,145000,mid-size,clean,automatic,sedan,7900
Ford e250,2010,None,None,None,None,gas,None,310000,None,clean,automatic,None,3300
SAAB 900 S,1986,None,None,4 cylinders,None,gas,None,None,None,clean,manual,None,8500
BMW 328Xi Sedan,2007,None,None,None,4wd,gas,None,77000,None,clean,automatic,None,12700
mini cooper,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
ford modelT,1927,None,good,8 cylinders,rwd,gas,red,None,None,clean,automatic,other,14500
ford f-150,1998,None,None,None,None,gas,None,None,None,clean,manual,None,5000
chevrolet silverado,1998,None,None,None,None,gas,None,None,None,clean,other,None,1000
qjet,2009,None,None,None,None,other,None,None,None,clean,other,None,300
dodge ram 1500,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1
Mercedes 560 sel,1987,000000,fair,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,sedan,450
LAND ROVER RANGE ROVER HSE SPORT,2006,SALSF25426A923686,like new,8 cylinders,4wd,gas,white,171120,full-size,clean,automatic,SUV,12999
subaru forester,1998,None,None,None,None,gas,None,None,None,clean,manual,None,1998
toyota camry le 4dr sedan,1995,4T1SK12E4SU892231,excellent,4 cylinders,fwd,gas,custom,156374,full-size,clean,automatic,sedan,2900
WRX Limited TR,2007,None,good,4 cylinders,4wd,gas,black,141000,mid-size,clean,manual,None,8000
honda accord,2008,None,None,6 cylinders,None,gas,white,None,full-size,clean,automatic,sedan,2000
toyota corolla ce,2003,2T1BR32E33C163955,like new,4 cylinders,fwd,gas,silver,155763,full-size,clean,automatic,sedan,3999
Ho,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3695
Ford foc,2007,None,None,None,None,gas,None,None,None,clean,manual,None,1995
Toyota rav,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,4695
ford crown victoria,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
honda cr-v,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,1900
pontiac sunfire,2003,1G2JB12F237337422,good,4 cylinders,fwd,gas,white,173890,full-size,clean,automatic,coupe,2999
nissan altima s,2006,1N4AL11DX6N375740,excellent,4 cylinders,fwd,gas,green,169140,full-size,clean,automatic,sedan,3999
Volkswagen Jetta,2004,None,fair,4 cylinders,fwd,gas,black,190000,mid-size,clean,manual,sedan,2500
Chevy pickup,1948,None,None,None,None,other,None,None,None,missing,other,None,6000
mazda tribute lx,2002,4F2CU08152KM60938,excellent,6 cylinders,rwd,gas,silver,143892,full-size,clean,automatic,SUV,3500
hyundai genesis coupe 3.8,2010,None,excellent,6 cylinders,rwd,gas,silver,61399,None,lien,manual,coupe,12500
