make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
volvo 240dl,1981,None,fair,4 cylinders,4wd,other,custom,100000,full-size,clean,automatic,SUV,1
jeep cj5,1967,None,good,6 cylinders,4wd,gas,None,None,None,clean,manual,other,1
Chevy Silverado,2006,None,excellent,8 cylinders,4wd,diesel,white,101,None,lien,automatic,None,25000
Ford Truck Cab/s-10,1952,Xxxxxxx,None,6 cylinders,4wd,gas,red,None,mid-size,clean,automatic,pickup,1500
jeep liberty limited 4wd,2002,None,good,6 cylinders,4wd,gas,white,137000,None,clean,automatic,SUV,1800
dodge grand caravan,2005,None,good,6 cylinders,fwd,gas,grey,141951,full-size,clean,manual,mini-van,1500
ford mustang gt,1990,None,excellent,8 cylinders,None,gas,blue,61100,None,clean,manual,hatchback,12500
2006 Dodge Ram,2006,None,None,None,None,diesel,None,None,None,clean,automatic,None,12000
BMW 328XI,2007,WBAVC93577KZ70738,excellent,6 cylinders,4wd,gas,silver,104000,compact,clean,manual,sedan,5200
infiniti i35,2002,None,excellent,6 cylinders,fwd,gas,grey,100670,mid-size,clean,automatic,sedan,3900
toyota tundra 2wd truck,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,13499
mercedes benz cargo van,2014,None,None,None,None,diesel,None,None,None,clean,automatic,None,12000
Jeep,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Nissan,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,4800
Ford Fusion,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,4800
Ford-F-150,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
ford f-150,1988,None,None,8 cylinders,None,gas,None,80000,None,clean,automatic,None,1500
gmc 2500 sierra,2002,None,good,8 cylinders,4wd,gas,None,175000,None,clean,automatic,None,3800
Dodge Dakota,2006,None,good,8 cylinders,4wd,gas,blue,152000,None,clean,automatic,None,4500
acura mdx,2006,None,excellent,6 cylinders,4wd,gas,None,102000,None,clean,automatic,None,4900
easy to drive,2008,None,excellent,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,SUV,2600
Toyota Rav4 Limited,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,1600
chevrolet impala,2007,None,excellent,6 cylinders,fwd,gas,blue,102502,full-size,clean,automatic,sedan,5000
dodge caravan,2010,None,excellent,6 cylinders,fwd,gas,red,21400,full-size,clean,automatic,mini-van,25000
jeep grand cherokee laredo,2000,None,fair,6 cylinders,4wd,gas,grey,194762,None,clean,automatic,None,1350
Range Rover,1990,None,fair,8 cylinders,4wd,gas,grey,None,full-size,clean,automatic,SUV,3700
Ford Focus,2014,1FADP3F20EL215364,excellent,4 cylinders,fwd,gas,red,35300,mid-size,clean,automatic,None,10500
gmc sierra,2002,None,good,None,None,diesel,None,None,None,clean,automatic,None,4500
International Scoout,1962,80FC49763A,fair,4 cylinders,4wd,gas,brown,70000,mid-size,clean,manual,truck,5400
chrysler very nice,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,703
Ford Epedition,2004,None,excellent,8 cylinders,4wd,gas,None,None,None,clean,automatic,None,2000
Dodge Dakota,2006,None,None,6 cylinders,rwd,gas,None,None,None,clean,automatic,None,4800
ford taurus,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,300
f350,1991,None,None,None,None,diesel,None,None,None,clean,automatic,None,1600
lincoln mkz 4dr sdn awd,2012,None,like new,None,None,gas,None,40000,full-size,lien,automatic,sedan,13500
dodge grand caravan,1999,None,fair,None,None,gas,None,216000,None,clean,automatic,None,950
Plymouth Duster Pro Street,1971,None,excellent,8 cylinders,rwd,gas,purple,None,full-size,clean,automatic,sedan,27995
chrysler town &amp; country,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1200
bmw 530xi,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,5900
Ford L8000 Dump,1995,None,good,None,None,diesel,None,None,None,clean,manual,None,16500
HYUNDAI TUCSON GLS,2006,KM8JN72D96U463931,like new,6 cylinders,4wd,gas,green,99000,mid-size,clean,automatic,SUV,5500
chrysler town & country,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1200
Ford F550,1999,None,excellent,8 cylinders,4wd,diesel,white,None,full-size,clean,automatic,None,20000
pickup,1993,None,good,None,None,gas,blue,99000,None,clean,automatic,pickup,1000
Ford,2013,None,excellent,8 cylinders,4wd,gas,None,120600,full-size,clean,automatic,pickup,19000
nissan pathfinder,2006,None,good,6 cylinders,4wd,gas,red,140000,full-size,clean,automatic,SUV,5995
toyota corolla,2000,None,None,None,None,gas,None,None,None,salvage,automatic,None,600
Toyota Camry,1999,None,good,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,1350
chevrolet 1500 silverado,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,5950
Monte Carlo SS,1986,None,excellent,None,None,other,black,None,None,clean,automatic,None,6000
Monte Carlo SS,1986,None,excellent,None,None,other,black,None,None,clean,automatic,None,6000
jeep compass,2011,None,None,4 cylinders,4wd,gas,None,114000,None,clean,automatic,None,9200
Chevrolet El Camino,1972,None,good,8 cylinders,None,gas,None,None,None,clean,automatic,None,6900
chevrolet equinox,2005,None,excellent,6 cylinders,4wd,gas,silver,129000,mid-size,lien,other,hatchback,5900
Chevy  Cavalier,2003,1G1JH12F737360438,good,4 cylinders,fwd,gas,black,None,compact,clean,automatic,coupe,2700
hyundai veloster turbo,2013,None,excellent,4 cylinders,fwd,gas,grey,47000,None,clean,automatic,None,12500
gmc 2500 savana cargo,1999,None,good,8 cylinders,None,gas,white,31662,full-size,clean,automatic,van,2800
Nissan,2008,None,excellent,4 cylinders,None,gas,None,141000,compact,clean,automatic,None,3000
XLE,2007,None,None,None,fwd,gas,white,100,None,clean,automatic,None,5600
Hyundai Santa Fe,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,5300
Lexus,2000,None,None,None,fwd,gas,None,200,None,clean,automatic,None,1800
mazda 3,2012,None,None,None,None,gas,None,90,None,clean,automatic,None,4950
chevrolet trailblazer,2008,None,None,6 cylinders,4wd,gas,None,119000,None,clean,automatic,SUV,5999
chevy 3100,1950,None,None,None,None,gas,None,None,None,clean,manual,None,1234567
Cadllac CTS,2008,None,good,6 cylinders,4wd,gas,black,99600,mid-size,clean,automatic,sedan,8500
jaguar x-type 2.5,2002,None,None,6 cylinders,None,gas,None,None,None,clean,automatic,None,4500
Jeep Wrangler,1995,None,excellent,4 cylinders,4wd,gas,green,172000,mid-size,clean,manual,SUV,4200
mini clubman,2013,None,like new,None,None,gas,None,95090,None,clean,automatic,None,7900
Gmc 3500,2002,None,good,8 cylinders,4wd,diesel,black,140000,full-size,clean,automatic,pickup,13000
toyota tacoma 4x4,2008,None,like new,6 cylinders,None,gas,black,None,None,clean,automatic,truck,3100
Ford,1934,None,None,None,None,gas,None,None,None,clean,automatic,None,29950
sedan white le,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
volkswagen beetle,2012,None,excellent,5 cylinders,fwd,gas,grey,58817,None,clean,automatic,coupe,8300
dodge ram 3500,2006,None,excellent,None,4wd,diesel,white,None,None,clean,automatic,None,19499
dodge ram 2500,1999,None,None,None,None,gas,None,None,None,missing,automatic,None,3000
subaru legacy 2.5i,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Toyota prius,2010,None,None,None,None,hybrid,None,150000,None,clean,automatic,None,6250
jaguar x-type,2003,None,excellent,6 cylinders,4wd,gas,grey,76000,mid-size,clean,automatic,sedan,5500
Ford F-150,2005,None,None,None,None,gas,None,115000,None,clean,automatic,None,2500
nissan murano,2004,None,excellent,6 cylinders,fwd,gas,white,85000,full-size,clean,automatic,SUV,1027
Mercedes-Benz,2016,None,excellent,None,None,diesel,None,None,None,clean,automatic,None,28511
Jaguar Xf,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,15322
Lexus RX 350 AWD,2014,None,excellent,None,None,gas,white,None,full-size,rebuilt,automatic,None,22000
Chevy SSR,2003,None,excellent,8 cylinders,rwd,gas,red,8300,mid-size,clean,automatic,truck,31200
1999 FORD F550 DIESEL,1999,None,None,None,None,diesel,None,None,None,clean,manual,None,7500
international 100,1974,None,None,8 cylinders,rwd,gas,None,None,full-size,clean,automatic,pickup,4500
acura tl,2006,None,None,None,None,gas,None,None,None,clean,automatic,sedan,2032
oldsmobile alero,2002,1G3NL52F02C226892,fair,4 cylinders,fwd,gas,red,178416,compact,clean,automatic,sedan,800
jeep cherokee sport,2000,None,excellent,6 cylinders,4wd,gas,red,142000,full-size,clean,automatic,SUV,3000
BMC 525 4D Sedan,1992,None,None,None,None,gas,None,132000,None,clean,automatic,None,4900
acura rsx,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Saturn SL,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,900
jaguar x-type 2.5l,2003,None,good,None,4wd,gas,white,125000,mid-size,rebuilt,automatic,sedan,2500
Ford,2016,None,None,None,None,hybrid,None,None,None,parts only,other,None,700
honda accord,2000,None,excellent,4 cylinders,fwd,gas,silver,0000000000,full-size,clean,manual,sedan,400
Jeep,2000,None,fair,6 cylinders,4wd,gas,green,205000,compact,clean,automatic,truck,600
gmc 1500 sierra,2011,None,None,8 cylinders,4wd,gas,None,138000,None,clean,automatic,None,12000
GMC 6500 Box truck,2002,None,good,6 cylinders,rwd,diesel,white,176000,full-size,clean,manual,truck,6875
ford crown victoria police,2004,None,excellent,8 cylinders,rwd,gas,None,71000,full-size,clean,automatic,sedan,1900
mini cooper clubman,2013,None,like new,None,None,gas,None,95000,None,clean,automatic,None,7990
chevrolet tahoe 4wd,2003,None,good,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,SUV,1
lincon town car,2006,None,excellent,8 cylinders,rwd,gas,white,74000,full-size,clean,automatic,other,6000
chevy,1940,None,None,None,None,gas,custom,None,None,missing,automatic,None,15000
Mercedes benz ml350,2009,None,excellent,6 cylinders,4wd,gas,black,80000,full-size,clean,automatic,SUV,1522
ford taurus,2007,None,good,6 cylinders,fwd,gas,grey,142500,None,clean,automatic,None,2495
Jeep wrangler,2005,None,good,4 cylinders,4wd,gas,silver,117000,None,clean,manual,None,5000
lexus ES300,1996,None,fair,6 cylinders,fwd,gas,black,150000,mid-size,clean,automatic,sedan,900
ford f-350,2001,None,fair,None,4wd,diesel,blue,218000,None,clean,automatic,pickup,6000
Toyota 4 runner,1999,Jt3hn87rx0204722,None,6 cylinders,4wd,gas,green,275000,None,clean,automatic,SUV,2500
Ford F350,1995,None,None,None,None,diesel,None,None,None,clean,manual,None,4500
jeep liberty sport 4wd,2005,None,None,None,None,gas,None,None,None,parts only,automatic,SUV,600
internacional,1994,None,good,5 cylinders,rwd,diesel,white,93,mid-size,clean,manual,bus,10000
chevrolet equinox,2005,None,excellent,6 cylinders,4wd,gas,silver,129000,mid-size,lien,other,hatchback,6500
chevrolet equinox,2005,None,excellent,6 cylinders,4wd,gas,silver,129000,mid-size,lien,other,hatchback,5900
Ford Bronco,1987,None,good,8 cylinders,4wd,gas,blue,None,full-size,clean,automatic,other,3800
Pontiac firebird Formula,1989,None,good,8 cylinders,rwd,gas,red,94000,None,clean,manual,None,5600
nissan 240sx,1992,None,None,None,None,gas,None,None,None,clean,manual,hatchback,3500
Honda Prelude,1998,None,fair,4 cylinders,fwd,gas,black,152000,None,clean,manual,coupe,1300
gmc sierra 1500,2008,None,fair,8 cylinders,4wd,gas,grey,120000,None,clean,automatic,pickup,6000
audi A8L,2007,None,good,4 cylinders,None,gas,silver,None,full-size,clean,automatic,sedan,8000
Bicknell,2000,21100,excellent,None,None,gas,None,None,None,missing,manual,None,6250
Bicknell Mid Rail Standard Car,2008,21508,excellent,None,None,gas,None,None,None,missing,manual,None,7250
Cayenne,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,16531
Mini Clubman,2008,None,good,4 cylinders,None,gas,blue,109000,None,clean,automatic,None,5500
mitsubishi eclipse gt,2001,None,good,6 cylinders,rwd,gas,white,175000,None,clean,manual,coupe,850
Dodge   Dakota,2005,1D7HW42N35S207792,excellent,8 cylinders,4wd,gas,white,171000,compact,clean,automatic,truck,5700
