make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford focus,2004,None,None,None,fwd,gas,white,150000,None,clean,automatic,None,2500
audi a6,2005,None,good,6 cylinders,4wd,gas,white,126000,None,clean,automatic,None,3250
chevy aveo,2004,None,None,None,None,gas,black,95000,None,clean,manual,None,300
Dodge w200,1977,None,good,6 cylinders,4wd,diesel,red,79000,full-size,clean,automatic,pickup,5000
ford  box van,1989,None,excellent,8 cylinders,rwd,diesel,white,None,full-size,clean,automatic,van,3000
chevy 1 ton dump truck,1995,None,excellent,8 cylinders,rwd,gas,white,81000,full-size,clean,manual,other,3000
E350,1989,None,None,8 cylinders,None,diesel,white,None,full-size,clean,automatic,van,3000
ford mustang gt,1999,None,None,None,None,gas,None,None,None,clean,manual,None,1
ford mustang gt,1999,None,None,None,None,gas,None,None,None,clean,manual,None,1
amc rambler american,1967,None,None,None,None,gas,None,None,None,clean,automatic,None,1
ford mustang gt,1999,None,None,None,None,gas,None,None,None,clean,manual,None,1
Ford f350 superduty,2000,None,None,None,None,diesel,None,None,None,clean,automatic,None,5700
ram,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,25999
Dodge Neon SXT,2005,None,good,4 cylinders,fwd,gas,blue,154700,compact,clean,automatic,sedan,1500
f-800,1999,None,good,6 cylinders,rwd,diesel,None,None,full-size,clean,automatic,truck,3500
nissan quest,2004,5N1BV28U34N333780,good,6 cylinders,fwd,gas,grey,143500,None,clean,automatic,mini-van,3500
hyundai santa fe,2008,None,good,6 cylinders,None,gas,None,None,None,clean,automatic,None,3500
Chevy S10,2001,None,fair,4 cylinders,rwd,gas,blue,154000,mid-size,clean,manual,pickup,1000
Chevy S10,2001,None,fair,4 cylinders,rwd,gas,blue,154000,mid-size,clean,manual,pickup,1000
Chevy S10,2001,None,fair,4 cylinders,rwd,gas,blue,154000,mid-size,clean,manual,pickup,1000
cadillac eldorado convertible,1973,None,good,8 cylinders,fwd,gas,red,76000,None,clean,automatic,None,8500
Gmc,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
various,2017,None,None,None,None,other,None,None,None,clean,automatic,None,1
Dodge Toter,1990,None,good,6 cylinders,rwd,diesel,yellow,None,full-size,missing,automatic,truck,4500
Ford F 450,2008,None,good,8 cylinders,rwd,diesel,white,113000,full-size,clean,automatic,truck,17500
chevy malibu,2007,None,None,None,None,gas,None,49000,None,clean,automatic,None,4000
gmc jimmy,2001,None,good,6 cylinders,4wd,gas,None,92000,None,clean,automatic,None,1700
ford mustang 5.0,1994,None,good,8 cylinders,rwd,gas,black,None,None,clean,manual,hatchback,3000
Ram Rt,2014,1,None,8 cylinders,rwd,gas,blue,None,None,clean,automatic,pickup,29900
Chevrolet,2015,None,excellent,6 cylinders,fwd,gas,red,44000,full-size,clean,automatic,sedan,10900
Ford f 150,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Chevy Cobalt LT,2007,None,good,4 cylinders,fwd,gas,silver,114875,compact,clean,automatic,sedan,3500
Ford F350,2006,None,None,8 cylinders,rwd,diesel,blue,136000,full-size,clean,automatic,pickup,6900
1992 Acura NSX,1992,None,None,None,None,gas,None,None,None,clean,manual,None,23500
jeep wrangler,1995,None,excellent,4 cylinders,4wd,gas,green,124000,None,clean,manual,None,6500
