make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
audi a6,2005,None,fair,6 cylinders,4wd,gas,white,126000,mid-size,clean,automatic,sedan,3250
ford transit connect van,2010,None,good,4 cylinders,fwd,gas,black,183000,None,clean,automatic,None,2000
subaru legacy,2000,None,good,4 cylinders,4wd,gas,green,160000,None,clean,automatic,wagon,900
ford taurus sel,2013,None,good,6 cylinders,4wd,gas,silver,99000,full-size,clean,automatic,sedan,9500
Volkswagon Passat,2013,None,excellent,5 cylinders,fwd,gas,silver,84500,full-size,lien,automatic,sedan,6999
Pontiac Vibe,2009,5Y2SL67019Z403809,like new,4 cylinders,fwd,gas,silver,106660,compact,clean,manual,hatchback,5800
chevy aveo,2004,None,None,None,None,gas,None,None,None,clean,manual,None,300
Hyundai,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
Mitsubishi Mirage ES,2015,ml32a4hj2fh004185,like new,4 cylinders,fwd,gas,blue,35843,compact,clean,automatic,hatchback,6900
Jeep Grand Cherokee Laredo 4X4,2008,1J8GR48K98C102515,excellent,6 cylinders,4wd,gas,brown,92596,full-size,clean,automatic,truck,7900
chevrolet malibu,2003,None,fair,6 cylinders,None,gas,red,None,None,clean,automatic,other,600
Chevy dump truck,1995,None,good,8 cylinders,rwd,gas,white,None,full-size,clean,manual,other,3000
ford focus ses,2008,None,excellent,4 cylinders,fwd,gas,grey,114000,None,clean,automatic,sedan,3800
chevy silverado 1500 classic,2007,1GCEK19V37E183556,fair,8 cylinders,4wd,gas,black,167058,full-size,lien,automatic,None,5999
mercedes-benz e350,2006,124679L111111,excellent,6 cylinders,4wd,gas,silver,1562000,mid-size,clean,automatic,sedan,5500
nissan quest,2004,5N1BV28U34N333780,good,6 cylinders,fwd,gas,grey,143500,None,clean,automatic,mini-van,3500
dodge intrepid,1998,None,fair,6 cylinders,fwd,gas,red,175000,None,missing,automatic,sedan,800
amc pacer-x,1976,None,None,6 cylinders,None,gas,blue,None,None,missing,automatic,None,2500
nissan altima,2007,None,None,None,None,other,None,None,None,clean,automatic,None,3900
dodge ram 2500,1995,None,None,10 cylinders,4wd,gas,None,145000,None,clean,automatic,None,1200
crysler pt cruiser,2006,None,None,4 cylinders,fwd,gas,yellow,None,compact,clean,manual,other,2250
Jaguar,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,6000
ford f 150,2010,None,good,8 cylinders,4wd,gas,blue,133000,full-size,lien,automatic,truck,11200
ford f150,2003,None,fair,8 cylinders,4wd,gas,silver,170000,full-size,clean,automatic,pickup,295
MGB  Convertible,1978,None,excellent,4 cylinders,rwd,gas,red,98000,None,clean,manual,convertible,7900
MGB  Convertible,1978,None,excellent,4 cylinders,rwd,gas,red,98000,None,clean,manual,convertible,7900
Honda Pilot,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1950
Chevy Astro,2003,None,None,6 cylinders,4wd,gas,blue,230000,None,clean,automatic,van,3300
Dodge Toter,1990,None,good,6 cylinders,rwd,diesel,yellow,23000,full-size,clean,automatic,truck,4500
chrysler pacifica touring,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,2400
pontiac torrent,2008,None,good,6 cylinders,4wd,gas,red,150000,mid-size,clean,automatic,None,4000
Chevy Impala,2001,None,None,None,None,gas,blue,107000,None,clean,automatic,None,1800
jeep grand cherokee,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
Honda Fit,2015,None,like new,4 cylinders,fwd,gas,None,42000,compact,lien,automatic,None,11800
acura tl,2004,None,None,6 cylinders,None,gas,None,139844,None,clean,automatic,None,3800
kia sedona,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,1950
dodge neon sxt,2003,None,good,4 cylinders,None,gas,None,None,None,clean,automatic,sedan,1900
Subaru Outback,2004,None,None,None,fwd,gas,green,None,None,clean,manual,None,500
Ford F150,2005,None,excellent,8 cylinders,4wd,gas,None,140,full-size,clean,automatic,truck,8175
subaru forester,2001,None,good,4 cylinders,4wd,gas,red,None,None,clean,manual,None,2450
toyota sienna,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
Ford Mustang,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1950
chevrolet 1500 silverado,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2750
jeep wrangler sahara,1999,None,fair,6 cylinders,4wd,gas,black,154000,full-size,clean,manual,SUV,2500
FOED ESCAPE,2013,None,excellent,4 cylinders,4wd,gas,black,61000,None,clean,automatic,SUV,12900
kia forte ex 4dr sedan,2012,None,excellent,4 cylinders,None,gas,grey,25045,None,clean,automatic,sedan,8500
gmc 1500 sierra,2002,None,good,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,pickup,3000
Ford,2010,None,excellent,8 cylinders,rwd,gas,white,None,full-size,clean,automatic,van,4995
subaru outback,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1495
toyota corolla,2000,None,None,None,None,gas,None,None,None,clean,manual,None,995
hyundai accent,2003,None,good,4 cylinders,fwd,gas,silver,113000,None,clean,automatic,None,550
audi a4 quattro,2002,None,good,4 cylinders,4wd,gas,blue,140000,full-size,clean,manual,sedan,3200
chevy cobalt,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,2400
volkswagen passat,2006,None,fair,4 cylinders,fwd,gas,blue,152477,mid-size,clean,automatic,sedan,1500
toyota camry,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2800
chevrolet s-10,2002,None,None,None,None,gas,None,153000,None,clean,automatic,None,1600
gmc sonoma,1999,None,fair,4 cylinders,rwd,gas,black,None,mid-size,clean,manual,pickup,1750
honda civic lx,2004,None,fair,None,fwd,gas,grey,221000,mid-size,clean,automatic,sedan,500
chev. corvette,2001,None,like new,8 cylinders,rwd,gas,white,37000,compact,clean,automatic,coupe,20
chevrolet equinox,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2495
CHEVROLET MALIBU,2011,1G1ZA5EU1BF313726,excellent,4 cylinders,None,gas,None,None,None,clean,automatic,None,650
nissan altima,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,13995
kia spectra,2009,None,None,None,None,gas,None,98521,None,clean,automatic,None,3500
ford explorer sport,2015,1FM5K8GT1FGB0876,excellent,6 cylinders,4wd,gas,white,36200,None,clean,automatic,SUV,32000
Chevy Traverse,2009,1GNEV23D59S107863,excellent,6 cylinders,4wd,gas,silver,107250,full-size,lien,automatic,SUV,7950
gmc 1500 suburban,1993,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Subaru Outback,2004,None,fair,4 cylinders,4wd,gas,green,154140,None,clean,automatic,wagon,2600
Saturn,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2400
Chevrolet Camaro Z28,1987,None,excellent,8 cylinders,rwd,gas,black,77000,mid-size,clean,automatic,None,8250
Chevy,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Dodge,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
GMC TOPKICKER,2006,None,good,8 cylinders,rwd,diesel,black,159000,None,clean,automatic,truck,22500
audi,2003,None,good,4 cylinders,4wd,gas,black,182000,mid-size,clean,manual,sedan,2900
Dodge Ram,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
AMC Rebel,1969,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Chevrolet Impala LTZ,2013,None,like new,6 cylinders,fwd,gas,silver,65000,full-size,clean,automatic,sedan,9900
hyundai elantra,2013,None,like new,None,None,gas,None,None,None,clean,automatic,None,6500
Ford escape,2002,None,None,None,4wd,gas,None,185000,None,clean,automatic,None,2995
Any with plow,2018,None,None,None,None,gas,None,None,None,clean,automatic,None,1
ford f150,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
Ford F 450,2008,None,good,8 cylinders,rwd,diesel,white,113000,full-size,clean,automatic,truck,17500
Dodge Neon SXT,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,500
Kia Sportage LX 4WD,2006,None,fair,6 cylinders,4wd,gas,green,147000,mid-size,clean,automatic,None,1800
