make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford f-150,2001,None,None,None,None,gas,None,None,None,clean,manual,None,1200
Mercedes Benz c240,2004,None,excellent,6 cylinders,4wd,gas,black,190000,mid-size,clean,automatic,sedan,4000
Honda Civic Lx,2001,None,good,4 cylinders,fwd,gas,green,234000,mid-size,clean,automatic,sedan,1750
Toyota Camry LE,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Honda CR-V EX,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1600
chevrolet s10,1999,None,fair,6 cylinders,4wd,gas,custom,82,None,clean,automatic,pickup,550
Chevy trailblazer,2005,None,good,6 cylinders,4wd,gas,None,158000,None,clean,automatic,SUV,2500
toyota rav4,2017,None,None,None,None,gas,None,None,None,lien,automatic,None,22000
ford f350 diesels powerstroke,2005,None,None,None,None,diesel,None,127000,None,clean,automatic,None,7000
mazda mazda3,2012,JM1BL1VG2C1508772,excellent,4 cylinders,fwd,gas,black,102900,full-size,clean,manual,sedan,6995
subaru outback,2003,None,good,6 cylinders,None,gas,green,299000,None,clean,automatic,wagon,2750
Ford E-350 Extended Cargo Van,2006,1FTSS34L76HA19390,like new,8 cylinders,rwd,gas,white,124000,full-size,clean,automatic,van,6995
"Saturn Ion ""2""",2004,1G8AK54F04Z131757,like new,4 cylinders,fwd,gas,black,108229,mid-size,clean,manual,sedan,1800
Saab 9-5 Aero,2005,None,good,4 cylinders,fwd,gas,grey,131,None,clean,manual,sedan,6000
Hyundai Elantra SE,2017,None,None,None,None,gas,None,None,None,clean,automatic,None,10900
gmc 1500 sierra,1988,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Subaru Impreza,2013,None,excellent,4 cylinders,None,gas,white,75800,None,clean,automatic,sedan,8975
ford explorer sport trac,2002,None,fair,6 cylinders,4wd,gas,grey,111029,None,clean,automatic,truck,1000
kia sorento awd,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
toyota tundra 2wd truck,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,13499
Dodge ram,2001,None,None,8 cylinders,4wd,gas,green,None,full-size,clean,automatic,None,1500
kia sorento,2008,KNDJD735985843363,excellent,6 cylinders,rwd,gas,silver,128740,mid-size,clean,automatic,SUV,4200
buick roadmaster estate wagon,1996,None,fair,8 cylinders,rwd,gas,green,208000,full-size,clean,automatic,wagon,550
ford mustang,1966,C-Code,excellent,8 cylinders,None,gas,None,None,None,clean,automatic,None,28900
chevy,2016,None,None,None,None,gas,None,16350,None,clean,manual,None,1
Volvo V70 XC AWD,2002,None,None,5 cylinders,4wd,gas,None,161600,None,clean,automatic,None,2500
Chrysler Town and Country,2012,None,good,None,fwd,gas,None,88000,full-size,lien,automatic,mini-van,10500
Volkswagen GTI 1.8t,2005,None,None,None,None,gas,None,113000,None,clean,manual,None,5000
Honda,2007,None,None,None,None,gas,None,200,None,clean,automatic,None,2700
mazda 6s,2006,None,good,6 cylinders,fwd,gas,blue,126000,mid-size,clean,automatic,sedan,3000
ford f-150,2001,None,fair,8 cylinders,None,other,None,None,None,clean,automatic,None,950
dodge ram 2500,2007,None,excellent,6 cylinders,4wd,diesel,None,None,None,clean,manual,None,22000
Dodge Cummins,1998,None,None,6 cylinders,rwd,diesel,silver,None,None,clean,automatic,None,3800
audi allroad,2003,None,None,6 cylinders,fwd,gas,black,83000,None,clean,automatic,None,3500
nissan ud,1991,None,None,None,None,diesel,None,None,None,clean,manual,None,10000
jeep grand cherokee,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,10000
Ford F-150 XLT 4 x 4,2000,2FTZF1828YCA55607,good,8 cylinders,4wd,gas,green,116155,full-size,clean,automatic,pickup,2000
