make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
chevy silverado 3500,2006,None,None,8 cylinders,4wd,diesel,white,299000,None,clean,automatic,pickup,11000
chevy blazer,2001,None,good,None,None,gas,None,None,None,clean,automatic,None,2000
jeep grand cherokee,2006,None,like new,8 cylinders,None,gas,None,None,None,clean,automatic,SUV,1600
Mercedes Benz e430,2002,None,excellent,8 cylinders,4wd,gas,black,146000,mid-size,clean,automatic,sedan,5000
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,15300
vw cabrio convertible,2002,None,good,4 cylinders,fwd,gas,black,87000,compact,clean,automatic,convertible,5000
dodge caravan,1999,None,None,None,None,gas,white,None,None,clean,automatic,None,1200
vw eos,2008,None,excellent,4 cylinders,None,gas,None,121101,None,clean,automatic,None,6200
volvo xc90,2005,None,excellent,None,4wd,gas,None,115090,None,clean,automatic,None,6500
ford f-150,2006,None,good,8 cylinders,None,gas,None,160200,None,clean,automatic,None,6300
ram 2500,2017,3C6UR5CJ0HG509237,excellent,8 cylinders,4wd,gas,black,15000,full-size,lien,automatic,pickup,36000
ram 2500,2017,3C6UR5CJ0HG509237,excellent,8 cylinders,4wd,gas,black,15000,full-size,lien,automatic,pickup,36000
hyundai veloster,2012,None,like new,4 cylinders,fwd,gas,None,153000,None,clean,manual,coupe,5700
hyundai elantra,2007,None,like new,4 cylinders,fwd,gas,black,161000,None,clean,automatic,sedan,2900
uncertain,2016,None,excellent,None,None,other,None,None,None,clean,other,None,65
honda accord,2002,1HGCG66892A169053,like new,4 cylinders,fwd,gas,black,174000,None,clean,automatic,sedan,2500
Chevy Express Cargo Van,1999,None,good,8 cylinders,None,gas,white,None,full-size,clean,automatic,van,3200
hyundai azera limited,2009,None,like new,4 cylinders,fwd,gas,None,217000,None,clean,automatic,sedan,2500
volkswagen jetta,2015,3VWB17AJ8FM287824,excellent,4 cylinders,fwd,gas,red,45605,mid-size,clean,manual,sedan,9500
pontiac g6 gt,2006,1G2ZH558X64117425,good,6 cylinders,fwd,gas,green,79810,mid-size,clean,automatic,sedan,3999
lincoln mkz 4dr sdn awd,2012,None,like new,None,None,gas,None,40000,full-size,lien,automatic,sedan,13500
BMW X3 2.5,2004,None,None,6 cylinders,None,gas,white,140000,full-size,clean,automatic,SUV,4200
Dodee,1972,None,None,None,None,gas,None,None,None,clean,manual,None,3500
buick century,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
saab 9-3 2.0t,2006,None,None,4 cylinders,fwd,gas,None,None,None,clean,automatic,None,1900
subaru forester xt,2004,None,good,4 cylinders,4wd,gas,grey,None,None,clean,manual,None,2900
honda civic coupe,1997,None,good,4 cylinders,fwd,gas,None,221000,None,clean,manual,None,1500
ford f-150,2003,None,None,None,None,other,None,None,None,clean,automatic,None,1300
silveradoo 1500 4.3 liter,2006,None,like new,6 cylinders,None,gas,white,230003,full-size,clean,automatic,truck,2000
Jeep gr cherokeeee,1999,None,like new,8 cylinders,4wd,gas,None,171211,mid-size,clean,automatic,SUV,2100
lincoln town car signature,2001,None,like new,4 cylinders,None,gas,white,145456,full-size,clean,automatic,sedan,2200
